time,flux
1.0,-30.159079290057985
2.0,-37.3005591183567
3.0,-36.74688578032732
4.0,-36.13686850756397
5.0,-35.50547781767975
6.0,-34.87250411442136
7.0,-34.249723495223066
8.0,-33.6445161112691
9.0,-33.06162962448664
10.0,-32.504099487763824
11.0,-31.973773991362187
12.0,-31.471483378834897
13.0,-30.997792983897636
14.0,-30.552560460180082
15.0,-30.135288135652704
16.0,-29.745217687907353
17.0,-29.3814004111439
18.0,-29.04275326057198
19.0,-28.72810372961722
20.0,-28.436225630297525
21.0,-28.16586742674049
22.0,-27.915774470002297
23.0,-27.68470624207416
24.0,-27.47144952214381
25.0,-27.274828229154682
26.0,-27.093710564211285
27.0,-26.927013968794924
28.0,-26.773708325721426
29.0,-26.63281775586951
30.0,-26.50342130224219
31.0,-26.384652741726146
32.0,-26.275699722244116
33.0,-26.175802387420298
34.0,-26.084251621231473
35.0,-26.000387020420185
36.0,-25.923101117430356
37.0,-25.8524989763172
38.0,-25.787974813581965
39.0,-25.729008407752332
40.0,-25.6751281432107
41.0,-25.625903805246967
42.0,-25.58094151005934
43.0,-25.539880033485886
44.0,-25.502387903930593
45.0,-25.468160934382386
46.0,-25.43692003566752
47.0,-25.4084092324753
48.0,-25.382393841225394
49.0,-25.358658786749515
50.0,-25.33623049432438
51.0,-25.31579748049851
52.0,-25.2971867391519
53.0,-25.280312738191913
54.0,-28.22660418003752
55.0,-36.84845247972918
56.0,-36.26396588125596
57.0,-35.62440289898442
58.0,-34.96117713312903
59.0,-34.29463495641828
60.0,-33.6378645018646
61.0,-32.99946821744892
62.0,-32.38513387248824
63.0,-31.798546853098742
64.0,-31.241957887695136
65.0,-30.716339161784738
66.0,-30.222382886510143
67.0,-29.759901538810936
68.0,-29.32827208856595
69.0,-28.926558295637246
70.0,-28.553601189935407
71.0,-28.208090282512234
72.0,-27.888619670163195
73.0,-27.593731954536622
74.0,-27.32195230802193
75.0,-27.071814582437582
76.0,-26.841881006096596
77.0,-26.6307567298701
78.0,-26.437100250583143
79.0,-26.259630550419693
80.0,-26.09713163592463
81.0,-25.948455033188054
82.0,-25.812520691682003
83.0,-25.688316663807246
84.0,-25.574897857116913
85.0,-25.47138409867237
86.0,-25.376957703820846
87.0,-25.290860703034586
88.0,-25.21187241515156
89.0,-25.140050307203467
90.0,-25.074720172007673
91.0,-25.015300144563156
92.0,-24.96126372945881
93.0,-24.912132181757435
94.0,-24.86746900610384
95.0,-24.826875738001334
96.0,-24.789988490412004
97.0,-24.7564749715353
98.0,-24.726031823532168
99.0,-24.698382205035696
100.0,-24.67327357553968
101.0,-24.650475656662742
102.0,-24.629086533463536
103.0,-24.60968897044749
104.0,-24.59209396268426
105.0,-24.57620751225284
106.0,-24.561877930679895
