kper,kstp,k,i,j,PWq
1,1,0,22,40,-22.49630723192994
1,1,0,23,40,-22.561666333855836
1,1,0,24,39,-23.146975782501762
1,1,0,25,39,-23.10635973386845
1,1,0,26,38,-24.194438550433702
1,1,0,27,38,-24.545952390417394
1,1,0,28,38,-22.605651668888925
1,1,0,29,37,-26.28276809159034
1,1,0,30,37,-26.767890041459864
1,1,0,31,37,-26.864146187525
1,1,0,32,36,-28.00486817923884
1,1,0,33,36,-28.666337540114483
1,1,0,34,37,-29.84484121532763
1,1,0,35,37,-30.13518559377992
1,1,0,36,37,-30.695859035536284
1,1,0,37,37,-31.032771554363677
1,1,0,38,37,-31.419624560870073
1,1,0,39,38,-32.08987462038945
1,1,0,40,38,-32.20221559944381
1,1,0,41,38,-32.3914351867867
1,1,0,42,38,-32.62589540980173
1,1,0,43,38,-32.79330728876007
1,1,0,44,38,-32.91386897548523
1,1,0,45,37,-30.68617915119576
1,1,0,45,38,-32.91640687727847
2,1,0,22,40,-27.54052735562037
2,1,0,23,40,-27.735122898582837
2,1,0,24,39,-28.501091295431525
2,1,0,25,39,-28.833777947744153
2,1,0,26,38,-29.701448609823164
2,1,0,27,38,-30.078522153313166
2,1,0,28,38,-30.23041686909935
2,1,0,29,37,-32.29852073202738
2,1,0,30,37,-33.24935274289229
2,1,0,31,37,-33.70854509621747
2,1,0,32,36,-34.97613301374609
2,1,0,33,36,-35.7978962232019
2,1,0,34,37,-36.98879473986954
2,1,0,35,37,-37.37432210547202
2,1,0,36,37,-37.88686852330023
2,1,0,37,37,-38.445537235326185
2,1,0,38,37,-39.02599936193953
2,1,0,39,38,-39.712208067412284
2,1,0,40,38,-39.92397872421912
2,1,0,41,38,-40.169618778328434
2,1,0,42,38,-40.38907277340138
2,1,0,43,38,-40.55700540913055
2,1,0,44,38,-40.659400785953096
2,1,0,45,37,-40.87007359624545
2,1,0,45,38,-40.691703493753636
2,2,0,22,40,-26.318054457023262
2,2,0,23,40,-26.525979473844767
2,2,0,24,39,-27.332664805673446
2,2,0,25,39,-27.682358336952824
2,2,0,26,38,-28.603957131221645
2,2,0,27,38,-29.0090162049246
2,2,0,28,38,-29.22418559893676
2,2,0,29,37,-31.400022280104608
2,2,0,30,37,-32.42613431255041
2,2,0,31,37,-32.92116231787159
2,2,0,32,36,-34.276447325364956
2,2,0,33,36,-35.162416797219315
2,2,0,34,37,-36.452489051859224
2,2,0,35,37,-36.863571993825296
2,2,0,36,37,-37.408438153468744
2,2,0,37,37,-38.0002144264935
2,2,0,38,37,-38.6126273007422
2,2,0,39,38,-39.344179646477265
2,2,0,40,38,-39.56620577435487
2,2,0,41,38,-39.82342488395433
2,2,0,42,38,-40.052957590855726
2,2,0,43,38,-40.22858488003334
2,2,0,44,38,-40.33610797188962
2,2,0,45,37,-40.550879654952446
2,2,0,45,38,-40.371028185137256
2,3,0,22,40,-25.257979488829353
2,3,0,23,40,-25.476494140824872
2,3,0,24,39,-26.308068570997996
2,3,0,25,39,-26.667475819679183
2,3,0,26,38,-27.622622595257496
2,3,0,27,38,-28.045628191399114
2,3,0,28,38,-28.311986354962023
2,3,0,29,37,-30.550015333435596
2,3,0,30,37,-31.624945820898734
2,3,0,31,37,-32.1435096177825
2,3,0,32,36,-33.5609240891252
2,3,0,33,36,-34.49465863547172
2,3,0,34,37,-35.863330119694474
2,3,0,35,37,-36.295346103979796
2,3,0,36,37,-36.86754491590416
2,3,0,37,37,-37.48842969778828
2,3,0,38,37,-38.130354801611276
2,3,0,39,38,-38.91022402593087
2,3,0,40,38,-39.14317694775373
2,3,0,41,38,-39.41344651068358
2,3,0,42,38,-39.65524753156915
2,3,0,43,38,-39.841205634282005
2,3,0,44,38,-39.956443792822974
2,3,0,45,37,-40.17408758630209
2,3,0,45,38,-39.99575708457981
2,4,0,22,40,-24.32460013568559
2,4,0,23,40,-24.551666441703347
2,4,0,24,39,-25.400520734811717
2,4,0,25,39,-25.76631449442014
2,4,0,26,38,-26.74368096483057
2,4,0,27,38,-27.178858740884007
2,4,0,28,38,-27.485455940923405
2,4,0,29,37,-29.758529264802835
2,4,0,30,37,-30.864846429867857
2,4,0,31,37,-31.398570906053184
2,4,0,32,36,-32.85779100730487
2,4,0,33,36,-33.82490168600579
2,4,0,34,37,-35.25069219792958
2,4,0,35,37,-35.698390072734234
2,4,0,36,37,-36.2915820452792
2,4,0,37,37,-36.9354636379178
2,4,0,38,37,-37.60143232325599
2,4,0,39,38,-38.42307935052548
2,4,0,40,38,-38.66569837063822
2,4,0,41,38,-38.94781364866167
2,4,0,42,38,-39.20106722167928
2,4,0,43,38,-39.39694180858404
2,4,0,44,38,-39.519773358643384
2,4,0,45,37,-39.73980239374502
2,4,0,45,38,-39.56350091680488
2,5,0,22,40,-23.49605004990085
2,5,0,23,40,-23.72989195705112
2,5,0,24,39,-24.59064701431995
2,5,0,25,39,-24.960554439498868
2,5,0,26,38,-25.952353448831357
2,5,0,27,38,-26.395742145647613
2,5,0,28,38,-26.7344783800093
2,5,0,29,37,-29.024103437132013
2,5,0,30,37,-30.149834227305536
2,5,0,31,37,-30.692896420991904
2,5,0,32,36,-32.178585321835364
2,5,0,33,36,-33.16800660209034
2,5,0,34,37,-34.63351637157257
2,5,0,35,37,-35.09228242729186
2,5,0,36,37,-35.70058040392807
2,5,0,37,37,-36.361354410463875
2,5,0,38,37,-37.045355071186066
2,5,0,39,38,-37.899935981344974
2,5,0,40,38,-38.15023428059761
2,5,0,41,38,-38.44192873076733
2,5,0,42,38,-38.70461580947194
2,5,0,43,38,-38.908809742656445
2,5,0,44,38,-39.03813083927278
2,5,0,45,37,-39.25984084861386
2,5,0,45,38,-39.08571434081432
2,6,0,22,40,-22.756623803143235
2,6,0,23,40,-22.995660752857084
2,6,0,24,39,-23.864028437637682
2,6,0,25,39,-24.236295636406073
2,6,0,26,38,-25.236718521564523
2,6,0,27,38,-25.685390034942845
2,6,0,28,38,-26.050039108728733
2,6,0,29,37,-28.343137415563042
2,6,0,30,37,-29.47970329925649
2,6,0,31,37,-30.027914772736104
2,6,0,32,36,-31.528651636226076
2,6,0,33,36,-32.532007286720145
2,6,0,34,37,-34.02368219377952
2,6,0,35,37,-34.48974578838578
2,6,0,36,37,-35.10818934723044
2,6,0,37,37,-35.78052202973192
2,6,0,38,37,-36.47708318571567
2,6,0,39,38,-37.3560274822632
2,6,0,40,38,-37.61196662029493
2,6,0,41,38,-37.91081669640203
2,6,0,42,38,-38.1806757172403
2,6,0,43,38,-38.39131181135495
2,6,0,44,38,-38.525763284078074
2,6,0,45,37,-38.748384649443786
2,6,0,45,38,-38.576482573609155
2,7,0,22,40,-22.094252796304186
2,7,0,23,40,-22.337098555622934
2,7,0,24,39,-23.20958188863933
2,7,0,25,39,-23.582817719163344
2,7,0,26,38,-24.58741677784196
2,7,0,27,38,-25.03914525645126
2,7,0,28,38,-25.424794621237986
2,7,0,29,37,-27.711953627406317
2,7,0,30,37,-28.853055882577834
2,7,0,31,37,-29.403337767557687
2,7,0,32,36,-30.91059511296487
2,7,0,33,36,-31.921531101132633
2,7,0,34,37,-33.42888753445153
