kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-2737.874,-22888.896,-710.9908,-347.6639,0.6682,0.0,26686.094,0.0,0.66796875,-3796.5286,3797.1973
2,-2070.1604,-23614.96,-590.089,-286.1904,-3.8561,-0.01,26421.875,135.6705,-3.8574219,-2946.44,2806.914
3,-5847.584,-20502.393,-335.1851,0.0,0.9328,0.0,26686.094,0.0,0.93359375,-6182.769,6183.701
4,-4778.3135,-21448.92,-302.252,0.0,-3.4169,-0.01,26421.875,104.1929,-3.4160156,-5080.5654,4972.955
