time,flux
1.0,-8.669908192164257
2.0,-694.5133028397981
3.0,-628.407955672332
4.0,-568.6742255042441
5.0,-514.6979789117408
6.0,-465.92427621450963
7.0,-421.8516660391935
8.0,-382.02702980595024
9.0,-346.0409231333162
10.0,-313.52336626550533
11.0,-284.140040242755
12.0,-257.5888497068497
13.0,-233.59681700339542
14.0,-211.91727564854247
15.0,-192.3273343056723
16.0,-174.62558519872954
17.0,-158.63003340197614
18.0,-144.1762257168159
19.0,-131.11555989833036
20.0,-119.31375684837258
21.0,-108.64948006755782
22.0,-99.01308817248302
23.0,-90.30550765257637
24.0,-82.43721427718363
25.0,-75.32731268055113
26.0,-68.9027046617487
27.0,-63.097337648674255
28.0,-57.85152559945806
29.0,-53.11133535933102
30.0,-48.828032163979444
31.0,-44.95757858850414
32.0,-41.46018179058697
33.0,-38.29988439298842
34.0,-35.44419479916432
35.0,-32.863753141209024
36.0,-30.532029425674263
37.0,-28.42505077384597
38.0,-26.521154952186084
39.0,-24.800767658940746
40.0,-23.246201277157713
41.0,-21.84147302505591
42.0,-20.5721406341177
43.0,-19.42515386548022
44.0,-18.3887203380387
45.0,-17.452184288815808
46.0,-16.60591701911023
47.0,-15.841217900081197
48.0,-15.150224919989338
49.0,-14.52583385341355
50.0,-13.961625221407878
51.0,-13.451798291662337
52.0,-12.991111440111288
53.0,-12.574828260836052
54.0,-3.6063327169611057
55.0,-827.9968699279317
56.0,-748.5375889403398
57.0,-676.7370543769306
58.0,-611.8570718309394
59.0,-553.2305983545998
60.0,-500.2548844687946
61.0,-452.3852771855968
62.0,-409.1296203314469
63.0,-370.0431945996633
64.0,-334.72414531004375
65.0,-302.8093508675188
66.0,-273.9706894427258
67.0,-247.91166549156588
68.0,-224.36436143037412
69.0,-203.0866831263196
70.0,-183.85987088341906
71.0,-166.48625033415624
72.0,-150.78720011321388
73.0,-136.6013154186003
74.0,-123.78274857940713
75.0,-112.19970956927257
76.0,-101.7331110490555
77.0,-92.27534400815594
78.0,-83.72917141662738
79.0,-76.00672851351646
80.0,-69.02861945321118
81.0,-62.72310102225429
82.0,-57.02534503426542
83.0,-51.87677181951897
84.0,-47.224447956663
85.0,-43.02054205454847
86.0,-39.22183298896284
87.0,-35.78926553835967
88.0,-32.687548849994414
89.0,-29.88479360822308
90.0,-27.352184174625137
91.0,-25.063682329163058
92.0,-22.995759566487475
93.0,-21.127155195077364
94.0,-19.438657752188266
95.0,-17.91290748729572
96.0,-16.53421788333025
97.0,-15.28841438073093
98.0,-14.16268864621029
99.0,-13.145466887940902
100.0,-12.226290863288245
101.0,-11.395710355708463
102.0,-10.645186015346448
103.0,-9.96700156442069
104.0,-9.354184464762378
105.0,-8.8004342318773
106.0,-8.300057658514278
