kper,kstp,k,i,j,SPq
1,1,0,32,30,-11.16346687524549
1,1,0,33,30,-1.562715138196495
1,1,0,33,31,-2.298310687630874
1,1,0,33,32,-3.6942992101314758
1,1,0,33,33,-5.7255368137107325
1,1,0,34,30,-9.880466045450476
1,1,0,34,31,-5.761421522459045
1,1,0,34,33,-4.818457073445188
1,1,0,35,33,-6.032407195704195
1,1,0,36,32,-8.669908192164257
1,1,0,36,33,-10.608627294491725
1,1,0,37,32,-25.62333030690786
2,1,0,32,30,-572.2895956481947
2,1,0,33,30,-623.0127855852187
2,1,0,33,31,-673.0097427339496
2,1,0,33,32,-669.6230120073284
2,1,0,33,33,-682.8098788677498
2,1,0,34,30,-679.4003289382819
2,1,0,34,31,-673.8764033183243
2,1,0,34,33,-689.6566455036632
2,1,0,35,33,-691.8758016991528
2,1,0,36,32,-694.5133028397981
2,1,0,36,33,-696.4520219421257
2,1,0,37,32,-711.46673534274
2,2,0,32,30,-470.22457273349517
2,2,0,33,30,-559.1719906552111
2,2,0,33,31,-602.9844298398511
2,2,0,33,32,-598.9440543766324
2,2,0,33,33,-609.7350561079803
2,2,0,34,30,-610.841538405383
2,2,0,34,31,-606.538870606041
2,2,0,34,33,-622.7411974702565
2,2,0,35,33,-625.7704542851584
2,2,0,36,32,-628.407955672332
2,2,0,36,33,-630.346674774657
2,2,0,37,32,-645.3614069493491
2,3,0,32,30,-386.3994783218788
2,3,0,33,30,-501.8894741151396
2,3,0,33,31,-540.2700896634807
2,3,0,33,32,-535.7666959649966
2,3,0,33,33,-544.5469117995654
2,3,0,34,30,-549.3031864420781
2,3,0,34,31,-545.9881300618923
2,3,0,34,33,-562.3640696179647
2,3,0,35,33,-566.0367238019819
2,3,0,36,32,-568.6742255042441
2,3,0,36,33,-570.6129446065631
2,3,0,37,32,-585.6277022281408
2,4,0,32,30,-317.55467413230747
2,4,0,33,30,-450.49151384209154
2,4,0,33,31,-484.10342216380957
2,4,0,33,32,-479.2947451947617
2,4,0,33,33,-486.39426762107786
2,4,0,34,30,-494.0663782412718
2,4,0,34,31,-491.54015684904175
2,4,0,34,33,-507.8864016127338
2,4,0,35,33,-512.0604768528091
2,4,0,36,32,-514.6979789117408
2,4,0,36,33,-516.6366980140501
2,4,0,37,32,-531.6514862945738
2,5,0,32,30,-261.0130484417339
2,5,0,33,30,-404.37359801131817
2,5,0,33,31,-433.80081942794175
2,5,0,33,32,-428.8165152730095
2,5,0,33,33,-434.51780960495887
2,5,0,34,30,-444.48583401957603
2,5,0,34,31,-442.57986738202925
2,5,0,34,33,-458.73175625952456
2,5,0,35,33,-463.28677377862135
2,5,0,36,32,-465.92427621450963
2,5,0,36,33,-467.8629953168048
2,5,0,37,32,-482.87781822718694
2,6,0,32,30,-214.57591336551135
2,6,0,33,30,-362.99331527297124
2,6,0,33,31,-388.7500454363798
2,6,0,33,32,-383.69585517100774
2,6,0,33,33,-388.24017357530425
2,6,0,34,30,-399.9823508187517
2,6,0,34,31,-398.55417090100434
2,6,0,34,33,-414.3800201289933
2,6,0,35,33,-419.2141632226262
2,6,0,36,32,-421.8516660391935
2,6,0,36,33,-423.7903851414706
2,6,0,37,32,-438.80524560231225
2,7,0,32,30,-176.43750622791597
2,7,0,33,30,-325.86397530015734
2,7,0,33,31,-348.4027845001434
2,7,0,33,32,-343.36413254181537
2,7,0,33,33,-346.9571006258732
2,7,0,34,30,-360.0360362207557
2,7,0,34,31,-358.9657213613173
2,7,0,34,33,-374.36190015465496
2,7,0,35,33,-379.3895266176281
2,7,0,36,32,-382.02702980595024
2,7,0,36,33,-383.9657489082052
2,7,0,37,32,-398.9806489553761
2,8,0,32,30,-145.11477030488115
2,8,0,33,30,-292.54888468035983
2,8,0,33,31,-312.26796767628315
2,8,0,33,32,-307.3130675409092
2,8,0,33,33,-310.12954715301953
2,8,0,34,30,-324.18023493222694
2,8,0,34,31,-323.36729905534713
2,8,0,34,33,-338.2539579681984
2,8,0,35,33,-343.40341959158377
2,8,0,36,32,-346.0409231333162
2,8,0,36,33,-347.97964223554527
2,8,0,37,32,-362.9945831636021
2,9,0,32,30,-119.38968437798192
2,9,0,33,30,-262.65621082941186
2,9,0,33,31,-279.9057959371684
2,9,0,33,32,-275.0883272381799
2,9,0,33,33,-277.27664642213085
2,9,0,34,30,-291.9960772883891
2,9,0,34,31,-291.3567584973538
2,9,0,34,33,-305.67412943050084
2,9,0,35,33,-310.8858623954853
2,9,0,36,32,-313.52336626550533
2,9,0,36,33,-315.46208536770484
2,9,0,37,32,-330.47706785388175
2,10,0,32,30,-98.26189851446593
2,10,0,33,30,-235.8343735226606
2,10,0,33,31,-250.92238734915554
2,10,0,33,32,-246.2837998949863
2,10,0,33,33,-247.9694297648603
2,10,0,34,30,-263.1075859916494
2,10,0,34,31,-262.5724854990495
2,10,0,34,33,-276.2776819498228
2,10,0,35,33,-281.502536074201
2,10,0,36,32,-284.140040242755
2,10,0,36,33,-286.07875934492176
2,10,0,37,32,-301.09378355610573
2,11,0,32,30,-80.90983425823856
2,11,0,33,30,-211.76790984306786
2,11,0,33,31,-224.96498311110727
2,11,0,33,32,-220.53647694794353
2,11,0,33,33,-221.8252254231436
2,11,0,34,30,-237.17728392150798
2,11,0,34,31,-236.68931211576668
2,11,0,34,33,-249.75356681094917
2,11,0,35,33,-254.95134527241507
2,11,0,36,32,-257.5888497068497
2,11,0,36,33,-259.5275688089808
2,11,0,37,32,-274.5426344938009
2,12,0,32,30,-66.65873656559998
2,12,0,33,30,-190.17376391369584
2,12,0,33,31,-201.71765410514953
2,12,0,33,32,-197.52187819973418
2,12,0,33,33,-198.50266190421002
2,12,0,34,30,-213.90225170593587
2,12,0,34,31,-213.41484331553272
2,12,0,34,33,-225.82112791871646
2,12,0,35,33,-230.95931233725238
2,12,0,36,32,-233.59681700339542
2,12,0,36,33,-235.5355361054884
2,12,0,37,32,-250.55064267339358
2,13,0,32,30,-54.95443514656315
2,13,0,33,30,-170.7979577778113
2,13,0,33,31,-180.89745570382178
2,13,0,33,32,-176.9499625629894
2,13,0,33,33,-177.69721060405888
2,13,0,34,30,-193.01058899852424
2,13,0,34,31,-192.48615387447688
2,13,0,34,33,-204.22713213063665
2,13,0,35,33,-209.27977078529332
2,13,0,36,32,-211.91727564854247
2,13,0,36,33,-213.85599475059522
2,13,0,37,32,-228.87114133957388
2,14,0,32,30,-45.34179488974324
2,14,0,33,30,-153.41260427244535
2,14,0,33,31,-162.25098403353266
2,14,0,33,32,-158.5614728224602
2,14,0,33,33,-159.13720949824722
2,14,0,34,30,-174.2582381218224
2,14,0,34,31,-173.66681818433725
2,14,0,34,33,-184.74308975611044
2,14,0,35,33,-189.6898292795046
2,14,0,36,32,-192.3273343056723
2,14,0,36,33,-194.26605340768296
2,14,0,37,32,-209.28123894207945
2,15,0,32,30,-37.447017389511345
2,15,0,33,30,-137.81322676338425
2,15,0,33,31,-145.55129178038402
2,15,0,33,32,-142.12466835040703
2,15,0,33,33,-142.58031598026025
2,15,0,34,30,-157.42613297046694
2,15,0,34,31,-156.74423941864575
2,15,0,34,33,-167.1628368700206
2,15,0,35,33,-171.9880800427739
2,15,0,36,32,-174.62558519872954
2,15,0,36,33,-176.56430430069673
2,15,0,37,32,-191.5795275404042
2,16,0,32,30,-30.96310534888657
2,16,0,33,30,-123.81635421853751
2,16,0,33,31,-130.59512600044013
2,16,0,33,32,-127.43240459931073
2,16,0,33,33,-127.81034253123053
2,16,0,34,30,-142.3176398674101
2,16,0,34,31,-141.5272478859411
2,16,0,34,33,-151.30035385879052
2,16,0,35,33,-155.99252814783046
2,16,0,36,32,-158.63003340197614
2,16,0,36,33,-160.56875250389874
2,16,0,37,32,-175.5840120860537
2,17,0,32,30,-25.63792462389817
2,17,0,33,30,-111.25736333487353
2,17,0,33,31,-117.20045431565514
2,17,0,33,32,-114.29952256626117
2,17,0,33,33,-114.63443390350471
2,17,0,34,30,-128.75626047716966
2,17,0,34,31,-127.84394143928668
2,17,0,34,33,-136.9877971166068
2,17,0,35,33,-141.5387203942069
2,17,0,36,32,-144.1762257168159
2,17,0,36,33,-146.11494481869323
2,17,0,37,32,-161.13023929286058
2,18,0,32,30,-21.264399687586135
2,18,0,33,30,-99.98854233970988
2,18,0,33,31,-105.20424938663244
2,18,0,33,32,-102.56051532979428
2,18,0,33,33,-102.88054895979408
2,18,0,34,30,-116.58356994138934
2,18,0,34,31,-115.53974354581268
2,18,0,34,33,-124.0737230648775
2,18,0,35,33,-128.47805453488584
2,18,0,36,32,-131.11555989833036
2,18,0,36,33,-133.0542790001619
2,18,0,37,32,-148.06960685787755
2,19,0,32,30,-17.67246125241628
2,19,0,33,30,-89.87735369426697
2,19,0,33,31,-94.4605046968939
2,19,0,33,32,-92.0674422517481
2,19,0,33,33,-92.39521428761466
2,19,0,34,30,-105.6573661498805
2,19,0,34,31,-104.47565707884377
2,19,0,34,33,-112.42148570299875
2,19,0,35,33,-116.6762514694845
2,19,0,36,32,-119.31375684837258
2,19,0,36,33,-121.25247595015811
2,19,0,37,32,-136.2678356495903
2,20,0,32,30,-14.722432924687947
2,20,0,33,30,-80.80487526669747
2,20,0,33,31,-84.83845749864358
2,20,0,33,32,-82.68806455790231
2,20,0,33,33,-83.04152025736629
2,20,0,34,30,-95.85000852681394
2,20,0,34,31,-94.52669410619683
2,20,0,34,33,-101.90779073466459
2,20,0,35,33,-106.01197469631671
2,20,0,36,32,-108.64948006755782
2,20,0,36,33,-110.58819916929745
2,20,0,37,32,-125.60358915569303
2,21,0,32,30,-12.299599723013952
2,21,0,33,30,-72.66440164080346
2,21,0,33,31,-76.22099729138674
2,21,0,33,32,-74.30417880108887
2,21,0,33,33,-74.69733335805027
2,21,0,34,30,-87.04692692565834
2,21,0,34,31,-85.58046393641155
2,21,0,34,33,-92.42139097070337
