Iteration,Group,Pname,Category,Subcategory,Mean,Std,CV,N_Params
7,pg14,ghbpw-cond-gr,GHB Conductance,GHB-Poukawa-cond,108070.3476627994,2309304.3108167974,2136.8528562730994,25
7,pg15,ghbpw-cond-cn,GHB Conductance,GHB-Poukawa-cond,138505.0807481001,1581512.5239105916,1141.8444113157816,1
7,pg16,ghbspring-cond-gr,GHB Conductance,GHB-Spring-cond,220878.78065507452,3880159.6829170394,1756.6919155427236,12
7,pg17,ghbspring-cond-cn,GHB Conductance,GHB-Spring-cond,41949.99428065971,542829.7403305908,1293.9924060510602,1
7,pg18,ghbconf-cond-gr,GHB Conductance,GHB-Confined-cond,8868.724747850474,294600.68511442846,3321.7930817599367,1423
7,pg19,ghbconf-cond-cn,GHB Conductance,GHB-Confined-cond,4175.791386699093,35376.793480017295,847.1877592520773,1
7,pg20,ghbaw-head-hg,GHB Head,GHB-Awanui-head,0.008631635180765587,0.16197534618199286,1876.5314194804325,419
7,pg21,ghbaw-head-cn,GHB Head,GHB-Awanui-head,0.004422549323738945,0.16400832421592948,3708.4566436733903,1
7,pg22,ghbpw-head-hg,GHB Head,GHB-Poukawa-head,-0.011793040836298315,0.1565918243310057,-1327.8324607256927,25
7,pg23,ghbpw-head-cn,GHB Head,GHB-Poukawa-head,-0.029775866419447166,0.15229123202855138,-511.4586084020285,1
7,pg24,ghbspring-head-hg,GHB Head,GHB-Spring-head,0.006589168016248906,0.16297742749527186,2473.41435357801,12
7,pg25,ghbspring-head-cn,GHB Head,GHB-Spring-head,-0.02141792318861559,0.1595862645698368,-745.1061578867867,1
7,pg26,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.046860493194401345,0.16314183090740128,-348.1436489168079,1423
7,pg27,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.03576234986282122,0.15175114229762096,-424.3321338774286,1
8,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,2.7598434857639327,6.6922201449131835,242.4854952620894,191
8,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,5.120505007517134,11.578920759624753,226.12849206526252,29
8,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,8.50113868355798,14.581596118898332,171.52521164135982,1
8,pg3,stosslayer1-gr,Storage,S-grid,11.039011855746649,52.98036564761415,479.9375735794126,191
8,pg4,stosslayer1-pp,Storage,S-pilot,8.969908867555406,42.05569829220181,468.8531278653154,29
8,pg5,stosslayer1-cn,Storage,S-constant,5.907245693412017,17.703564433684605,299.6923668407476,1
8,pg6,rchss-gr,Recharge,RCH-steady,2.83393759769792,6.778213327116724,239.18004872876662,191
8,pg7,rchss-pp,Recharge,RCH-steady,2.31718317192653,5.36973648716814,231.73552061935982,29
8,pg8,rchss-cn,Recharge,RCH-steady,1.814710427926629,4.8458337710020585,267.03068965876804,1
8,pg9,rchtr-gr,Recharge,RCH-transient,3.861775420539605,8.750400657335165,226.59009663779136,191
8,pg10,rchtr-pp,Recharge,RCH-transient,2.375649719457661,5.971845434701859,251.3773552468491,29
8,pg11,rchtr-cn,Recharge,RCH-transient,3.5960723288088685,9.120100782776634,253.61282946712853,1
8,pg12,ghbaw-cond-gr,GHB Conductance,GHB-Awanui-cond,292519.64838297927,4391388.551237732,1501.2285757599223,419
8,pg13,ghbaw-cond-cn,GHB Conductance,GHB-Awanui-cond,252293.33204366852,3663330.918605263,1452.012579536264,1
8,pg14,ghbpw-cond-gr,GHB Conductance,GHB-Poukawa-cond,117011.99683386782,2207359.4759724154,1886.4386009123468,25
8,pg15,ghbpw-cond-cn,GHB Conductance,GHB-Poukawa-cond,118548.19879638482,1454538.6810896907,1226.9597478979558,1
8,pg16,ghbspring-cond-gr,GHB Conductance,GHB-Spring-cond,362489.4135942467,5598789.828207387,1544.538852236497,12
8,pg17,ghbspring-cond-cn,GHB Conductance,GHB-Spring-cond,115624.69563055164,1608504.7789446118,1391.1429302993943,1
8,pg18,ghbconf-cond-gr,GHB Conductance,GHB-Confined-cond,25580.561905588078,673462.5717980136,2632.7121909346943,1423
8,pg19,ghbconf-cond-cn,GHB Conductance,GHB-Confined-cond,1770.0184861000187,17108.767661153135,966.5869478487676,1
8,pg20,ghbaw-head-hg,GHB Head,GHB-Awanui-head,0.008619194805039167,0.16674333252114554,1934.5581146821266,419
8,pg21,ghbaw-head-cn,GHB Head,GHB-Awanui-head,0.004422549323738944,0.1726326129240944,3903.463823398268,1
8,pg22,ghbpw-head-hg,GHB Head,GHB-Poukawa-head,-0.011762068839648485,0.16231578186560364,-1379.9934695030618,25
8,pg23,ghbpw-head-cn,GHB Head,GHB-Poukawa-head,-0.029775866419447183,0.1576517375502873,-529.4614616061078,1
8,pg24,ghbspring-head-hg,GHB Head,GHB-Spring-head,0.00659965692792175,0.16942360784940308,2567.1578038035236,12
8,pg25,ghbspring-head-cn,GHB Head,GHB-Spring-head,-0.02141792318861559,0.1651540247399146,-771.1019564571976,1
8,pg26,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.04685766790644263,0.16483215485549102,-351.77199852241824,1423
8,pg27,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.03576234986282121,0.1547399903424528,-432.6896608752256,1
9,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,2.716731165669108,7.019055278798175,258.3639988931124,191
9,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,5.473045235287815,12.233478975590828,223.5223435888064,29
9,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,9.77320658170874,16.848950775999562,172.39941297806584,1
9,pg3,stosslayer1-gr,Storage,S-grid,11.302103857435515,56.34429018649459,498.52921984455463,191
9,pg4,stosslayer1-pp,Storage,S-pilot,15.820803746929393,91.02523668188427,575.3515316789834,29
