Unnamed: 0,time,kper,kstp,time.1,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
0,1.0,1,1,1.0,7.8,13.5,9.899,6.517,7.59,15.707711399737056,15.711326100718653,-5.7,0.20999999999999996,5.812080395444038,9.194080395444036,0.0033689957069817,-0.0002457052746152,0,0,-1,-150,-3,-5689.873561199999,-200.84897980253965,-8.112326100718652,-65789.13679865454,-8.484711399737055,-71629.01035985454
1,2.0,2,1,2.0,7.757539183583268,13.952078947368422,7.834090874758633,8.109667132059732,7.593456666666666,15.580574769701927,15.612394756293844,-6.194539763785154,0.16408251691660247,7.771490111300251,7.495913853999152,0.0250062163569566,-0.0068137702349595,0,0,30,-150,-3,-5689.873561199999,-389.9636510665019,-15.612394756293844,-65789.13679865454,-15.580574769701927,-71629.01035985454
2,3.0,2,2,3.0,7.753844356053671,13.903105263157896,7.828749965667725,8.108500465393064,7.592813939999999,15.446674496840824,15.488366864759143,-6.149260907104225,0.16103041605367174,7.650068659024815,7.370318159299476,0.0321441278517156,-0.0095482400666053,0,0,30,-150,-3,-5563.161887849999,-386.7709661766695,-15.488366864759143,-64586.19866534999,-15.446674496840824,-70299.3605532
3,4.0,2,3,4.0,7.746707288524073,13.854131578947367,7.823461504129263,8.107800465393066,7.591650543999999,15.30969237132888,15.355151973469518,-6.107424290423294,0.1550567445240736,7.521086103849546,7.236747142585743,0.0348552366499301,-0.0106043654907086,0,0,30,-150,-3,-5487.134883839999,-383.40496693223616,-15.355151973469518,-63351.360717267686,-15.30969237132888,-68988.49560110769
4,5.0,2,4,5.0,7.7386282209944754,13.805157894736842,7.814642822810581,8.106400465393065,7.590178151999999,15.171973277699465,15.218826555050732,-6.066529673742367,0.14845006899447633,7.393182236700572,7.101424594118088,0.0358517818116883,-0.0110014955395794,0,0,30,-150,-3,-5334.5991042,-379.98361257927513,-15.218826555050732,-61347.049583828564,-15.171973277699465,-66831.64868802857
5,6.0,2,5,6.0,7.729140513464879,13.756184210526316,7.805599965667724,8.105000465393065,7.588941303999999,15.03471107586402,15.081953607189217,-6.027043697061437,0.14019920946488007,7.265232257931146,6.965831758205805,0.0361211477348497,-0.0111213835903445,0,0,30,-150,-3,-5183.0188308,-376.55824323815176,-15.081953607189217,-59317.30003536,-15.03471107586402,-64650.31886616
6,7.0,2,6,7.0,7.72698268593528,13.707210526315787,7.797437465667724,8.104000465393066,7.586588423999999,14.898483732228804,14.945674009778353,-5.980227840380508,0.14039426193528026,7.137116174700599,6.8305531749752575,0.0360699081395203,-0.0111203694100296,0,0,30,-150,-3,-5075.28364104,-373.1520073954904,-14.945674009778353,-57462.262528485,-14.898483732228804,-62687.546169525
7,8.0,2,7,8.0,7.728865578405682,13.658236842105264,7.789647024491254,8.103400465393065,7.585417735999999,14.76352630200871,14.810464243507177,-5.929371263699582,0.1434478424056831,7.009752474499971,6.695999033598159,0.0358731969825143,-0.0110647445159504,0,0,30,-150,-3,-5010.6483104399995,-369.774453059845,-14.810464243507177,-55668.97614205412,-14.76352630200871,-60829.624452494114
8,9.0,2,8,9.0,7.718048350876085,13.609263157894738,7.783833299001058,8.099800465393065,7.584295519999999,14.629967476947646,14.676563479034092,-5.8912148070186525,0.13375283087608647,6.881745763055404,6.565778596663398,0.0356115851088159,-0.0109844169776298,0,0,30,-150,-3,-4640.21396208,-366.4304456020509,-14.676563479034092,-54628.08897372,-14.629967476947646,-59418.3029358
9,10.0,2,9,10.0,7.708480243346486,13.560289473684213,7.780210491983514,8.095200465393065,7.583276055999999,14.497850969040664,14.544066834495602,-5.851809230337727,0.12520418734648686,6.752963023048197,6.437973049638647,0.0353225459910468,-0.0108933194638911,0,0,30,-150,-3,-4178.222854199999,-363.1218653257368,-14.544066834495602,-54187.843931021045,-14.497850969040664,-58516.066785221046
10,11.0,2,10,11.0,7.69863489581689,13.511315789473684,7.774749965667724,8.090600465393065,7.580796007999999,14.367186397127274,14.413007294043087,-5.812680893656794,0.117838887816891,6.627459384573325,6.311608884847985,0.035022953113776,-0.0107979438020393,0,0,30,-150,-3,-3724.85123424,-359.84932298519897,-14.413007294043087,-53334.48032409,-14.367186397127274,-57209.33155833
11,12.0,2,11,12.0,7.686590828287292,13.462342105263158,7.770142822810582,8.086200465393066,7.579236495999999,14.2379688160153,14.283390456245067,-5.775751276975866,0.10735433228729274,6.502546412221472,6.186488769638988,0.0347204190167538,-0.010701221213015,0,0,30,-150,-3,-3293.00704872,-356.6128666926173,-14.283390456245067,-52656.094000165715,-14.2379688160153,-56099.101048885714
