kper,kstp,index,AWq,weight,std
1,1,"(np.int64(0), np.int64(2), np.int64(46))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(3), np.int64(46))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(4), np.int64(46))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(5), np.int64(45))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(6), np.int64(45))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(7), np.int64(44))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(8), np.int64(43))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(8), np.int64(54))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(9), np.int64(43))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(9), np.int64(52))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(9), np.int64(53))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(10), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(10), np.int64(50))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(10), np.int64(51))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(11), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(11), np.int64(48))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(11), np.int64(49))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(12), np.int64(9))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(12), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(12), np.int64(46))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(12), np.int64(47))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(10))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(44))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(45))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(52))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(53))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(54))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(13), np.int64(55))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(10))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(11))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(43))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(50))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(14), np.int64(51))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(15), np.int64(12))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(15), np.int64(13))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(15), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(15), np.int64(48))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(15), np.int64(49))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(14))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(15))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(16))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(17))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(46))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(16), np.int64(47))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(17), np.int64(18))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(17), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(17), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(17), np.int64(43))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(17), np.int64(44))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(17), np.int64(45))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(18), np.int64(19))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(18), np.int64(20))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(18), np.int64(40))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(18), np.int64(42))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(19), np.int64(21))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(19), np.int64(40))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(19), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(20), np.int64(22))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(20), np.int64(39))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(20), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(23))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(36))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(37))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(38))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(39))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(40))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(21), np.int64(41))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(22), np.int64(24))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(22), np.int64(35))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(23), np.int64(25))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(23), np.int64(26))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(23), np.int64(34))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(24), np.int64(27))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(24), np.int64(28))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(24), np.int64(33))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(25), np.int64(29))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(25), np.int64(33))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(26), np.int64(29))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(26), np.int64(32))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(27), np.int64(30))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(27), np.int64(31))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(27), np.int64(32))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(27), np.int64(33))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(28), np.int64(32))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(28), np.int64(33))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(29), np.int64(31))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(30), np.int64(31))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(31), np.int64(31))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(32), np.int64(30))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(33), np.int64(27))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(33), np.int64(28))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(33), np.int64(29))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(34), np.int64(25))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(34), np.int64(26))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(35), np.int64(22))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(35), np.int64(23))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(35), np.int64(24))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(14))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(15))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(16))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(17))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(18))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(19))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(20))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(36), np.int64(21))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(37), np.int64(14))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(38), np.int64(12))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(38), np.int64(13))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(39), np.int64(11))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(40), np.int64(9))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(40), np.int64(10))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(41), np.int64(7))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(41), np.int64(8))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(42), np.int64(6))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(43), np.int64(5))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(44), np.int64(3))",5.76,0.3333333333333333,3.0
1,1,"(np.int64(0), np.int64(44), np.int64(4))",5.76,0.3333333333333333,3.0
2,1,"(np.int64(0), np.int64(2), np.int64(46))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(3), np.int64(46))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(4), np.int64(46))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(5), np.int64(45))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(6), np.int64(45))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(7), np.int64(44))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(8), np.int64(43))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(8), np.int64(54))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(9), np.int64(43))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(9), np.int64(52))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(9), np.int64(53))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(10), np.int64(42))",5.76,0.0,3.0
2,1,"(np.int64(0), np.int64(10), np.int64(50))",5.76,0.0,3.0
