kper,kstp,k,i,j,CONFq
1,1,0,1,27,-0.005925089621872104
1,1,0,1,28,-0.005492070570904062
1,1,0,1,29,-0.0048437569414829795
1,1,0,1,30,-0.004056719999560698
1,1,0,1,31,-0.0031638837414895704
1,1,0,1,32,-0.0021829887916329227
1,1,0,1,33,-0.0011259455466632318
1,1,0,1,34,-2.4689696722646204e-06
1,1,0,1,35,0.001178211052925704
1,1,0,1,36,0.0024062875759458535
1,1,0,1,37,0.0036703060606981808
1,1,0,1,38,0.0049555379234700325
1,1,0,1,39,0.006240711422947243
1,1,0,1,40,0.007489984902811386
1,1,0,1,41,0.008630078119633566
1,1,0,1,42,0.009477041815161513
1,1,0,2,24,-0.007857065421294607
1,1,0,2,25,-0.007495040600854708
1,1,0,2,26,-0.00693195702624827
1,1,0,2,27,-0.006205462160739472
1,1,0,2,28,-0.005554689769310173
1,1,0,2,29,-0.004829761653031284
1,1,0,2,30,-0.004009706174041838
1,1,0,2,31,-0.003099017770960444
1,1,0,2,32,-0.002106059873167254
1,1,0,2,33,-0.0010391698138523253
1,1,0,2,34,9.360961858462247e-05
1,1,0,2,35,0.0012841408399051346
1,1,0,2,36,0.002523715279952654
1,1,0,2,37,0.0038025180171814554
1,1,0,2,38,0.005109096118264489
1,1,0,2,39,0.006430214102991272
1,1,0,2,40,0.007752898592110924
1,1,0,2,41,0.009077074550386754
1,1,0,2,42,0.010477678831547266
1,1,0,2,43,0.012397001481584624
1,1,0,2,44,0.014090897422860849
1,1,0,2,45,0.015638149506616017
1,1,0,2,46,0.017068970739202882
1,1,0,2,47,0.017288105074351634
1,1,0,3,21,-0.009314146717720462
1,1,0,3,22,-0.009050764674112699
1,1,0,3,23,-0.00862749343385083
1,1,0,3,24,-0.008066572528022675
1,1,0,3,25,-0.007543557506318521
1,1,0,3,26,-0.006942788929563903
1,1,0,3,27,-0.006256640721401752
1,1,0,3,28,-0.0055381717009304054
1,1,0,3,29,-0.00475770025058786
1,1,0,3,30,-0.00390018905198275
1,1,0,3,31,-0.0029631691283746875
1,1,0,3,32,-0.0019496366103144425
1,1,0,3,33,-0.0008646928165063628
1,1,0,3,34,0.00028566543157637625
1,1,0,3,35,0.0014948869266593334
1,1,0,3,36,0.002755878750381413
1,1,0,3,37,0.0040609657285521905
1,1,0,3,38,0.005402125479802677
1,1,0,3,39,0.006772170256084564
1,1,0,3,40,0.008168370680461834
1,1,0,3,41,0.009601612416135552
1,1,0,3,42,0.01111388129306512
1,1,0,3,43,0.012776653680811378
1,1,0,3,44,0.014391764188188105
1,1,0,3,45,0.015908835699908863
1,1,0,3,46,0.017307014727544257
1,1,0,3,47,0.01766143346791793
1,1,0,3,48,0.018078194034588435
1,1,0,4,18,-0.010195177257246613
1,1,0,4,19,-0.010045197111539395
1,1,0,4,20,-0.009785529014253669
1,1,0,4,21,-0.0094251081863721
1,1,0,4,22,-0.009058215737033137
1,1,0,4,23,-0.008612676747567605
1,1,0,4,24,-0.008085587371743586
1,1,0,4,25,-0.007517017596560649
1,1,0,4,26,-0.006885809958971478
1,1,0,4,27,-0.006186779247437713
1,1,0,4,28,-0.005430397769389472
1,1,0,4,29,-0.0046094712097364265
1,1,0,4,30,-0.003717038919935689
1,1,0,4,31,-0.00275063640186346
1,1,0,4,32,-0.0017113049396701996
