time,spring,awanui,poukawa,pk4,kper,kstp,pk4-spr-diff,pk4-conf-diff
1.0,7.981251224460774,8.542841847299819,7.872199341856749,7.981251224460774,1,1,-7.981251224460774,6.018748775539226
2.0,7.9810856331692435,8.542636212676776,7.872021023326101,7.9810856331692435,2,1,-7.9810856331692435,5.969940686830757
3.0,7.980921102306508,8.54239812134704,7.871832754737997,7.980921102306508,2,2,-7.980921102306508,5.921131527693492
4.0,7.980757617295776,8.54212817669046,7.871625807945001,7.980757617295776,2,3,-7.980757617295776,5.8723213327042245
5.0,7.98058625083074,8.541804914738798,7.87140787854809,7.98058625083074,2,4,-7.98058625083074,5.82351900916926
6.0,7.980408039428049,8.541427397004961,7.871179108361799,7.980408039428049,2,5,-7.980408039428049,5.7747235405719515
7.0,7.980215871109495,8.541001605962625,7.870943366454502,7.980215871109495,2,6,-7.980215871109495,5.725942018890505
8.0,7.980017563297783,8.540530365978942,7.870704473226443,7.980017563297783,2,7,-7.980017563297783,5.677166646702218
9.0,7.979813507649179,8.54002655721594,7.870434508290988,7.979813507649179,2,8,-7.979813507649179,5.62839702235082
10.0,7.97960444015465,8.539504343175697,7.87012454860607,7.97960444015465,2,9,-7.97960444015465,5.579632399845351
11.0,7.979380995281953,8.53895243705832,7.869775107440121,7.979380995281953,2,10,-7.979380995281953,5.530882164718046
12.0,7.979149302891851,8.538346910713278,7.86938855786834,7.979149302891851,2,11,-7.979149302891851,5.48214016710815
13.0,7.978900855333929,8.537702053566424,7.868963516207843,7.978900855333929,2,12,-7.978900855333929,5.43341493466607
14.0,7.978637373427053,8.537029431404092,7.868526581971115,7.978637373427053,2,13,-7.978637373427053,5.384704736572947
15.0,7.9783625779332175,8.53632533726481,7.8680872399974575,7.9783625779332175,2,14,-7.9783625779332175,5.336005842066782
16.0,7.978071693513345,8.535557478343135,7.86764926179594,7.978071693513345,2,15,-7.978071693513345,5.287323046486654
17.0,7.977766473844728,8.534730845070172,7.867212641811195,7.977766473844728,2,16,-7.977766473844728,5.238654576155271
18.0,7.977453199259905,8.533852872837073,7.86677923798415,7.977453199259905,2,17,-7.977453199259905,5.1899941707400945
19.0,7.977134159616571,8.532920504164125,7.866349019569404,7.977134159616571,2,18,-7.977134159616571,5.141339520383428
20.0,7.976809976569752,8.531938592065694,7.865921955305561,7.976809976569752,2,19,-7.976809976569752,5.092690023430247
21.0,7.9764849464673295,8.5309075129327,7.865496149188245,7.9764849464673295,2,20,-7.9764849464673295,5.044041373532671
22.0,7.976147101768723,8.529845574913143,7.865073456982395,7.976147101768723,2,21,-7.976147101768723,4.995405528231276
23.0,7.975795075759068,8.528754457241588,7.864651981644233,7.975795075759068,2,22,-7.975795075759068,4.946783874240932
24.0,7.975417920310421,8.527638331261866,7.864233577968435,7.975417920310421,2,23,-7.975417920310421,4.898187339689579
25.0,7.975006981241017,8.526501621722245,7.8638182122729665,7.975006981241017,2,24,-7.975006981241017,4.849624598758983
26.0,7.974550694458598,8.52534868798569,7.86340585056979,7.974550694458598,2,25,-7.974550694458598,4.801107195541402
27.0,7.974046586160067,8.5241797340223,7.862994594336552,7.974046586160067,2,26,-7.974046586160067,4.7526376238399335
28.0,7.973479322217458,8.522998735238607,7.862584432762707,7.973479322217458,2,27,-7.973479322217458,4.704231207782542
29.0,7.972847486758942,8.521802684521663,7.862175354642829,7.972847486758942,2,28,-7.972847486758942,4.655889353241058
30.0,7.972166227131179,8.52058452501526,7.861767348403604,7.972166227131179,2,29,-7.972166227131179,4.607596932868821
31.0,7.971437298837149,8.519338243599337,7.861362266392969,7.971437298837149,2,30,-7.971437298837149,4.5593521711628515
32.0,7.970649748988092,8.518082773339698,7.860960072692497,7.970649748988092,2,31,-7.970649748988092,4.511166041011909
33.0,7.969810231574794,8.516814744252386,7.8605607312800885,7.969810231574794,2,32,-7.969810231574794,4.463031878425205
34.0,7.968933646855276,8.515523280253772,7.860166070319817,7.968933646855276,2,33,-7.968933646855276,4.414934773144725
35.0,7.968001991070036,8.514208044858872,7.85977416571143,7.968001991070036,2,34,-7.968001991070036,4.366892748929963
36.0,7.967011050332695,8.512871222174416,7.859384981465433,7.967011050332695,2,35,-7.967011050332695,4.318909999667306
37.0,7.965978865489333,8.511516222010279,7.858996617326751,7.965978865489333,2,36,-7.965978865489333,4.270968504510666
38.0,7.964911373845483,8.510150180929086,7.858609061007188,7.964911373845483,2,37,-7.964911373845483,4.227369326154516
39.0,7.963794110465543,8.50877572528166,7.8582223000647335,7.963794110465543,2,38,-7.963794110465543,4.183819929534457
40.0,7.962651633078915,8.507402365859342,7.857836321916373,7.962651633078915,2,39,-7.962651633078915,4.140295736921086
41.0,7.961484607330093,8.506032866738849,7.857452978112993,7.961484607330093,2,40,-7.961484607330093,4.096796092669906
42.0,7.960299518824676,8.504663342274245,7.857072232137628,7.960299518824676,2,41,-7.960299518824676,4.0533145211753245
43.0,7.959094944364633,8.503291534924983,7.856694047554215,7.959094944364633,2,42,-7.959094944364633,4.009852425635367
44.0,7.957885233524276,8.501919183765095,7.856316523757023,7.957885233524276,2,43,-7.957885233524276,3.966395466475725
45.0,7.956652879885292,8.500542979690454,7.855941512457797,7.956652879885292,2,44,-7.956652879885292,3.922961160114708
46.0,7.955409216891123,8.499159483722462,7.855567113081371,7.955409216891123,2,45,-7.955409216891123,3.879538153108877
47.0,7.954173753353907,8.497784136778307,7.855195177385712,7.954173753353907,2,46,-7.954173753353907,3.836106946646093
48.0,7.952949178689264,8.496424304771292,7.854827533382511,7.952949178689264,2,47,-7.952949178689264,3.792664861310736
49.0,7.951721148142324,8.495075978388163,7.854464121267984,7.951721148142324,2,48,-7.951721148142324,3.7492262218576755
50.0,7.9504928653809435,8.49374762418624,7.854103017306295,7.9504928653809435,2,49,-7.9504928653809435,3.7057878346190565
51.0,7.9492612822129445,8.492440950179944,7.853744186052773,7.9492612822129445,2,50,-7.9492612822129445,3.6623527577870547
52.0,7.948022730977803,8.491150993860009,7.853388524356291,7.948022730977803,2,51,-7.948022730977803,3.6189246390221967
53.0,7.946771602083468,8.489868607700524,7.8530353638058035,7.946771602083468,2,52,-7.946771602083468,3.575509097916532
54.0,9.90853214211906,11.728321010052708,10.228103978648628,9.90853214211906,3,1,-1.3545322421190598,4.091467857880939
55.0,9.908331932321396,11.72814969447574,10.22788938566914,9.908331932321396,4,1,-1.3596956723213953,4.071902437678604
56.0,9.908099985460742,11.727978365353286,10.227629900903954,9.908099985460742,4,2,-1.3646175654607422,4.052368754539257
57.0,9.907836867422873,11.727807017998334,10.227326753770866,9.907836867422873,4,3,-1.3694863174228722,4.032866242577127
58.0,9.907521588005249,11.727635646861092,10.226950358363133,9.907521588005249,4,4,-1.3776186580052485,4.01341589199475
59.0,9.907153182382043,11.727464245500228,10.226500017313983,9.907153182382043,4,5,-1.3859544223820421,3.994018667617958
60.0,9.906737438071746,11.727292806667421,10.225984681114975,9.906737438071746,4,6,-1.3934541180717464,3.974668781928255
61.0,9.906277056572177,11.727121322342727,10.22540879965528,9.906277056572177,4,7,-1.4005852365721783,3.955363533427823
62.0,9.90578455782288,11.726949783934524,10.224790803755203,9.90578455782288,4,8,-1.4058325078228808,3.93609040217712
63.0,9.905273720788436,11.726778182504182,10.224150743526577,9.905273720788436,4,9,-1.4089874607884365,3.9168356092115637
64.0,9.904733477013345,11.726606508580655,10.223472973535117,9.904733477013345,4,10,-1.4138591170133452,3.897610212986656
65.0,9.904140402514196,11.726434751766138,10.222724340950263,9.904140402514196,4,11,-1.4223612825141956,3.8784376574858044
66.0,9.90350837814169,11.726262900956977,10.221925305111723,9.90350837814169,4,12,-1.42877687814169,3.8593040518583095
67.0,9.902848631355145,11.726090944524994,10.221092334401943,9.902848631355145,4,13,-1.433498081355145,3.8401981686448554
68.0,9.902157480072956,11.725918870253375,10.22022043417648,9.902157480072956,4,14,-1.438806930072957,3.8211236899270435
69.0,9.901403319648914,11.725746664806682,10.219264758171873,9.901403319648914,4,15,-1.4490051496489134,3.802112220351086
70.0,9.900590931737703,11.725574313798509,10.218232870447503,9.900590931737703,4,16,-1.4585260917377028,3.7831589782622963
71.0,9.899727484508002,11.725401801901494,10.217135666052796,9.899727484508002,4,17,-1.466995984508003,3.764256795491997
72.0,9.898809899467334,11.725229112789037,10.215969289813211,9.898809899467334,4,18,-1.4759831594673347,3.7454087505326648
73.0,9.897842818451299,11.72505622920512,10.214740948399951,9.897842818451299,4,19,-1.4843017884512992,3.726610201548702
74.0,9.896826511847804,11.724883132963274,10.213451528450655,9.896826511847804,4,20,-1.4926188218478043,3.7078608781521964
75.0,9.895778761180695,11.72470980523742,10.212126923175695,9.895778761180695,4,21,-1.498237731180696,3.689142998819305
76.0,9.894701119979809,11.7245362265877,10.210769588942929,9.894701119979809,4,22,-1.5036362799798084,3.6704550100201914
77.0,9.893597577989063,11.724362377026896,10.209385437077716,9.893597577989063,4,23,-1.508437507989063,3.6517929220109373
78.0,9.892472376934174,11.724188236092155,10.207980680518142,9.892472376934174,4,24,-1.5125980169341737,3.6331524930658254
