kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-17306.115,17545.768,-570.79254,-102.1793,8.3525e-07,0.0,433.3188,0.0,0.0,-17979.088,17979.086
2,-11531.665,-41088.67,-475.3653,-123.1542,-1.7414e-05,-0.0,169.1,53049.758,0.0,-12130.185,-40919.57
3,-12183.456,11898.964,-19.2277,-129.5986,1.5994e-06,0.0,433.3188,0.0,0.0,-12332.282,12332.282
4,-10658.817,-10748.362,-29.8686,-155.6765,-7.0348e-06,-0.0,169.1,21423.625,0.0,-10844.362,-10579.263
