iteration,forecast,category,component,period,kper,mean,std,cv,p05,p50,p95,truth
1,ob177004,Budget-SW,Poukawa Stream,kper2,2,-157878.4446833698,1105617.7045416425,700.2968054055724,-345577.87249999994,-418.570835,30122.952749999993,-311.58173
1,ob177005,Budget-SW,Poukawa Stream,kper3,3,-5787.0564882258195,72048.07037725042,1244.9864715134088,-5757.071075,-30.427549999999997,1301.9227549999953,-0.7203
1,ob177006,Budget-SW,Poukawa Stream,kper4,4,-4843.161841034677,61303.10093249661,1265.766103727808,-4421.687215,-46.588499999999996,874.0428799999968,-2.8963
1,ob177007,Budget-Inflow,Recharge,kper1,1,1955.2187999999996,4.547473508864641e-13,2.3258131053489473e-14,1955.2188,1955.2188,1955.2188,1955.2188
1,ob177008,Budget-Inflow,Recharge,kper2,2,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
1,ob177009,Budget-Inflow,Recharge,kper3,3,1955.2187999999996,4.547473508864641e-13,2.3258131053489473e-14,1955.2188,1955.2188,1955.2188,1955.2188
1,ob177010,Budget-Inflow,Recharge,kper4,4,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
1,ob177011,Budget-GHB,Spring GHB,kper1,1,-19097.32206181338,112067.05925887129,586.8208060592868,-130972.84049999996,-419.12585,7624.488764999987,-1641.0883
1,ob177012,Budget-GHB,Spring GHB,kper2,2,-19833.62913150438,140419.03906377722,707.9845959241572,-82882.53349999999,-995.35985,3277.3072399999955,-2091.711
1,ob177013,Budget-GHB,Spring GHB,kper3,3,-948.4827483421487,1216.9769661058378,128.3077597597837,-3753.7885899999997,-411.71469,-15.553217050000113,-526.7386
1,ob177014,Budget-GHB,Spring GHB,kper4,4,-959.2712696322315,1105.4852648704912,115.24219476460664,-3473.53168,-460.77139999999997,-62.78048000000002,-695.5598
1,ob177015,Budget-Storage,Storage Change,kper1,1,0.0,0.0,,0.0,0.0,0.0,0.0
1,ob177016,Budget-Storage,Storage Change,kper2,2,45937.16971792975,93812.01281284068,204.21809482142496,27.409860000000002,5023.563700000001,242996.1809999998,5325.8574
1,ob177017,Budget-Storage,Storage Change,kper3,3,0.0,0.0,,0.0,0.0,0.0,0.0
1,ob177018,Budget-Storage,Storage Change,kper4,4,19765.07710230413,36402.21880732142,184.1744336179584,13.100205,3541.4205,90029.67149999997,3657.3098
1,ob177019,Budget-SW,Total SW,kper1,1,-2621396.996018182,8840482.86308476,337.2431904253026,-14477623.549999999,-51340.8,-1953.6190350000002,-9608.353
1,ob177020,Budget-SW,Total SW,kper2,2,-1696105.6755362395,5665355.85247375,334.0213958474371,-9292998.95,-38485.983,-1970.613855,-11303.128
1,ob177021,Budget-SW,Total SW,kper3,3,-7544277.038717768,33974799.96596148,450.33871094076187,-38020261.8,-36688.66,-1954.6302050000002,-7610.815
1,ob177022,Budget-SW,Total SW,kper4,4,-6269910.214805991,28302916.107625503,451.4086348603522,-31914436.799999997,-41283.931500000006,-1964.4225950000005,-9750.401
2,ob176983,Budget-SW,Awanui Stream,kper1,1,-2672045.7651849496,10966355.20751771,410.41045592864907,-13207161.35,-39024.865,9970.43415,-7496.009
2,ob176984,Budget-SW,Awanui Stream,kper2,2,-1730098.0649425373,6960452.599386138,402.3154953136902,-8813153.299999999,-32788.741,10.539246449992604,-8899.835
2,ob176985,Budget-SW,Awanui Stream,kper3,3,-7513789.176600833,32621136.098807517,434.15027134904267,-42601923.19999999,-41008.08500000001,-1628.8601800000015,-7083.356
2,ob176986,Budget-SW,Awanui Stream,kper4,4,-6287477.6663625,27163797.376952685,432.0301211132219,-34773221.599999994,-40724.39,-1674.675165,-9051.945
2,ob176987,Budget-GHB,Confined GHB,kper1,1,3018388.022586535,11319303.238095954,375.0115344148546,6.034218350000004,53415.8525,14460837.45,0.0
2,ob176988,Budget-GHB,Confined GHB,kper2,2,1933326.0815091296,7214971.882743151,373.1896006446691,-13497.311899999997,28221.5665,9105428.84999999,0.0
2,ob176989,Budget-GHB,Confined GHB,kper3,3,7518632.027815785,32624712.949537545,433.9182025246054,5.218470000000004,41912.18,42600987.79999985,0.0
2,ob176990,Budget-GHB,Confined GHB,kper4,4,6279168.341712314,27165194.18034527,432.6240785724402,-640.6115674999998,31723.129500000003,34687053.1999999,0.0
2,ob177003,Budget-SW,Poukawa Stream,kper1,1,-325637.6858971068,1801901.493888548,553.3455038916788,-964456.3174999999,-861.7656499999999,11253.620949999962,-471.2558
2,ob177004,Budget-SW,Poukawa Stream,kper2,2,-211633.2617645681,1230148.2659235615,581.2641432952267,-612577.2949999998,-513.839635,29352.45129999999,-311.58173
2,ob177005,Budget-SW,Poukawa Stream,kper3,3,-5755.372727213477,70879.57521716802,1231.5375315663543,-5311.8291500000005,-12.63994975,1536.6136149999986,-0.7203
2,ob177006,Budget-SW,Poukawa Stream,kper4,4,-4955.776780440768,60410.124800008154,1218.9839751950099,-3266.033799999999,-19.72345,310.6471599999952,-2.8963
2,ob177007,Budget-Inflow,Recharge,kper1,1,1955.2187999999996,4.547473508864641e-13,2.3258131053489473e-14,1955.2188,1955.2188,1955.2188,1955.2188
2,ob177008,Budget-Inflow,Recharge,kper2,2,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
2,ob177009,Budget-Inflow,Recharge,kper3,3,1955.2187999999996,4.547473508864641e-13,2.3258131053489473e-14,1955.2188,1955.2188,1955.2188,1955.2188
2,ob177010,Budget-Inflow,Recharge,kper4,4,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
2,ob177011,Budget-GHB,Spring GHB,kper1,1,-22660.65793354582,103491.03878596498,456.69917920945045,-109972.17049999998,-726.75065,17249.581949999832,-1641.0883
2,ob177012,Budget-GHB,Spring GHB,kper2,2,-21907.149071992244,88377.51608824491,403.41860913902946,-82187.89149999998,-1937.9650000000001,4205.191894999996,-2091.711
2,ob177013,Budget-GHB,Spring GHB,kper3,3,-1041.5247268895835,1287.666005484862,123.63278299981954,-4001.755785,-482.7946,8.204025099999683,-526.7386
2,ob177014,Budget-GHB,Spring GHB,kper4,4,-1031.5288804166667,1163.400958619496,112.78413825404112,-3762.0787649999997,-491.1675,-62.67426500000013,-695.5598
2,ob177015,Budget-Storage,Storage Change,kper1,1,0.0,0.0,,0.0,0.0,0.0,0.0
2,ob177016,Budget-Storage,Storage Change,kper2,2,28618.55974849167,67142.0705989979,234.61023611622034,17.594450000000002,4709.1335500000005,140559.08699999988,5325.8574
2,ob177017,Budget-Storage,Storage Change,kper3,3,0.0,0.0,,0.0,0.0,0.0,0.0
2,ob177018,Budget-Storage,Storage Change,kper4,4,12603.550064791667,27088.85216221472,214.9303333025836,7.675795,2574.2113,59027.99084999995,3657.3098
2,ob177019,Budget-SW,Total SW,kper1,1,-3020344.115625417,11319303.968668006,374.7686864588984,-14462791.45,-55380.7525,-1963.883035,-9608.353
2,ob177020,Budget-SW,Total SW,kper2,2,-1963638.4848366668,7216598.60728413,367.5115691106654,-9135557.85,-44782.3655,-1979.500745,-11303.128
2,ob177021,Budget-SW,Total SW,kper3,3,-7520586.004529583,32624713.21924777,433.80546674950847,-42602940.19999999,-43866.992,-1959.3653350000002,-7610.815
2,ob177022,Budget-SW,Total SW,kper4,4,-6293464.9909879165,27166858.7211823,431.66774996102396,-34774543.599999994,-45983.204,-1972.426035,-9750.401
3,ob176983,Budget-SW,Awanui Stream,kper1,1,-1885292.2227072585,6249223.405340963,331.4724014703221,-10352166.25,-28900.2845,3312.1367499999997,-7496.009
3,ob176984,Budget-SW,Awanui Stream,kper2,2,-1248648.7067979956,4164861.3562538032,333.5494870237821,-6818686.625,-28946.944000000003,167.12317000000002,-8899.835
3,ob176985,Budget-SW,Awanui Stream,kper3,3,-6029953.746810085,27097824.53136837,449.386938427238,-18257848.5,-35871.379,-1803.88065,-7083.356
3,ob176986,Budget-SW,Awanui Stream,kper4,4,-5128583.491565678,23341860.42891756,455.13269828413473,-15832427.75,-35127.812,-1831.10745,-9051.945
3,ob176987,Budget-GHB,Confined GHB,kper1,1,2044379.571005212,6508166.201122929,318.3443179254083,23.098175,44917.565,11031930.75,0.0
3,ob176988,Budget-GHB,Confined GHB,kper2,2,1340429.672620071,4345873.058920003,324.2149250863226,-1323.260675,23292.2935,7138284.75,0.0
3,ob176989,Budget-GHB,Confined GHB,kper3,3,6033942.779268463,27103038.12466214,449.1762536725287,18.650125,36177.816999999995,18257452.5,0.0
3,ob176990,Budget-GHB,Confined GHB,kper4,4,5122325.017068101,23341943.111298602,455.690395153,1.2015595000000001,27970.082,15810199.25,0.0
3,ob177003,Budget-SW,Poukawa Stream,kper1,1,-154928.9664747705,926031.6323842113,597.7136835383275,-379010.05,-730.7716699999999,7840.931375,-471.2558
3,ob177004,Budget-SW,Poukawa Stream,kper2,2,-102398.40592897724,636368.0968622785,621.4628939669809,-195735.51,-419.53905,9911.328375000001,-311.58173
3,ob177005,Budget-SW,Poukawa Stream,kper3,3,-4969.753826922416,67250.4804618883,1353.195405727652,-3597.573225,-3.4854715,1451.163675,-0.7203
3,ob177006,Budget-SW,Poukawa Stream,kper4,4,-4286.734869445097,57129.28425382648,1332.699268644568,-3018.3628,-7.1724,253.68535,-2.8963
3,ob177007,Budget-Inflow,Recharge,kper1,1,1955.2187999999999,2.2737367544323206e-13,1.1629065526744733e-14,1955.2188,1955.2188,1955.2188,1955.2188
3,ob177008,Budget-Inflow,Recharge,kper2,2,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
3,ob177009,Budget-Inflow,Recharge,kper3,3,1955.2187999999999,2.2737367544323206e-13,1.1629065526744733e-14,1955.2188,1955.2188,1955.2188,1955.2188
3,ob177010,Budget-Inflow,Recharge,kper4,4,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
3,ob177011,Budget-GHB,Spring GHB,kper1,1,-6114.534363317447,58989.63783371897,964.7445631774007,-66888.57149999999,-953.1043,12165.081,-1641.0883
3,ob177012,Budget-GHB,Spring GHB,kper2,2,-12965.485407348473,40266.30894586536,310.56537939600435,-56375.54225,-2440.3764499999997,1821.45955,-2091.711
3,ob177013,Budget-GHB,Spring GHB,kper3,3,-972.9905412101695,1169.9491517781014,120.24260280299973,-3689.2010250000003,-503.48205,36.19260625,-526.7386
3,ob177014,Budget-GHB,Spring GHB,kper4,4,-985.4577184491525,1060.7776055283596,107.64313736339095,-3419.71645,-516.28345,-73.520825,-695.5598
3,ob177015,Budget-Storage,Storage Change,kper1,1,0.0,0.0,,0.0,0.0,0.0,0.0
3,ob177016,Budget-Storage,Storage Change,kper2,2,21889.02147889831,58904.58297668035,269.1056017897656,30.0355,4410.112349999999,79820.9845,5325.8574
3,ob177017,Budget-Storage,Storage Change,kper3,3,0.0,0.0,,0.0,0.0,0.0,0.0
3,ob177018,Budget-Storage,Storage Change,kper4,4,9837.157451826693,22745.780411691885,231.22309999692186,16.019524999999998,2407.57395,42691.72,3657.3098
3,ob177019,Budget-SW,Total SW,kper1,1,-2046335.7570254237,6508166.092779274,318.03999272531973,-11033886.75,-46873.8925,-1979.0943750000001,-9608.353
3,ob177020,Budget-SW,Total SW,kper2,2,-1364012.5965567797,4359100.566581624,319.57920165733367,-7159844.5,-36948.332,-2154.204775,-11303.128
3,ob177021,Budget-SW,Total SW,kper3,3,-6035896.567416949,27103038.39527856,449.03086215205406,-18259407.75,-38130.949,-1973.2163,-7610.815
3,ob177022,Budget-SW,Total SW,kper4,4,-5133855.671896186,23345937.966651738,454.74472713466315,-15835631.0,-37071.332500000004,-2155.2325,-9750.401
4,ob176983,Budget-SW,Awanui Stream,kper1,1,-8657253.860804971,34975963.48426883,404.0075992529193,-43740805.79999998,-25987.928999999996,96926.5877499997,-7496.009
4,ob176984,Budget-SW,Awanui Stream,kper2,2,-5509522.494258229,21837169.580702204,396.3532157906588,-28123387.09999999,-20724.799,27781.04089999992,-8899.835
4,ob176985,Budget-SW,Awanui Stream,kper3,3,-17081577.836203203,73631802.15600373,431.0597232999536,-76987093.99999999,-40032.020000000004,-1450.1637100000019,-7083.356
4,ob176986,Budget-SW,Awanui Stream,kper4,4,-13888127.196739601,59728531.98996519,430.069016101661,-68238517.29999998,-41935.648,-1622.6597200000006,-9051.945
4,ob176987,Budget-GHB,Confined GHB,kper1,1,9224540.955529487,35235151.24843451,381.97186633242086,0.908925,42775.988,43741966.29999971,0.0
4,ob176988,Budget-GHB,Confined GHB,kper2,2,5790504.284938612,21964247.77982211,379.3149387170338,-25403.60755,10476.5665,27892696.399999835,0.0
4,ob176989,Budget-GHB,Confined GHB,kper3,3,17084894.28400514,73633688.351329,430.9870879345434,0.6259,38708.186499999996,76989843.99999985,0.0
4,ob176990,Budget-GHB,Confined GHB,kper4,4,13865368.580448873,59714332.63023703,430.6725225785801,-977.7487299999999,24401.289,68216140.29999976,0.0
4,ob177003,Budget-SW,Poukawa Stream,kper1,1,-357365.9433335661,1818124.0040645103,508.7569305303023,-1324967.66,-913.26355,17546.21554999997,-471.2558
4,ob177004,Budget-SW,Poukawa Stream,kper2,2,-225712.02361953008,1241152.7786928972,549.8833242419721,-886425.1319999999,-514.95955,35334.10144999997,-311.58173
4,ob177005,Budget-SW,Poukawa Stream,kper3,3,-4215.832802368385,46648.751850169356,1106.5133281368003,-5532.711699999998,-8.0164503,2711.5567699999997,-0.7203
4,ob177006,Budget-SW,Poukawa Stream,kper4,4,-3100.8394145167535,40745.12495545733,1314.0030652573216,-2776.2556649999997,-10.919250000000002,1417.2011549999995,-2.8963
4,ob177007,Budget-Inflow,Recharge,kper1,1,1955.2188,0.0,0.0,1955.2188,1955.2188,1955.2188,1955.2188
4,ob177008,Budget-Inflow,Recharge,kper2,2,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
4,ob177009,Budget-Inflow,Recharge,kper3,3,1955.2188,0.0,0.0,1955.2188,1955.2188,1955.2188,1955.2188
4,ob177010,Budget-Inflow,Recharge,kper4,4,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
4,ob177011,Budget-GHB,Spring GHB,kper1,1,-211877.1750075571,1644018.6440727129,775.9300377749869,-614055.7605,-755.6380299999998,31967.212399999655,-1641.0883
4,ob177012,Budget-GHB,Spring GHB,kper2,2,-117731.7737137278,648769.9481446863,551.057652220726,-475280.4749999999,-2284.64915,7217.072249999971,-2091.711
4,ob177013,Budget-GHB,Spring GHB,kper3,3,-1054.775134788,1412.084228037867,133.87538077693523,-4418.2259699999995,-426.32074,35.27289179999997,-526.7386
4,ob177014,Budget-GHB,Spring GHB,kper4,4,-1038.195873358,1238.5181058742437,119.29522527076803,-3974.32926,-463.89234999999996,-69.30227775000031,-695.5598
4,ob177015,Budget-Storage,Storage Change,kper1,1,0.0,0.0,,0.0,0.0,0.0,0.0
4,ob177016,Budget-Storage,Storage Change,kper2,2,60768.483670999995,141556.5036094962,232.94394570692566,12.405805000000003,2347.2052,489924.86499999894,5325.8574
4,ob177017,Budget-Storage,Storage Change,kper3,3,0.0,0.0,,0.0,0.0,0.0,0.0
4,ob177018,Budget-Storage,Storage Change,kper4,4,25203.50909548,55562.42781273585,220.45512631691602,5.629655,1408.0070500000002,187210.03949999958,3657.3098
4,ob177019,Budget-SW,Total SW,kper1,1,-9226496.946342,35235150.17324913,381.89087774226925,-43743918.999999985,-44732.025,-1957.2096549999999,-9608.353
4,ob177020,Budget-SW,Total SW,kper2,2,-5852966.3119628,21996295.531205066,375.8144906155897,-28124074.29999999,-36385.0065,-1834.8316200000004,-11303.128
4,ob177021,Budget-SW,Total SW,kper3,3,-17086848.8083188,73633690.99650617,430.93780381937546,-76991795.99999999,-40664.425,-1954.6057700000001,-7610.815
4,ob177022,Budget-SW,Total SW,kper4,4,-13892266.2129504,59730379.60438865,429.95418234001204,-68242887.69999999,-39593.806,-1831.2836600000003,-9750.401
5,ob176983,Budget-SW,Awanui Stream,kper1,1,-4373595.036539164,24800562.12752823,567.0520914792553,-18866330.7,-23651.7715,33737.16874999991,-7496.009
5,ob176984,Budget-SW,Awanui Stream,kper2,2,-2712515.9881851375,14688101.271032916,541.4936293466893,-11106718.4,-23577.8185,16255.77319999989,-8899.835
5,ob176985,Budget-SW,Awanui Stream,kper3,3,-8896881.044795766,38750090.07938963,435.54690553108503,-45466475.99999999,-39413.969,-1612.1694700000003,-7083.356
5,ob176986,Budget-SW,Awanui Stream,kper4,4,-7320081.381418144,31788372.307597727,434.26255325919965,-36770498.699999996,-41147.9355,-1591.7117500000013,-9051.945
5,ob176987,Budget-GHB,Confined GHB,kper1,1,4752225.610506069,25282692.356258933,532.017930722076,2.0161950000000024,49334.894499999995,19392413.9,0.0
5,ob176988,Budget-GHB,Confined GHB,kper2,2,2941389.7368767955,15036166.396792836,511.192590641131,-12714.808299999999,15679.60975,12391697.799999973,0.0
5,ob176989,Budget-GHB,Confined GHB,kper3,3,8897631.855736837,38751363.698441245,435.5244668102999,0.9306150000000004,38227.91,45465348.89999986,0.0
5,ob176990,Budget-GHB,Confined GHB,kper4,4,7307685.710764796,31783495.5704354,434.93243727786233,-1424.5518599999994,24684.724000000002,36690995.79999992,0.0
5,ob177003,Budget-SW,Poukawa Stream,kper1,1,-329958.31148126867,1821016.7947361046,551.8929911360883,-1040356.2949999996,-703.635675,20375.848749999997,-471.2558
5,ob177004,Budget-SW,Poukawa Stream,kper2,2,-217131.9528408907,1249112.804861383,575.2782068775958,-580488.8144999997,-424.7469,36391.520999999804,-311.58173
5,ob177005,Budget-SW,Poukawa Stream,kper3,3,-1723.9051424468194,41508.322560592744,2407.8078044177096,-2534.906325,-4.9849499999999995,3645.256089999993,-0.7203
5,ob177006,Budget-SW,Poukawa Stream,kper4,4,-1851.525275548137,34628.2080710481,1870.2530572150333,-2490.02969,-6.97474985,1649.7929549999956,-2.8963
5,ob177007,Budget-Inflow,Recharge,kper1,1,1955.2187999999996,4.547473508864641e-13,2.3258131053489473e-14,1955.2188,1955.2188,1955.2188,1955.2188
5,ob177008,Budget-Inflow,Recharge,kper2,2,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
5,ob177009,Budget-Inflow,Recharge,kper3,3,1955.2187999999996,4.547473508864641e-13,2.3258131053489473e-14,1955.2188,1955.2188,1955.2188,1955.2188
5,ob177010,Budget-Inflow,Recharge,kper4,4,1691.0,0.0,0.0,1691.0,1691.0,1691.0,1691.0
5,ob177011,Budget-GHB,Spring GHB,kper1,1,-50628.38437718181,308230.5028095386,608.809675839583,-228545.87949999995,-630.73955,28811.215099999972,-1641.0883
5,ob177012,Budget-GHB,Spring GHB,kper2,2,-44224.39861759645,205138.48485871757,463.8581671455335,-219797.52399999998,-1442.2683,14556.388249999905,-2091.711
5,ob177013,Budget-GHB,Spring GHB,kper3,3,-981.3618759100806,1291.1965552545853,131.5719090938982,-3879.92086,-411.8956,40.76985494999997,-526.7386
5,ob177014,Budget-GHB,Spring GHB,kper4,4,-968.7147246744759,1146.0028210592986,118.30137313587323,-3534.978905,-468.09605,-52.54905500000006,-695.5598
5,ob177015,Budget-Storage,Storage Change,kper1,1,0.0,0.0,,0.0,0.0,0.0,0.0
5,ob177016,Budget-Storage,Storage Change,kper2,2,30788.661740532254,75580.18921545659,245.4805923440244,9.906145000000002,2634.09025,139737.0859999999,5325.8574
5,ob177017,Budget-Storage,Storage Change,kper3,3,0.0,0.0,,0.0,0.0,0.0,0.0
5,ob177018,Budget-Storage,Storage Change,kper4,4,13522.358969669356,30372.999722114448,224.61317430073458,5.6077650000000006,1616.80835,61123.50994999972,3657.3098
5,ob177019,Budget-SW,Total SW,kper1,1,-4754181.7271451615,25282691.823849875,531.7990197869841,-19394368.6,-51290.095,-1960.938355,-9608.353
5,ob177020,Budget-SW,Total SW,kper2,2,-2973872.3931216532,15043314.70940909,505.8493681236345,-12421179.599999998,-39258.243,-1850.3335950000003,-11303.128
5,ob177021,Budget-SW,Total SW,kper3,3,-8899586.122604435,38751362.51012091,435.4288163097236,-45467302.89999999,-40175.8845,-1957.13783,-7610.815
5,ob177022,Budget-SW,Total SW,kper4,4,-7322901.593210887,31789363.890488893,434.10884996680863,-36771337.49999999,-40439.3385,-1867.921340000001,-9750.401
6,ob176983,Budget-SW,Awanui Stream,kper1,1,-1802557.6454458674,6469914.514469188,358.9296869820126,-8372053.399999999,-23018.695,12121.333199999923,-7496.009
6,ob176984,Budget-SW,Awanui Stream,kper2,2,-1177394.2349511755,4263893.985926167,362.14666756058847,-5315215.1,-22525.295,5384.630399999977,-8899.835
6,ob176985,Budget-SW,Awanui Stream,kper3,3,-5494985.080270203,25171944.033301223,458.089397252075,-14792991.199999997,-31203.156,-1682.8208800000004,-7083.356
6,ob176986,Budget-SW,Awanui Stream,kper4,4,-4525166.299588571,20478406.80451249,452.54484473585836,-12871968.799999997,-34612.926,-1670.5697600000005,-9051.945
6,ob176987,Budget-GHB,Confined GHB,kper1,1,2034131.7270659374,6783736.82128346,333.49545317148295,6.0743000000000045,38828.156,10087587.599999998,0.0
6,ob176988,Budget-GHB,Confined GHB,kper2,2,1314139.909390011,4468415.053311685,340.02582383985316,-408.95183199999985,19338.123,6861610.599999981,0.0
6,ob176989,Budget-GHB,Confined GHB,kper3,3,5496838.177413808,25174302.237917125,457.9778670101093,6.010540000000001,30484.63,14791332.399999967,0.0
6,ob176990,Budget-GHB,Confined GHB,kper4,4,4517448.03151189,20480263.069023427,453.35912945010983,0.5665600000000001,23819.932,12840876.199999968,0.0
6,ob177003,Budget-SW,Poukawa Stream,kper1,1,-215523.19392336943,1411130.9170980786,654.7466615587623,-411710.57399999985,-553.0669,7189.859079999935,-471.2558
6,ob177004,Budget-SW,Poukawa Stream,kper2,2,-143117.68569381553,971343.2870915693,678.7024834719945,-252764.67399999994,-248.17949,13674.092999999984,-311.58173
6,ob177005,Budget-SW,Poukawa Stream,kper3,3,-2877.1759951264858,36602.97622143762,1272.1841237184549,-1792.3706599999998,-1.3999,848.719459999995,-0.7203
