Iteration,Category,Subcategory,Group,Pname,Mean_Change,Std_Change,Initial_CV,Current_CV,CV_Reduction_%,Pct_at_Lower_Bound,Pct_at_Upper_Bound
1,GHB Head,GHB-Confined-head,pg20,ghbconf-head-hg,47.92154416551732,2.4467031998559605,13.193413321562774,8.74768914765608,33.69654285476514,0.0412351974352868,0.0412351974352868
1,GHB Conductance,GHB-Confined-cond,pg12,ghbconf-cond-gr,132.86201768805276,4.6501170973992405,78.288811057662,69.7879429087566,10.858343656086767,0.05023724757961,0.0990225515875551
1,GHB Conductance,GHB-Awanui-cond,pg6,ghbaw-cond-gr,228.15766655427873,2.165602623311682,80.60007296307107,79.03726734291952,1.938963034025526,0.1242628059725043,0.0946764235980985
1,GHB Head,GHB-Awanui-head,pg14,ghbaw-head-hg,243.09571747498384,2.1261746357776867,216.55000025583047,99.7654338981102,53.92960804421699,0.0858005088857768,0.0641038284778792
1,Hydraulic Conductivity,K-grid,pg0,npfklayer1-gr,215.2626082301452,2.0144656985082667,57.939095797048765,23.279436043223452,59.82085028601838,0.0,3.4420838561723857
1,Storage,S-grid,pg3,stosslayer1-gr,349.250876045321,1.7917125242882344,132.27243850230172,1721.6997209282179,-1201.6314966464142,0.2985591276881138,0.0302886071567651
1,Storage,S-pilot,pg4,stosslayer1-pp,1039.6055164438123,2.895541483362035,471.4177219237956,102.36072180101417,78.28661990404325,0.139602412329685,0.1228501228501228
1,Hydraulic Conductivity,K-pilot,pg1,npfklayer1-pp,183.99560873399264,3.4649338548573065,189.4742561810492,261.34173355528316,-37.92994300268532,0.0,3.702255974983248
1,GHB Conductance,GHB-Poukawa-cond,pg8,ghbpw-cond-gr,277.5902142523289,2.25215053996135,192.99252499868305,36.146632481343694,81.27044947383824,0.0330578512396694,0.1322314049586776
1,GHB Head,GHB-Poukawa-head,pg16,ghbpw-head-hg,65.1853221061519,1.9806756710585036,27.517396418496915,38.78097238615417,-40.93256424538039,0.1983471074380165,0.2314049586776859
1,GHB Head,GHB-Spring-head,pg18,ghbspring-head-hg,37.26061555492976,1.432690310716974,16.540207508259837,28.24377585817255,-70.75829214396612,0.0,0.1033057851239669
1,GHB Conductance,GHB-Spring-cond,pg10,ghbspring-cond-gr,93.59378986984457,2.0903227900553527,106.78779492785344,220.26589123325587,-106.26504309979339,0.1033057851239669,0.1033057851239669
1,Storage,S-constant,pg5,stosslayer1-cn,589.8206494544484,8.290641133398358,47.21718146999618,6.27736708596062,86.70533290948438,1.2396694214876032,0.0
1,Hydraulic Conductivity,K-constant,pg2,npfklayer1-cn,5.251943164479882,3.159695096851993,9.56311584539139,9.774290737165218,-2.2082226670462872,0.0,1.2396694214876032
1,GHB Conductance,GHB-Confined-cond,pg13,ghbconf-cond-cn,4122.764846159664,9.202958367078985,768.9497417714439,16.533802913686053,97.84982008374217,0.0,0.0
1,GHB Conductance,GHB-Spring-cond,pg11,ghbspring-cond-cn,119.99944273446668,5.063753128874979,72.80427102973523,345.5978418758449,-374.69446089872037,0.0,0.0
1,GHB Conductance,GHB-Awanui-cond,pg7,ghbaw-cond-cn,104.39390280204266,2.99103854519272,25.65411240461269,12.17589550030107,52.53823126575291,0.0,0.0
1,GHB Conductance,GHB-Poukawa-cond,pg9,ghbpw-cond-cn,15.076095303452544,2.065982898238744,17.671352697803574,20.37855611446359,-15.319729411526609,0.0,0.0
1,GHB Head,GHB-Poukawa-head,pg17,ghbpw-head-cn,64.02779348545955,1.5405862084713806,20.836165344841625,12.507128102642731,39.97394484230708,0.0,0.0
1,GHB Head,GHB-Awanui-head,pg15,ghbaw-head-cn,4.07858415041639,0.8169823999337278,9.29494902857955,8.857740529607657,4.7037213181868,0.0,0.0
1,GHB Head,GHB-Spring-head,pg19,ghbspring-head-cn,759.0499964423451,2.202807492145753,385.9161733629045,43.934018339524485,88.61565765521566,0.0,0.0
1,GHB Head,GHB-Confined-head,pg21,ghbconf-head-cn,2473.3058286015166,3.979478369414029,461.0843017808874,18.65480404552993,95.9541446166183,0.0,0.0
10,GHB Head,GHB-Confined-head,pg20,ghbconf-head-hg,704.4805317014913,0.7338800861284712,13.193413321562774,5.9700926837516715,54.74944551313043,1.0740688685874913,0.0053408292340126
10,GHB Conductance,GHB-Confined-cond,pg12,ghbconf-cond-gr,2054.0919121421525,0.4640770445173036,78.288811057662,8.591981657252001,89.02527507931656,0.8286718200983836,0.0033731553056921
10,GHB Conductance,GHB-Awanui-cond,pg6,ghbaw-cond-gr,1884.6716101944955,0.1609467500838997,80.60007296307107,38.396352538191486,52.36188861046847,0.2167064439140811,0.1231503579952267
10,GHB Head,GHB-Awanui-head,pg14,ghbaw-head-hg,5161.526735740966,0.1100703137439821,216.55000025583047,15.515433867581296,92.83517254710159,0.2348448687350835,0.0525059665871121
10,Hydraulic Conductivity,K-grid,pg0,npfklayer1-gr,1565.6680528441148,0.4410938006536533,57.939095797048765,582.5422819811739,-905.4390286340072,0.0020942408376963,2.3790575916230368
10,Storage,S-grid,pg3,stosslayer1-gr,3801.046793462663,0.2359097908711669,132.27243850230172,17.589641467475467,86.70196023703805,0.481675392670157,0.0544502617801047
10,Storage,S-pilot,pg4,stosslayer1-pp,20019.721383775686,0.3858764169892395,471.4177219237956,8.526500035994314,98.19130685176646,0.0108108108108108,0.454054054054054
10,Hydraulic Conductivity,K-pilot,pg1,npfklayer1-pp,6801.52466660428,4.317013479740688,189.4742561810492,4.992271987548627,97.36519773811469,0.0,10.67027027027027
10,GHB Conductance,GHB-Poukawa-cond,pg8,ghbpw-cond-gr,1437.6381028468006,0.0942881914547988,192.99252499868305,100.68567623628144,47.829235232313536,0.176,0.08
10,GHB Head,GHB-Poukawa-head,pg16,ghbpw-head-hg,598.9467650721157,0.1038485851196815,27.517396418496915,6.927916741080131,74.82350206495823,0.0,0.288
10,GHB Head,GHB-Spring-head,pg18,ghbspring-head-hg,1228.9519227267226,0.7118820230555318,16.540207508259837,1.5025439160216292,90.91580976072223,0.0,0.7
10,GHB Conductance,GHB-Spring-cond,pg10,ghbspring-cond-gr,2385.900938744629,0.4788370566393795,106.78779492785344,8.171924257888508,92.34751100216133,0.6666666666666667,0.0333333333333333
10,Storage,S-constant,pg5,stosslayer1-cn,1364.8574394657683,1.4064378639732191,47.21718146999618,3.177995339155943,93.26940905785455,2.0,0.0
10,Hydraulic Conductivity,K-constant,pg2,npfklayer1-cn,132.90842070386103,1.5849486938502584,9.56311584539139,28.59920094738625,-199.05735128335434,0.0,6.800000000000001
10,GHB Conductance,GHB-Confined-cond,pg13,ghbconf-cond-cn,5793.762476710494,0.0,768.9497417714439,13.046839685345116,98.30329097252977,0.0,0.0
10,GHB Conductance,GHB-Spring-cond,pg11,ghbspring-cond-cn,2429.674476751941,0.3104526435415337,72.80427102973523,2.869074614647711,96.05919464055081,0.0,0.4
10,GHB Conductance,GHB-Awanui-cond,pg7,ghbaw-cond-cn,284.83854252087747,0.1314565156597874,25.65411240461269,13.860955649673729,45.96984907892785,0.0,0.4
10,GHB Conductance,GHB-Poukawa-cond,pg9,ghbpw-cond-cn,726.839583913138,0.4300628512271122,17.671352697803574,2.12802520789685,87.95776846126019,0.8,0.0
10,GHB Head,GHB-Poukawa-head,pg17,ghbpw-head-cn,1573.3850888863583,0.1754636741307512,20.836165344841625,1.2429658649236435,94.03457476770618,0.0,1.2
10,GHB Head,GHB-Awanui-head,pg15,ghbaw-head-cn,273.1558989524219,0.0,9.29494902857955,5.367965564449829,42.24857448981451,0.0,0.0
10,GHB Head,GHB-Spring-head,pg19,ghbspring-head-cn,21593.631183978705,0.981984753723465,385.9161733629045,1.761468756141378,99.54356182048765,0.0,1.2
10,GHB Head,GHB-Confined-head,pg21,ghbconf-head-cn,15541.243943655136,0.3758896332903818,461.0843017808874,2.9748324381502487,99.35481810448539,0.8,0.0
11,GHB Head,GHB-Confined-head,pg20,ghbconf-head-hg,836.1976626170099,3.5439036802666055,13.193413321562774,2.611604267212669,80.20524178572977,1.4037603797668048,0.0593744173706024
11,GHB Conductance,GHB-Confined-cond,pg12,ghbconf-cond-gr,2377.4895682573047,5.341106647269818,78.288811057662,3.638386615832153,95.35260969392884,1.4487931504295324,0.0114733173662999
11,GHB Conductance,GHB-Awanui-cond,pg6,ghbaw-cond-gr,2021.0354550144148,2.671515191956008,80.60007296307107,15.97860510297461,80.17544585810039,0.3886805318786225,0.4140080853343723
11,GHB Head,GHB-Awanui-head,pg14,ghbaw-head-hg,5059.710067892616,2.232604909203504,216.55000025583047,11.3561004467776,94.75589913028789,0.3536116117091228,0.3818615751789976
11,Hydraulic Conductivity,K-grid,pg0,npfklayer1-gr,1731.4540758860887,2.9357708100002204,57.939095797048765,10.661372470099442,81.59900094498454,0.0854792178651565,2.2587883320867608
11,Storage,S-grid,pg3,stosslayer1-gr,3717.127638290888,3.1294154640207976,132.27243850230172,14.824299236252871,88.79260153959065,0.5855326423763222,0.0854792178651565
11,Storage,S-pilot,pg4,stosslayer1-pp,19188.42804872752,4.0045261196741855,471.4177219237956,8.119763869874443,98.27758620597913,0.1875344732487589,0.2978488692774406
11,Hydraulic Conductivity,K-pilot,pg1,npfklayer1-pp,8647.989127186247,13.536742136360523,189.4742561810492,3.957051856169551,97.91156226923596,0.0,8.257032542746828
11,GHB Conductance,GHB-Poukawa-cond,pg8,ghbpw-cond-gr,2069.8110067350194,2.922356353089375,192.99252499868305,14.76518403369474,92.34934926428083,0.1959183673469387,0.2938775510204081
11,GHB Head,GHB-Poukawa-head,pg16,ghbpw-head-hg,632.2918003134263,2.8207537893960586,27.517396418496915,125.48790404756012,-356.0311671172801,0.5224489795918367,0.6040816326530613
11,GHB Head,GHB-Spring-head,pg18,ghbspring-head-hg,1464.0649912670904,2.659311716925437,16.540207508259837,1.2197621205857236,92.62547268541462,0.1020408163265306,1.6326530612244898
11,GHB Conductance,GHB-Spring-cond,pg10,ghbspring-cond-gr,2137.295160861821,1.8414360021258236,106.78779492785344,10.949452616365324,89.74653177943898,0.5782312925170067,0.3741496598639455
11,Storage,S-constant,pg5,stosslayer1-cn,1935.4477396786888,3.94368323115864,47.21718146999618,2.228260864575076,95.28082618402158,2.040816326530612,0.0
11,Hydraulic Conductivity,K-constant,pg2,npfklayer1-cn,153.32697877223345,10.349757463477795,9.56311584539139,16.07695906805428,-68.1142352343458,0.0,4.489795918367347
11,GHB Conductance,GHB-Confined-cond,pg13,ghbconf-cond-cn,11715.268636388137,8.704392469611328,768.9497417714439,5.941611316322957,99.22730823699413,0.0,0.0
11,GHB Conductance,GHB-Spring-cond,pg11,ghbspring-cond-cn,2772.644474607336,0.5764751824887222,72.80427102973523,2.549009117949499,96.49881925621038,1.2244897959183672,0.4081632653061224
11,GHB Conductance,GHB-Awanui-cond,pg7,ghbaw-cond-cn,217.6896375751816,0.9376970233224584,25.65411240461269,22.00250658130263,14.233997909253294,0.0,2.4489795918367347
11,GHB Conductance,GHB-Poukawa-cond,pg9,ghbpw-cond-cn,873.007026008188,1.0009011765076867,17.671352697803574,1.797980842185534,89.82544871955947,0.8163265306122449,0.0
11,GHB Head,GHB-Poukawa-head,pg17,ghbpw-head-cn,1873.763214165093,4.194128922557285,20.836165344841625,1.0113811811112237,95.14603016259127,0.0,1.6326530612244898
11,GHB Head,GHB-Awanui-head,pg15,ghbaw-head-cn,239.11431951940767,1.8742992259376152,9.29494902857955,6.806750174235285,26.769365240128817,0.0,0.8163265306122449
11,GHB Head,GHB-Spring-head,pg19,ghbspring-head-cn,25683.744125389087,5.64022244192545,385.9161733629045,1.5811617661008994,99.5902836223933,0.8163265306122449,1.2244897959183672
11,GHB Head,GHB-Confined-head,pg21,ghbconf-head-cn,22270.87215169364,1.6668694267289828,461.0843017808874,2.1143506301032478,99.54143946737358,1.2244897959183672,0.0
12,GHB Head,GHB-Confined-head,pg20,ghbconf-head-hg,867.7848037353833,3.2660248776844805,13.193413321562774,2.6554138563128094,79.87318526606826,1.3477980791754507,0.108339189505739
12,GHB Conductance,GHB-Confined-cond,pg12,ghbconf-cond-gr,3272.4156968966654,8.864489040690424,78.288811057662,2.359912706110896,96.98563220691557,1.0081400796439444,0.0002928086202857
12,GHB Conductance,GHB-Awanui-cond,pg6,ghbaw-cond-gr,2296.293715242404,3.4209430473957054,80.60007296307107,16.61764587502042,79.38259201994245,0.4266109785202863,0.3152346857597454
12,GHB Head,GHB-Awanui-head,pg14,ghbaw-head-hg,6527.250106425461,2.7085244179566335,216.55000025583047,16.983115224321516,92.15741620676158,0.3152346857597454,0.5061654733492442
12,Hydraulic Conductivity,K-grid,pg0,npfklayer1-gr,1909.5587736831155,4.15855808496728,57.939095797048765,25.947135748899075,55.21653316822949,0.1308900523560209,1.7539267015706803
12,Storage,S-grid,pg3,stosslayer1-gr,4433.0718184500265,3.6994152973819423,132.27243850230172,11.401777295130575,91.38008082089439,0.5671902268760906,0.2225130890052356
12,Storage,S-pilot,pg4,stosslayer1-pp,27272.595338301453,3.7850650710615046,471.4177219237956,2.7546467811854414,99.41566753792283,0.3997747747747747,0.7263513513513514
12,Hydraulic Conductivity,K-pilot,pg1,npfklayer1-pp,8564.318087765545,15.827994272990386,189.4742561810492,3.0920094254048704,98.36811106282937,0.0056306306306306,5.788288288288288
12,GHB Conductance,GHB-Poukawa-cond,pg8,ghbpw-cond-gr,1478.1308859730739,3.7758706585881305,192.99252499868305,12.2758595415422,93.63920465747265,0.2,0.4166666666666666
12,GHB Head,GHB-Poukawa-head,pg16,ghbpw-head-hg,722.0614454549618,1.9072569668898431,27.517396418496915,7.136087126737316,74.06699740699119,0.4499999999999999,0.4833333333333333
12,GHB Head,GHB-Spring-head,pg18,ghbspring-head-hg,1506.0633030254812,6.28150769137986,16.540207508259837,1.133996191734376,93.1440026301479,0.1736111111111111,1.1805555555555556
12,GHB Conductance,GHB-Spring-cond,pg10,ghbspring-cond-gr,2646.730238616623,3.7018214858741314,106.78779492785344,16.433426897636963,84.61113752864782,0.3472222222222222,0.625
12,Storage,S-constant,pg5,stosslayer1-cn,2083.5615295236216,7.8796263299583424,47.21718146999618,1.992004503583264,95.78118718320984,1.25,0.0
12,Hydraulic Conductivity,K-constant,pg2,npfklayer1-cn,185.61101867889508,18.762978208231676,9.56311584539139,9.07452174168303,5.109151782824224,0.0,2.9166666666666665
12,GHB Conductance,GHB-Confined-cond,pg13,ghbconf-cond-cn,11650.467213108275,9.915188131130655,768.9497417714439,5.895143705164423,99.23335123416732,0.0,0.4166666666666666
12,GHB Conductance,GHB-Spring-cond,pg11,ghbspring-cond-cn,3148.2830319562286,4.678319174987262,72.80427102973523,2.136459605742772,97.06547490205597,0.8333333333333333,0.4166666666666666
12,GHB Conductance,GHB-Awanui-cond,pg7,ghbaw-cond-cn,67.57509686176128,6.0673406088622,25.65411240461269,74.31815577708282,-189.69295294628935,0.0,0.8333333333333333
12,GHB Conductance,GHB-Poukawa-cond,pg9,ghbpw-cond-cn,915.4584528255352,4.716531991676545,17.671352697803574,1.6581552546633407,90.61670443106804,1.25,0.0
12,GHB Head,GHB-Poukawa-head,pg17,ghbpw-head-cn,2129.957618301973,5.5131823867449645,20.836165344841625,0.8828611532970735,95.76284244876352,0.0,2.9166666666666665
12,GHB Head,GHB-Awanui-head,pg15,ghbaw-head-cn,407.6303643215281,0.7487732377014386,9.29494902857955,2.9988427696797295,67.73685621664983,0.0,0.8333333333333333
12,GHB Head,GHB-Spring-head,pg19,ghbspring-head-cn,29786.73067974092,0.9293731679448468,385.9161733629045,1.3032632404752391,99.66229369732848,0.8333333333333333,1.6666666666666667
12,GHB Head,GHB-Confined-head,pg21,ghbconf-head-cn,24641.030046128235,1.8239746529100993,461.0843017808874,1.913099660818797,99.58508679357992,0.8333333333333333,0.0
13,GHB Head,GHB-Confined-head,pg20,ghbconf-head-hg,860.7227286329504,3.7005310437506393,13.193413321562774,3.2568308056502433,75.31472162455934,0.6836022188663446,0.080740419551143
13,GHB Conductance,GHB-Confined-cond,pg12,ghbconf-cond-gr,3149.99964644982,9.91092143308604,78.288811057662,2.4608218407888742,96.8567387758943,0.539764656628938,0.0008971157727904
13,GHB Conductance,GHB-Awanui-cond,pg6,ghbaw-cond-gr,2239.691679504947,4.126830482918751,80.60007296307107,13.1833364365539,83.64351798714354,0.246788198852384,0.1960087340679429
13,GHB Head,GHB-Awanui-head,pg14,ghbaw-head-hg,5988.333022172064,3.841727603945003,216.55000025583047,17.114612126071766,92.09669263179279,0.2081958056162088,0.2650688061747829
13,Hydraulic Conductivity,K-grid,pg0,npfklayer1-gr,1834.5660767537563,4.8321966163033085,57.939095797048765,17.121954041390424,70.44835821848888,0.0556978946195833,1.7711930489027514
13,Storage,S-grid,pg3,stosslayer1-gr,4497.077359939707,4.628101444606904,132.27243850230172,9.36254540589325,92.92177152556967,0.3520106939957669,0.1292191155174334
