Iteration,Group,Pname,Category,Subcategory,Mean,Std,CV,N_Params,Is_Reinflation
1,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.02091091904386751,0.1661751346308623,-794.6811628998968,1423,False
2,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.05067269467953229,0.16251021401140137,-320.70568782489175,1423,False
3,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.05623621595400982,0.15976286786242025,-284.09249298188,1423,False
4,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.0561351337403852,0.17018350231864782,-303.1675369399058,1423,True
5,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.06116864133128013,0.1659403002456848,-271.28328606642935,1423,False
6,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.07981029490654104,0.16239148828357974,-203.47185594758471,1423,False
7,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.09140676454071159,0.15668545861697572,-171.41560518443873,1423,False
7,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.09140676454071159,0.15668545861697572,-171.41560518443873,1423,False
8,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.08834646179447272,0.15337630761470636,-173.60775349613618,1423,False
9,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.09908794804157395,0.1534094279075243,-154.82148025021053,1423,False
10,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.09857337741330431,0.1726050086735151,-175.10306860016226,1423,True
11,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.11606221291215628,0.1688019630136948,-145.44093101296934,1423,False
12,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.11838913337525013,0.17003533755289105,-143.6241086535716,1423,False
13,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.11726578771304105,0.1695859018790245,-144.61669101137582,1423,False
14,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.11911247262574745,0.1679705175615377,-141.01841214337202,1423,False
15,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.12072991128753745,0.16814671881998888,-139.27511171570464,1423,False
16,pg20,ghbconf-head-hg,GHB Head,GHB-Confined-head,-0.12230195431592455,0.16863950814927742,-137.88782778863526,1423,False
0,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,0.00037319511014972663,0.17207440679142721,46108.430178088514,1,False
1,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.00885706130123928,0.16522674299386486,-1865.4804045529904,1,False
2,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.00886775233668374,0.16227445651673908,-1829.9389783975926,1,False
3,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,0.0022235061467692947,0.1616563803539635,7270.33656231833,1,False
4,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,0.002216104902622831,0.17205295519844074,7763.755000713665,1,True
5,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,0.0011627371433289005,0.16593784194353464,14271.31169719554,1,False
6,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,0.007741220979340021,0.16843605805489473,2175.833224557488,1,False
7,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.003191919563961984,0.15555740863227124,-4873.475208729412,1,False
7,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.003191919563961984,0.15555740863227124,-4873.475208729412,1,False
8,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.021952621038102388,0.154303265483674,-702.8922205501351,1,False
9,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.057861818350748224,0.15612256602166447,-269.8196677388823,1,False
10,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.05762596734401151,0.17142759693475232,-297.48324381502476,1,True
11,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.08274061074766771,0.17494266246945878,-211.43506301032477,1,False
12,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.0915859241125253,0.17521300035544826,-191.30996608187974,1,False
13,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.08951757832563557,0.17073407929527273,-190.72687452982495,1,False
14,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.09677676898259954,0.17291507659789546,-178.6741574612659,1,False
15,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.09909953163477003,0.1737079448139962,-175.28634288020095,1,False
16,pg21,ghbconf-head-cn,GHB Head,GHB-Confined-head,-0.09101416996360615,0.17452421025212678,-191.75498751668428,1,False
