time,spring,awanui,poukawa,pk4,kper,kstp,pk4-diff,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
1.0,8.079579184008134,7.839772673915815,7.997959664652986,8.079579184008134,1,1,0.0,0.23980651009231924,0.0816195193551481,-0.48957918400813405
2.0,7.994992277388939,7.768579992469726,7.935978619681358,7.994992277388939,2,1,-0.015310929414458663,0.2264122849192134,0.059013657707581046,-0.4049922773889394
3.0,7.979681347974481,7.753184093373728,7.923587949812048,7.979681347974481,2,2,-0.022917571674702764,0.2264972546007522,0.05609339816243253,-0.38968134797448073
4.0,7.956763776299778,7.733225670859639,7.90514068099846,7.956763776299778,2,3,-0.02365467876709637,0.22353810544013886,0.051623095301318145,-0.36676377629977797
5.0,7.9331090975326815,7.711685953758651,7.887570354665971,7.9331090975326815,2,4,-0.07427320669560356,0.2214231437740306,0.04553874286671089,-0.3444899875326817
6.0,7.858835890837078,7.653243276677005,7.835540153891119,7.858835890837078,2,5,-0.007787062558918478,0.20559261416007324,0.023295736945958545,-0.27145363083707785
7.0,7.851048828278159,7.643901238224466,7.828545179547675,7.851048828278159,2,6,-0.015583124460147424,0.207147590053693,0.022503648730484827,-0.2660194482781595
8.0,7.835465703818012,7.627604106865383,7.81637653346187,7.835465703818012,2,7,-0.025761269466758385,0.20786159695262896,0.01908917035614177,-0.2516070038180116
9.0,7.809704434351254,7.603893549628176,7.795846541105769,7.809704434351254,2,8,-0.029528597483029273,0.20581088472307751,0.013857893245484476,-0.22696795435125328
10.0,7.780175836868224,7.579624243251962,7.772751270959705,7.780175836868224,2,9,-0.07728296202140061,0.20055159361626274,0.007424565908519476,-0.1984588168682242
11.0,7.702892874846824,7.520952091936797,7.717550231268817,7.702892874846824,2,10,-0.007289309233961205,0.18194078291002658,-0.01465735642199295,-0.12365590484682354
12.0,7.6956035656128625,7.511959279234454,7.709985489676162,7.6956035656128625,2,11,-0.0145213502486925,0.18364428637840824,-0.014381924063299856,-0.11792610561286221
13.0,7.68108221536417,7.49699912897977,7.697087998336402,7.68108221536417,2,12,-0.031007497716687205,0.1840830863844003,-0.016005782972231763,-0.10629831536417012
14.0,7.650074717647483,7.468848330398152,7.673366184068873,7.650074717647483,2,13,-0.07562041095934191,0.18122638724933093,-0.023291466421389906,-0.07795142764748242
15.0,7.574454306688141,7.411385000159948,7.6207770209286885,7.574454306688141,2,14,-0.006830766490711682,0.16306930652819318,-0.04632271424054757,-0.004444856688141208
16.0,7.567623540197429,7.402137187554527,7.61464312716832,7.567623540197429,2,15,-0.013174614140194052,0.165486352642902,-0.04701958697089115,-0.0004893301974293607
17.0,7.554448926057235,7.387003880167121,7.604403252956254,7.554448926057235,2,16,-0.022294240522890973,0.16744504589011378,-0.049954326899018575,0.010050373942764423
18.0,7.532154685534344,7.364244463649854,7.587976247567026,7.532154685534344,2,17,-0.08049134502280086,0.16791022188449034,-0.055821562032681626,0.030655344465655432
19.0,7.451663340511543,7.299874887114377,7.532456707528741,7.451663340511543,2,18,-0.002969626241347889,0.15178845339716673,-0.08079336701719786,0.10979826948845695
20.0,7.448693714270195,7.2952618722947715,7.5298260958108125,7.448693714270195,2,19,-0.0031614625367257787,0.15343184197542392,-0.08113238154061708,0.11150679572980415
21.0,7.44553225173347,7.290339329751854,7.527403475404772,7.44553225173347,2,20,-0.0035617366484705926,0.15519292198161594,-0.0818712236713024,0.11406515826653063
22.0,7.441970515084999,7.285446588673638,7.524877538865484,7.441970515084999,2,21,-0.003688042019065918,0.15652392641136093,-0.08290702378048476,0.1151711149150012
23.0,7.438282473065933,7.280529945849355,7.522310254702323,7.438282473065933,2,22,-0.003757251092208591,0.1577525272165783,-0.08402778163639013,0.11616790693406642
24.0,7.434525221973725,7.275682913445727,7.51983428173751,7.434525221973725,2,23,-0.003790408795174116,0.15884230852799774,-0.08530905976378556,0.11551136802627582
25.0,7.4307348131785504,7.2709550396767995,7.517400432591695,7.4307348131785504,2,24,-0.0037786857392152484,0.159779773501751,-0.08666561941314477,0.11349813682144916
26.0,7.426956127439335,7.266431704884495,7.5150176074197,7.426956127439335,2,25,-0.0034699967723614833,0.16052442255484056,-0.08806147998036451,0.10961486256066522
27.0,7.423486130666974,7.262262537199812,7.512780955601837,7.423486130666974,2,26,-0.0034331885162925957,0.1612235934671613,-0.08929482493486329,0.1049493693330259
28.0,7.420052942150681,7.2582728860369095,7.5105952999531285,7.420052942150681,2,27,-0.003013981985299452,0.16178005611377166,-0.09054235780244735,0.0977768778493191
29.0,7.417038960165382,7.25460918313283,7.50867903142184,7.417038960165382,2,28,-0.002637650542580694,0.16242977703255157,-0.09164007125645846,0.08984014983461819
30.0,7.414401309622801,7.250971872242606,7.506996932901668,7.414401309622801,2,29,-0.0025277963722238894,0.163429437380195,-0.09259562327886695,0.0837465303771987
31.0,7.411873513250577,7.247086617075671,7.505467849286611,7.411873513250577,2,30,-0.003160985269378358,0.16478689617490616,-0.09359433603603406,0.077720816749423
32.0,7.408712527981199,7.243017582804804,7.503601689616561,7.408712527981199,2,31,-0.0028373963243701894,0.16569494517639516,-0.0948891616353622,0.0705417720188013
33.0,7.4058751316568285,7.239410446221739,7.501900582706345,7.4058751316568285,2,32,-0.002365353555807914,0.16646468543508952,-0.09602545104951687,0.06395830834317184
34.0,7.403509778101021,7.235872659316875,7.500531540498236,7.403509778101021,2,33,-0.002421355439194528,0.16763711878414522,-0.09702176239721538,0.05911460189897966
35.0,7.401088422661826,7.232108462943121,7.499131075060011,7.401088422661826,2,34,-0.002543007023212418,0.16897995971870472,-0.09804265239818477,0.051473087338173684
36.0,7.398545415638614,7.2282307557732155,7.497674297065606,7.398545415638614,2,35,-0.0026399174333207043,0.17031465986539818,-0.09912888142699217,0.043198614361386056
37.0,7.395905498205293,7.2243299038946045,7.496079090707671,7.395905498205293,2,36,-0.0028477203692824915,0.17157559431068847,-0.10017359250237767,0.037706421794706735
38.0,7.3930577778360105,7.2204853431104805,7.494328213947255,7.3930577778360105,2,37,-0.00289068323163999,0.17257243472552997,-0.10127043611124442,0.03327106216398956
39.0,7.3901670946043705,7.216852879841566,7.4925481081479095,7.3901670946043705,2,38,-0.003347749116928256,0.1733142147628044,-0.10238101354353901,0.026579805395629208
40.0,7.386819345487442,7.213136941149041,7.490411863240934,7.386819345487442,2,39,-0.0030974967833889977,0.17368240433840132,-0.10359251775349154,0.024062514512557698
41.0,7.383721848704053,7.210007580044634,7.488464740325902,7.383721848704053,2,40,-0.00211297030215718,0.17371426865941952,-0.10474289162184913,0.021362531295946674
