kper,kstp,time,k,i,j,AWq
1,1,1.0,0,0,25,-16.29808778897541
1,1,1.0,0,1,24,-15.24713675401108
1,1,1.0,0,2,22,-9.000029178952673
1,1,1.0,0,2,23,-12.58319265058526
1,1,1.0,0,3,21,-7.610503532040866
1,1,1.0,0,4,21,-8.720533235927292
1,1,1.0,0,5,20,-6.458200989254351
1,1,1.0,0,6,20,-6.904731339691693
1,1,1.0,0,7,20,-7.826174506501843
1,1,1.0,0,8,19,-5.631879226263948
1,1,1.0,0,9,19,-5.849008946825222
1,1,1.0,0,10,18,-3.9855802994578653
1,1,1.0,0,11,18,-3.9245771397254146
1,1,1.0,0,12,16,-3.168739554982153
1,1,1.0,0,12,17,-3.6821944833456826
1,1,1.0,0,13,14,-3.050356255433087
1,1,1.0,0,13,15,-3.5899562213781167
1,1,1.0,0,14,12,-2.922415625616935
1,1,1.0,0,14,13,-3.4456297369244737
1,1,1.0,0,15,9,-2.342463872188148
1,1,1.0,0,15,10,-2.6924792538160602
1,1,1.0,0,15,11,-3.2975241893715292
1,1,1.0,0,16,7,-2.169085802172532
1,1,1.0,0,16,8,-2.6617664854977647
1,1,1.0,0,17,4,-1.5787204390544218
1,1,1.0,0,17,5,-1.8603412385816114
1,1,1.0,0,17,6,-2.3530427156281064
1,1,1.0,0,18,2,-1.487351644741608
1,1,1.0,0,18,3,-1.8131505470983598
1,1,1.0,0,19,0,-1.5271729836088355
1,1,1.0,0,19,1,-1.759946105828675
2,1,2.0,0,0,25,-15.883288586999242
2,1,2.0,0,1,24,-14.831935553902667
2,1,2.0,0,2,22,-8.696485490535451
2,1,2.0,0,2,23,-12.190512434683797
2,1,2.0,0,3,21,-7.326873534202377
2,1,2.0,0,4,21,-8.383504663153303
2,1,2.0,0,5,20,-6.175431953328371
2,1,2.0,0,6,20,-6.588023458308953
2,1,2.0,0,7,20,-7.440744210993103
2,1,2.0,0,8,19,-5.30848049426254
2,1,2.0,0,9,19,-5.49271853515836
2,1,2.0,0,10,18,-3.7027743419557737
