kper,time,spring,awanui,poukawa,pk4,kstp,pk4-diff,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1
2,51.0,-0.6293210745001439,-0.5776865860919349,-0.45946133722913096,-0.012102328355771998,51,0.015310929414458663,-0.000992970930927095,-0.00326653340905794,0.007823780663464315,16
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1
4,51.0,-2.3941558259015707,-2.3379924902125033,-2.4063314689605697,-0.04604145819041482,51,0.0,-0.0010800641478666806,0.00023414698190382666,0.043537961651953304,-1
