,LEVEL,level_mRL,sm_level_mRL,abs_val,sm_abs_val
2,7.757539183583268,7.757539183583268,7.741696429297553,0.0,-0.004842240862930798
3,7.753844356053671,7.753844356053671,7.7372330665298605,-0.0036948275295971555,-0.008359421294396263
4,7.746707288524073,7.746707288524073,7.732566141857406,-0.01083189505919524,-0.012367271059194884
5,7.7386282209944754,7.7386282209944754,7.727400217184951,-0.018910962588792657,-0.018478570588792563
6,7.729140513464879,7.729140513464879,7.722165086798211,-0.02839867011838937,-0.023474326118390287
7,7.72698268593528,7.72698268593528,7.71673699641147,-0.0305564976479884,-0.029206113647987843
8,7.728865578405682,7.728865578405682,7.711163376500919,-0.02867360517758577,-0.03523570917758576
9,7.718048350876085,7.718048350876085,7.705073859447514,-0.03949083270718301,-0.04133683270718347
10,7.708480243346486,7.708480243346486,7.698701572870298,-0.049058940236782256,-0.04941520423678103
11,7.69863489581689,7.69863489581689,7.6923641701026035,-0.058904287766377905,-0.05937415976637865
12,7.686590828287292,7.686590828287292,7.685874453049197,-0.0709483552959762,-0.06917257929597635
13,7.679070800757694,7.679070800757694,7.678638777900552,-0.07846838282557389,-0.07920504682557325
14,7.669056253228097,7.669056253228097,7.6706611294185745,-0.08848293035517152,-0.08916456235517103
15,7.658317905698501,7.658317905698501,7.662552509508024,-0.09922127788476676,-0.09841730988476857
16,7.648837318168901,7.648837318168901,7.653910078168901,-0.10870186541436677,-0.10749145741436568
17,7.640327090639304,7.640327090639304,7.645113593496448,-0.11721209294396395,-0.11626527694396316
18,7.633700063109709,7.633700063109709,7.635770878347803,-0.12383912047355938,-0.12369344847356079
19,7.625187155580109,7.625187155580109,7.625550694627729,-0.13235202800315893,-0.12974078000315803
20,7.621177048050513,7.621177048050513,7.615219981383846,-0.1363621355327549,-0.13468078353275564
21,7.618600660520915,7.618600660520915,7.604772782425677,-0.138938523062353,-0.140302795062353
22,7.615627072991316,7.615627072991316,7.594312236800841,-0.14191211059195208,-0.14807747859195022
23,7.605590005461722,7.605590005461722,7.584147129271245,-0.15194917812154607,-0.15702763412154788
24,7.586313737932123,7.586313737932123,7.573688856027362,-0.17122544565114506,-0.16932033365114538
25,7.576426270402525,7.576426270402525,7.5633244875453824,-0.18111291318074318,-0.18356288118074265
26,7.557137162872928,7.557137162872928,7.553449789539594,-0.20040202071034052,-0.19852374871034045
27,7.54441433534333,7.54441433534333,7.54326013343857,-0.21312484823993838,-0.21293815223993792
28,7.530785667813733,7.530785667813733,7.532994159242303,-0.22675351576953506,-0.2280027317695355
29,7.514241720284136,7.514241720284136,7.5225985355222305,-0.2432974632991325,-0.24161235129913283
30,7.501103372754537,7.501103372754537,7.512265555611681,-0.256435810828731,-0.2547025308287303
31,7.489089065224941,7.489089065224941,7.50154974522494,-0.2684501183583272,-0.2662349503583279
32,7.478963437695342,7.478963437695342,7.490989466266771,-0.27857574588792566,-0.27719388188792565
33,7.473123570165745,7.473123570165745,7.480210067308602,-0.2844156134175231,-0.28713365341752295
34,7.459447062636147,7.459447062636147,7.4697469102551945,-0.29809212094712123,-0.29476161694712066
35,7.45140451510655,7.45140451510655,7.459982541773217,-0.30613466847671766,-0.30358339647671817
36,7.450949247576952,7.450949247576952,7.4505627694817145,-0.3065899360063158,-0.3132597840063157
37,7.434854540047355,7.434854540047355,7.441697795285451,-0.3226846435359132,-0.3220708035359131
38,7.424741632517757,7.424741632517757,7.433326853470139,-0.3327975510655108,-0.33071279106551044
39,7.41539196498816,7.41539196498816,7.426032658321493,-0.342147218595108,-0.3416736345951078
40,7.408194577458564,7.408194577458564,7.419571590791897,-0.3493446061247045,-0.34927758212470505
41,7.396145029928966,7.396145029928966,7.413180534690871,-0.3613941536543024,-0.3563739696543028
42,7.396834802399368,7.396834802399368,7.4072084538279395,-0.3607043811838997,-0.36227962118390045
43,7.389259694869769,7.389259694869769,7.401412030107865,-0.36827948871349925,-0.36766613671349796
44,7.385863707340172,7.385863707340172,7.396190130197316,-0.37167547624309627,-0.3711729322430955
45,7.381261999810576,7.381261999810576,7.392436919810574,-0.37627718377269215,-0.3763453517726932
46,7.378611052280978,7.378611052280978,7.389668812280978,-0.3789281313022901,-0.38047237930229016
47,7.37097270475138,7.37097270475138,7.387858919989474,-0.3865664788318881,-0.3821236068318875
48,7.368624557221784,7.368624557221784,7.387515833412259,-0.3889146263614842,-0.3826641463614854
49,7.377607569692185,7.377607569692185,7.387445114454091,-0.3799316138910829,-0.3850081178910827
50,7.378559302162587,7.378559302162587,7.3875192088292545,-0.3789798814206815,-0.38646758542067994
51,7.366891194632991,7.366891194632991,7.387986379394895,-0.39064798895027675,-0.3887447889502777
52,7.363675367103394,7.363675367103394,7.388308597579583,-0.39386381647987445,-0.3909480827150764
53,7.357238539573795,7.357238539573795,7.388324242430938,-0.40030064400947296,-0.39493748314654137
