i,j,head,kper,kstp
3,31,13.880907452854617,1,1
3,32,13.880691350809371,1,1
3,33,13.880461175110284,1,1
3,34,13.880217190893802,1,1
3,35,13.879959934839716,1,1
3,36,13.879691023000715,1,1
3,37,13.879411911789706,1,1
3,38,13.879124035698998,1,1
3,39,13.878829132189408,1,1
3,40,13.878528106336697,1,1
3,41,13.878218486352322,1,1
3,42,13.877891058690665,1,1
3,43,13.877530410072268,1,1
3,44,13.877180779558381,1,1
3,45,13.876851784675333,1,1
3,46,13.876550319273967,1,1
3,47,13.87648803405424,1,1
3,48,13.876407413315425,1,1
3,49,1e+30,1,1
3,50,1e+30,1,1
3,51,1e+30,1,1
3,52,1e+30,1,1
3,53,1e+30,1,1
3,54,1e+30,1,1
3,55,1e+30,1,1
3,56,1e+30,1,1
4,0,1e+30,1,1
4,1,1e+30,1,1
4,2,1e+30,1,1
4,3,1e+30,1,1
4,4,1e+30,1,1
4,5,1e+30,1,1
4,6,1e+30,1,1
4,7,1e+30,1,1
4,8,1e+30,1,1
4,9,1e+30,1,1
4,10,1e+30,1,1
4,11,1e+30,1,1
4,12,1e+30,1,1
4,13,1e+30,1,1
4,14,1e+30,1,1
4,15,1e+30,1,1
4,16,1e+30,1,1
4,17,1e+30,1,1
4,18,13.882554160928276,1,1
4,19,13.882514117104812,1,1
4,20,13.882446961404126,1,1
4,21,13.882356436331055,1,1
4,22,13.882267046259702,1,1
4,23,13.882160797267295,1,1
4,24,13.88203696698445,1,1
4,25,13.881905186887783,1,1
4,26,13.88176117888024,1,1
4,27,13.881603496200741,1,1
4,28,13.881434529281893,1,1
4,29,13.881253484428857,1,1
4,30,13.88105871880845,1,1
4,31,13.88084964017763,1,1
4,32,13.88062722229237,1,1
4,33,13.880392059752564,1,1
4,34,13.880142055522734,1,1
4,35,13.879878499825947,1,1
4,36,13.879603449892432,1,1
4,37,13.879317021205622,1,1
4,38,13.879020517326422,1,1
4,39,13.878714954315699,1,1
4,40,13.87840091888776,1,1
4,41,13.87807804695036,1,1
4,42,13.877743071727823,1,1
4,43,13.877396099035188,1,1
4,44,13.87705361520366,1,1
4,45,13.876730163988984,1,1
4,46,13.87646729017867,1,1
4,47,13.876391375598383,1,1
4,48,13.87628776107913,1,1
4,49,13.876161570037763,1,1
4,50,1e+30,1,1
4,51,1e+30,1,1
4,52,1e+30,1,1
4,53,1e+30,1,1
4,54,1e+30,1,1
4,55,1e+30,1,1
4,56,1e+30,1,1
5,0,1e+30,1,1
5,1,1e+30,1,1
5,2,1e+30,1,1
5,3,1e+30,1,1
5,4,1e+30,1,1
5,5,1e+30,1,1
5,6,1e+30,1,1
5,7,1e+30,1,1
5,8,1e+30,1,1
5,9,1e+30,1,1
5,10,1e+30,1,1
5,11,1e+30,1,1
5,12,1e+30,1,1
5,13,1e+30,1,1
5,14,1e+30,1,1
5,15,1e+30,1,1
5,16,13.882623552761096,1,1
5,17,13.882600658190585,1,1
5,18,13.882559060783358,1,1
5,19,13.882506167446765,1,1
5,20,13.882435512317164,1,1
5,21,13.882348128198736,1,1
5,22,13.882250105357077,1,1
5,23,13.88213814024081,1,1
5,24,13.882011590350093,1,1
5,25,13.881872708620785,1,1
5,26,13.881721072888803,1,1
5,27,13.881556894297779,1,1
5,28,13.881380296754674,1,1
5,29,13.881190224282781,1,1
5,30,13.880986798343445,1,1
5,31,13.880770260093286,1,1
5,32,13.880541774424382,1,1
5,33,13.8802999473104,1,1
5,34,13.880042069819527,1,1
5,35,13.879770898211438,1,1
5,36,13.879487924241504,1,1
5,37,13.87919304116359,1,1
5,38,13.878886896288622,1,1
5,39,13.87857058440657,1,1
5,40,13.878245331933705,1,1
5,41,13.877911662085458,1,1
5,42,13.87756857544638,1,1
5,43,13.877220155899858,1,1
5,44,13.87687284465736,1,1
5,45,13.876520299983293,1,1
5,46,13.876395048011403,1,1
5,47,13.876281150770993,1,1
5,48,13.876151878203997,1,1
5,49,13.875996662890358,1,1
5,50,13.875790904387236,1,1
5,51,13.875668907888961,1,1
5,52,1e+30,1,1
5,53,1e+30,1,1
5,54,1e+30,1,1
5,55,1e+30,1,1
5,56,1e+30,1,1
6,0,1e+30,1,1
6,1,1e+30,1,1
6,2,1e+30,1,1
6,3,1e+30,1,1
6,4,1e+30,1,1
6,5,1e+30,1,1
6,6,1e+30,1,1
6,7,1e+30,1,1
6,8,1e+30,1,1
6,9,1e+30,1,1
6,10,1e+30,1,1
6,11,1e+30,1,1
6,12,1e+30,1,1
6,13,1e+30,1,1
6,14,1e+30,1,1
6,15,13.882620447138283,1,1
6,16,13.882610847877709,1,1
6,17,13.882583806903684,1,1
6,18,13.882539805112486,1,1
6,19,13.882480731740072,1,1
6,20,13.882405677780701,1,1
6,21,13.882315427854266,1,1
6,22,13.8822117622685,1,1
6,23,13.882094172597686,1,1
6,24,13.881962533430837,1,1
6,25,13.881817483982024,1,1
6,26,13.881659352592873,1,1
6,27,13.881488195396894,1,1
6,28,13.881303524800401,1,1
6,29,13.881105152469852,1,1
6,30,13.880893713717445,1,1
6,31,13.880669777047691,1,1
6,32,13.880433898185734,1,1
6,33,13.880183357510232,1,1
6,34,13.879916798937572,1,1
6,35,13.87963710162296,1,1
6,36,13.879345539329654,1,1
6,37,13.879040940040584,1,1
6,38,13.878724563822274,1,1
6,39,13.878397377067095,1,1
6,40,13.878060464160958,1,1
6,41,13.877714786391461,1,1
6,42,13.877360878897877,1,1
6,43,13.877006522009061,1,1
6,44,13.876671451017774,1,1
6,45,13.876363912820352,1,1
6,46,13.876269874598112,1,1
6,47,13.876144939203137,1,1
6,48,13.87600266119925,1,1
6,49,13.875843248649218,1,1
6,50,13.875668279395162,1,1
6,51,13.875508174293941,1,1
6,52,13.875340299310633,1,1
6,53,1e+30,1,1
6,54,1e+30,1,1
6,55,1e+30,1,1
6,56,1e+30,1,1
7,0,1e+30,1,1
7,1,1e+30,1,1
7,2,1e+30,1,1
7,3,1e+30,1,1
7,4,1e+30,1,1
7,5,1e+30,1,1
7,6,1e+30,1,1
7,7,1e+30,1,1
7,8,1e+30,1,1
