#time,heads_ts
2,13.952078947368422
3,13.903105263157896
4,13.854131578947369
5,13.805157894736842
6,13.756184210526316
7,13.707210526315789
8,13.658236842105264
9,13.609263157894738
10,13.560289473684211
11,13.511315789473684
12,13.462342105263158
13,13.413368421052633
14,13.364394736842106
15,13.31542105263158
16,13.266447368421053
17,13.217473684210526
18,13.168500000000002
19,13.119526315789475
20,13.070552631578948
21,13.021578947368422
22,12.972605263157895
23,12.923631578947369
24,12.874657894736844
25,12.825684210526317
26,12.77671052631579
27,12.727736842105264
28,12.678763157894737
29,12.629789473684212
30,12.580815789473686
31,12.53184210526316
32,12.482868421052633
33,12.433894736842106
34,12.38492105263158
35,12.335947368421055
36,12.286973684210528
37,12.238000000000001
38,12.193333333333335
39,12.148666666666667
40,12.104000000000001
41,12.059333333333335
42,12.014666666666669
43,11.97
44,11.925333333333334
45,11.880666666666668
46,11.836
47,11.791333333333334
48,11.746666666666668
49,11.702000000000002
50,11.657333333333334
51,11.612666666666668
52,11.568000000000001
53,11.523333333333333
