,LEVEL,level_mRL,sm_level_mRL,abs_val,sm_abs_val
1,7.751911131112864,7.751911131112864,7.745205599684294,0.0,0.002520425803736792
2,7.757539183583268,7.757539183583268,7.741696429297553,0.005628052470403766,0.0005893587056047256
3,7.753844356053671,7.753844356053671,7.7372330665298605,0.0019332249408066104,-0.0021850950591939975
4,7.746707288524073,7.746707288524073,7.732566141857406,-0.005203842588791474,-0.006739218588791118
5,7.7386282209944754,7.7386282209944754,7.727400217184951,-0.013282910118388891,-0.012850518118388799
6,7.729140513464879,7.729140513464879,7.722165086798211,-0.022770617647985603,-0.01784627364798652
7,7.72698268593528,7.72698268593528,7.71673699641147,-0.024928445177584635,-0.023578061177584077
8,7.728865578405682,7.728865578405682,7.711163376500919,-0.023045552707182004,-0.029607656707181997
9,7.718048350876085,7.718048350876085,7.705073859447514,-0.033862780236779244,-0.0357087802367797
10,7.708480243346486,7.708480243346486,7.698701572870298,-0.04343088776637849,-0.043787151766377264
11,7.69863489581689,7.69863489581689,7.6923641701026035,-0.05327623529597414,-0.053746107295974885
12,7.686590828287292,7.686590828287292,7.685874453049197,-0.06532030282557244,-0.06354452682557259
13,7.679070800757694,7.679070800757694,7.678638777900552,-0.07284033035517012,-0.07357699435516948
14,7.669056253228097,7.669056253228097,7.6706611294185745,-0.08285487788476775,-0.08353650988476727
15,7.658317905698501,7.658317905698501,7.662552509508024,-0.09359322541436299,-0.0927892574143648
16,7.648837318168901,7.648837318168901,7.653910078168901,-0.103073812943963,-0.10186340494396191
17,7.640327090639304,7.640327090639304,7.645113593496448,-0.11158404047356019,-0.11063722447355939
18,7.633700063109709,7.633700063109709,7.635770878347803,-0.11821106800315562,-0.11806539600315702
19,7.625187155580109,7.625187155580109,7.625550694627729,-0.12672397553275516,-0.12411272753275426
20,7.621177048050513,7.621177048050513,7.615219981383846,-0.13073408306235113,-0.12905273106235188
21,7.618600660520915,7.618600660520915,7.604772782425677,-0.13331047059194923,-0.13467474259194923
22,7.615627072991316,7.615627072991316,7.594312236800841,-0.1362840581215483,-0.14244942612154646
23,7.605590005461722,7.605590005461722,7.584147129271245,-0.1463211256511423,-0.15139958165114412
24,7.586313737932123,7.586313737932123,7.573688856027362,-0.1655973931807413,-0.1636922811807416
25,7.576426270402525,7.576426270402525,7.5633244875453824,-0.17548486071033942,-0.1779348287103389
26,7.557137162872928,7.557137162872928,7.553449789539594,-0.19477396823993676,-0.1928956962399367
27,7.54441433534333,7.54441433534333,7.54326013343857,-0.20749679576953461,-0.20731009976953416
28,7.530785667813733,7.530785667813733,7.532994159242303,-0.2211254632991313,-0.22237467929913174
29,7.514241720284136,7.514241720284136,7.5225985355222305,-0.23766941082872872,-0.23598429882872907
30,7.501103372754537,7.501103372754537,7.512265555611681,-0.25080775835832725,-0.24907447835832652
31,7.489089065224941,7.489089065224941,7.50154974522494,-0.26282206588792345,-0.2606068978879241
32,7.478963437695342,7.478963437695342,7.490989466266771,-0.2729476934175219,-0.2715658294175219
33,7.473123570165745,7.473123570165745,7.480210067308602,-0.2787875609471193,-0.2815056009471192
34,7.459447062636147,7.459447062636147,7.4697469102551945,-0.29246406847671746,-0.2891335644767169
35,7.45140451510655,7.45140451510655,7.459982541773217,-0.3005066160063139,-0.2979553440063144
36,7.450949247576952,7.450949247576952,7.4505627694817145,-0.300961883535912,-0.30763173153591195
37,7.434854540047355,7.434854540047355,7.441697795285451,-0.31705659106550943,-0.31644275106550934
38,7.424741632517757,7.424741632517757,7.433326853470139,-0.327169498595107,-0.32508473859510667
39,7.41539196498816,7.41539196498816,7.426032658321493,-0.3365191661247042,-0.33604558212470403
40,7.408194577458564,7.408194577458564,7.419571590791897,-0.34371655365430076,-0.3436495296543013
41,7.396145029928966,7.396145029928966,7.413180534690871,-0.3557661011838986,-0.350745917183899
42,7.396834802399368,7.396834802399368,7.4072084538279395,-0.3550763287134959,-0.3566515687134967
43,7.389259694869769,7.389259694869769,7.401412030107865,-0.3626514362430955,-0.3620380842430942
44,7.385863707340172,7.385863707340172,7.396190130197316,-0.3660474237726925,-0.36554487977269173
45,7.381261999810576,7.381261999810576,7.392436919810574,-0.3706491313022884,-0.3707172993022894
46,7.378611052280978,7.378611052280978,7.389668812280978,-0.3733000788318863,-0.3748443268318864
47,7.37097270475138,7.37097270475138,7.387858919989474,-0.38093842636148434,-0.37649555436148374
48,7.368624557221784,7.368624557221784,7.387515833412259,-0.38328657389108045,-0.3770360938910816
49,7.377607569692185,7.377607569692185,7.387445114454091,-0.3743035614206791,-0.3793800654206789
50,7.378559302162587,7.378559302162587,7.3875192088292545,-0.37335182895027774,-0.38083953295027617
51,7.366891194632991,7.366891194632991,7.387986379394895,-0.385019936479873,-0.38311673647987393
52,7.363675367103394,7.363675367103394,7.388308597579583,-0.3882357640094707,-0.38532003024467265
53,7.357238539573795,7.357238539573795,7.388324242430938,-0.3946725915390692,-0.3893094306761376
