oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
arr-awq,awq,ob424,-6.9,-7.610187224453512,-0.7101872244535112,0.0
arr-awq,awq,ob425,-6.9,2.4327274478040906,9.332727447804091,0.0
arr-awq,awq,ob426,-6.9,1.0655358526608438,7.965535852660844,0.0
arr-awq,awq,ob427,-6.9,-4.619276577046168,2.280723422953832,0.0
arr-awq,awq,ob428,-6.9,4.770902405132347,11.670902405132347,0.0
arr-awq,awq,ob429,-6.9,3.2809372032991035,10.180937203299104,0.0
arr-awq,awq,ob430,-6.9,-22.019494665167255,-15.119494665167254,0.0
arr-awq,awq,ob431,-6.9,35.315242897518075,42.215242897518074,0.0
arr-awq,awq,ob432,-6.9,-5.036588434200894,1.8634115657991064,0.0
arr-awq,awq,ob433,-6.9,-23.79151887819171,-16.89151887819171,0.0
arr-awq,awq,ob434,-6.9,-9.553774731815793,-2.6537747318157923,0.0
arr-awq,awq,ob435,-6.9,-30.490098670125008,-23.59009867012501,0.0
arr-awq,awq,ob436,-6.9,18.819602210859586,25.719602210859584,0.0
arr-awq,awq,ob437,-6.9,5.1671645366586745,12.067164536658675,0.0
arr-awq,awq,ob438,-6.9,-24.207718077649112,-17.307718077649113,0.0
arr-awq,awq,ob439,-6.9,-13.271148000833847,-6.371148000833847,0.0
arr-awq,awq,ob440,-6.9,-6.395772088576777,0.5042279114232233,0.0
arr-awq,awq,ob441,-6.9,-9.173454822972417,-2.2734548229724165,0.0
arr-awq,awq,ob442,-6.9,-49.23177819573174,-42.331778195731744,0.0
arr-awq,awq,ob443,-6.9,-36.606205224990845,-29.706205224990846,0.0
arr-awq,awq,ob444,-6.9,-7.326942523022702,-0.42694252302270197,0.0
arr-awq,awq,ob445,-6.9,-17.669060079918836,-10.769060079918836,0.0
arr-awq,awq,ob446,-6.9,9.039668554606607,15.939668554606607,0.0
arr-awq,awq,ob447,-6.9,-87.7963762081763,-80.89637620817629,0.0
arr-awq,awq,ob448,-6.9,-12.96470488843324,-6.064704888433239,0.0
arr-awq,awq,ob449,-6.9,-30.473199217924048,-23.57319921792405,0.0
arr-awq,awq,ob450,-6.9,-54.74508141663523,-47.84508141663523,0.0
arr-awq,awq,ob451,-6.9,-0.0253888681994082,6.8746111318005925,0.0
arr-awq,awq,ob452,-6.9,-111.60244797923951,-104.70244797923951,0.0
arr-awq,awq,ob453,-6.9,-79.29969492515056,-72.39969492515056,0.0
arr-awq,awq,ob454,-6.9,60.77409697362762,67.67409697362763,0.0
arr-awq,awq,ob455,-6.9,-62.25048125674948,-55.35048125674948,0.0
arr-awq,awq,ob456,-6.9,-40.97017521715361,-34.07017521715361,0.0
arr-awq,awq,ob457,-6.9,-10.495777486068022,-3.5957774860680214,0.0
arr-awq,awq,ob458,-6.9,-0.01152527477938955,6.888474725220611,0.0
arr-awq,awq,ob459,-6.9,-104.00695703210113,-97.10695703210112,0.0
arr-awq,awq,ob460,-6.9,-69.21076348355155,-62.31076348355155,0.0
arr-awq,awq,ob461,-6.9,-3.5583564227799505,3.34164357722005,0.0
arr-awq,awq,ob462,-6.9,-4.627096843888808,2.2729031561111928,0.0
arr-awq,awq,ob463,-6.9,-154.73234299241517,-147.83234299241516,0.0
arr-awq,awq,ob464,-6.9,-83.95041787605504,-77.05041787605504,0.0
arr-awq,awq,ob465,-6.9,-166.8063434371138,-159.9063434371138,0.0
arr-awq,awq,ob466,-6.9,-72.63639427498674,-65.73639427498674,0.0
arr-awq,awq,ob467,-6.9,-1.8025916260082804,5.09740837399172,0.0
arr-awq,awq,ob468,-6.9,-4.240214798453053,2.6597852015469474,0.0
arr-awq,awq,ob469,-6.9,17.17247575515853,24.07247575515853,0.0
arr-awq,awq,ob470,-6.9,-86.85885255133594,-79.95885255133594,0.0
arr-awq,awq,ob471,-6.9,-10.91610977771468,-4.01610977771468,0.0
arr-awq,awq,ob472,-6.9,57.4418324728249,64.3418324728249,0.0
arr-awq,awq,ob473,-6.9,-305.1420135798253,-298.2420135798253,0.0
arr-awq,awq,ob474,-6.9,-6.912508282982936,-0.01250828298293527,0.0
arr-awq,awq,ob475,-6.9,4.313501917291433,11.213501917291433,0.0
arr-awq,awq,ob476,-6.9,-41.313110021197645,-34.413110021197646,0.0
arr-awq,awq,ob477,-6.9,-5.016004535570886,1.8839954644291144,0.0
arr-awq,awq,ob478,-6.9,-66.1243374561891,-59.2243374561891,0.0
arr-awq,awq,ob479,-6.9,-51.59458920157158,-44.69458920157158,0.0
arr-awq,awq,ob480,-6.9,-46.94414348392411,-40.04414348392411,0.0
arr-awq,awq,ob481,-6.9,-57.4227613450126,-50.522761345012604,0.0
arr-awq,awq,ob482,-6.9,-39.81716448526822,-32.91716448526822,0.0
arr-awq,awq,ob483,-6.9,-3.4265251019969583,3.473474898003042,0.0
arr-awq,awq,ob484,-6.9,-9.848452363886963,-2.948452363886963,0.0
arr-awq,awq,ob485,-6.9,-39.174554677447304,-32.274554677447306,0.0
arr-awq,awq,ob486,-6.9,-5.984991055714244,0.9150089442857565,0.0
arr-awq,awq,ob487,-6.9,-4.973554306535728,1.926445693464272,0.0
arr-awq,awq,ob488,-6.9,-13.691099479532568,-6.791099479532567,0.0
arr-awq,awq,ob489,-6.9,-10.421830487766101,-3.521830487766101,0.0
arr-awq,awq,ob490,-6.9,-13.251459951205106,-6.351459951205106,0.0
arr-awq,awq,ob491,-6.9,-34.54467841375299,-27.64467841375299,0.0
arr-awq,awq,ob492,-6.9,-32.73644066601992,-25.836440666019918,0.0
arr-awq,awq,ob493,-6.9,-10.857040952891111,-3.957040952891111,0.0
arr-awq,awq,ob494,-6.9,-114.39959201193415,-107.49959201193414,0.0
arr-awq,awq,ob495,-6.9,-49.28671870764447,-42.38671870764447,0.0
arr-awq,awq,ob496,-6.9,192.77300601856456,199.67300601856456,0.0
arr-awq,awq,ob497,-6.9,-192.68496656417847,-185.78496656417846,0.0
arr-awq,awq,ob498,-6.9,-0.9916919469833374,5.908308053016663,0.0
arr-awq,awq,ob499,-6.9,-3.543710451303923,3.3562895486960773,0.0
arr-awq,awq,ob500,-6.9,-14.482942598027876,-7.582942598027875,0.0
arr-awq,awq,ob501,-6.9,-2.530306483182901,4.369693516817099,0.0
arr-awq,awq,ob502,-6.9,-16.99952676915791,-10.09952676915791,0.0
arr-awq,awq,ob503,-6.9,-0.5365873330803158,6.363412666919684,0.0
arr-awq,awq,ob504,-6.9,-13.267316277779173,-6.367316277779173,0.0
arr-awq,awq,ob505,-6.9,-11.778343200683594,-4.878343200683593,0.0
arr-awq,awq,ob506,-6.9,-5.087557512524654,1.8124424874753462,0.0
arr-awq,awq,ob507,-6.9,-3.8835714314770065,3.016428568522994,0.0
arr-awq,awq,ob508,-6.9,-4.1743669509887695,2.725633049011231,0.0
arr-awq,awq,ob509,-6.9,-0.5123009446833748,6.3876990553166255,0.0
arr-awq,awq,ob510,-6.9,-2.133614976075478,4.7663850239245225,0.0
arr-awq,awq,ob511,-6.9,-2.536746622708961,4.36325337729104,0.0
arr-awq,awq,ob512,-6.9,-1.646445489274356,5.253554510725644,0.0
arr-awq,awq,ob513,-6.9,-0.7251801199074634,6.174819880092537,0.0
arr-awq,awq,ob514,-6.9,-0.6477841868305916,6.252215813169409,0.0
arr-awq,awq,ob515,-6.9,-4.385868310928345,2.5141316890716556,0.0
arr-awq,awq,ob516,-6.9,-2.2237612128956243,4.676238787104376,0.0
arr-awq,awq,ob517,-6.9,-1.8502214146905054,5.049778585309495,0.0
arr-awq,awq,ob518,-6.9,-1.2150282909205998,5.6849717090794005,0.0
arr-awq,awq,ob519,-6.9,-1.0462965545901282,5.853703445409872,0.0
arr-awq,awq,ob520,-6.9,-1.200856237045889,5.699143762954112,0.0
arr-awq,awq,ob521,-6.9,-0.5993327222251357,6.300667277774865,0.0
arr-awq,awq,ob522,-6.9,-0.3935432494728843,6.506456750527116,0.0
arr-awq,awq,ob523,-6.9,-0.1059824194908287,6.794017580509172,0.0
arr-awq,awq,ob524,-6.9,-0.0995323883808453,6.800467611619155,0.0
arr-awq,awq,ob525,-6.9,-0.08438079117331651,6.815619208826684,0.0
arr-awq,awq,ob526,-6.9,-0.0626491689927206,6.83735083100728,0.0
arr-awq,awq,ob527,-6.9,0.0005482522761637,6.900548252276164,0.0
arr-awq,awq,ob528,-6.9,-0.0422432264882615,6.857756773511739,0.0
arr-awq,awq,ob529,-6.9,-0.4795174383323657,6.420482561667635,0.0
arr-awq,awq,ob530,-6.9,-0.07881269330985854,6.821187306690142,0.0
arr-awq,awq,ob531,-6.9,-0.056628818520978855,6.8433711814790215,0.0
arr-awq,awq,ob532,-6.9,-0.08487410561050976,6.815125894389491,0.0
arr-awq,awq,ob533,-6.9,-0.5434854608101886,6.356514539189812,0.0
arr-awq,awq,ob534,-6.9,-0.1198791813165173,6.780120818683483,0.0
arr-awq,awq,ob535,-6.9,-0.04298636853304915,6.857013631466951,0.0
arr-awq,awq,ob536,-6.9,0.013593423191524252,6.913593423191525,0.0
arr-awq,awq,ob537,-6.9,-7.4120284963573795,-0.5120284963573791,0.0
arr-awq,awq,ob538,-6.9,-10.3489750768058,-3.4489750768058,0.0
arr-awq,awq,ob539,-6.9,-15.379690765126206,-8.479690765126206,0.0
arr-awq,awq,ob540,-6.9,-6.122465735766561,0.7775342642334397,0.0
arr-awq,awq,ob541,-6.9,-0.055151652864878956,6.844848347135121,0.0
arr-awq,awq,ob542,-6.9,-17.139031468878898,-10.239031468878897,0.0
arr-awq,awq,ob543,-6.9,0.07674804241074085,6.976748042410741,0.0
arr-awq,awq,ob544,-6.9,0.3833754370518552,7.2833754370518555,0.0
arr-spq,spq,ob24857,-3.0,-2.1882751977536827,0.8117248022463173,0.0
arr-spq,spq,ob24858,-3.0,2.11717187207978,5.11717187207978,0.0
arr-spq,spq,ob24859,-3.0,-1.6497538671546863,1.3502461328453137,0.0
arr-spq,spq,ob24860,-3.0,1.3566750288009644,4.356675028800964,0.0
arr-spq,spq,ob24861,-3.0,0.1493372551539948,3.149337255153995,0.0
arr-spq,spq,ob24862,-3.0,-1.8287340767597016,1.1712659232402984,0.0
arr-spq,spq,ob24863,-3.0,-0.1193104062112979,2.880689593788702,0.0
arr-spq,spq,ob24864,-3.0,-0.3092832565307617,2.6907167434692383,0.0
arr-spq,spq,ob24865,-3.0,0.10385781526565545,3.1038578152656555,0.0
arr-spq,spq,ob24866,-3.0,-1.5514927081439964,1.4485072918560036,0.0
arr-spq,spq,ob24867,-3.0,-1.5337905883789062,1.4662094116210938,0.0
recession,pk4,ob177881,-0.0067956189782041,-0.0042785476920203,0.0025170712861838,0.25170712861837996
recession,pk4-conf-diff,ob177873,-0.0399110274455476,-0.0424280988464411,-0.0025170714008935016,0.25170714008935013
recession,pk4-spr-diff,ob177877,0.0031367490514641,0.0042785476920203,0.0011417986405562,0.11417986405562
ts-heads,pk4,ob212,7.745205599684294,7.591267252324805,-0.15393834735948886,43.093523140993554
ts-heads,pk4,ob213,7.6923641701026035,7.579236970104881,-0.1131271999977228,31.66884466800905
ts-heads,pk4,ob223,7.741696429297553,7.590000000043643,-0.15169642925391003,42.465920263476896
ts-heads,pk4,ob224,7.604772782425677,7.559597410033861,-0.04517537239181557,12.646400256743473
ts-heads,pk4,ob235,7.50154974522494,7.489594330871215,-0.011955414353725047,3.3468004168531142
