kper,kstp,time,k,i,j,AWq
1,1,1.0,0,2,46,-15.56810797462424
1,1,1.0,0,3,46,-16.19994550681644
1,1,1.0,0,4,46,-17.725925682009468
1,1,1.0,0,5,45,-30.602477630506776
1,1,1.0,0,6,45,-41.18412646353792
1,1,1.0,0,7,44,-76.84831679076788
1,1,1.0,0,8,43,-128.2825886668283
1,1,1.0,0,8,54,-18.854280921095253
1,1,1.0,0,9,43,-159.90840158347936
1,1,1.0,0,9,52,-35.23401715070182
1,1,1.0,0,9,53,-27.257959967293203
1,1,1.0,0,10,42,-206.4803048840365
1,1,1.0,0,10,50,-94.18029647189513
1,1,1.0,0,10,51,-76.33728990290615
1,1,1.0,0,11,42,-214.8105653075031
1,1,1.0,0,11,48,-144.51359468308954
1,1,1.0,0,11,49,-148.13174588464693
1,1,1.0,0,12,9,-190.99950038864534
1,1,1.0,0,12,42,-225.04096527275232
1,1,1.0,0,12,46,-169.38740989332683
1,1,1.0,0,12,47,-203.69839657494373
1,1,1.0,0,13,10,-204.66029130705067
1,1,1.0,0,13,42,-241.15552688578572
1,1,1.0,0,13,44,-233.93499450117747
1,1,1.0,0,13,45,-255.04140723306762
1,1,1.0,0,13,52,-200.08602188592178
1,1,1.0,0,13,53,-140.69698481497113
1,1,1.0,0,13,54,-84.21662645520749
1,1,1.0,0,13,55,-69.86194925396117
1,1,1.0,0,14,10,-227.3971219410522
1,1,1.0,0,14,11,-206.74061657717806
1,1,1.0,0,14,41,-247.04068444158003
1,1,1.0,0,14,42,-264.1887064752636
1,1,1.0,0,14,43,-245.40535429923216
1,1,1.0,0,14,50,-310.1595416572356
1,1,1.0,0,14,51,-274.94616941873767
1,1,1.0,0,15,12,-189.6910877269877
1,1,1.0,0,15,13,-158.70147238755595
1,1,1.0,0,15,41,-263.5344626402583
1,1,1.0,0,15,48,-453.57386538997974
1,1,1.0,0,15,49,-388.13022982525126
1,1,1.0,0,16,14,-68.83101871414021
1,1,1.0,0,16,15,-113.92825737666323
1,1,1.0,0,16,16,-94.06717485345239
1,1,1.0,0,16,17,-63.40147437638373
1,1,1.0,0,16,41,-290.92775581724925
1,1,1.0,0,16,46,-667.1240956329185
1,1,1.0,0,16,47,-580.2276089863237
1,1,1.0,0,17,18,-19.975347586853758
1,1,1.0,0,17,41,-287.5092018670935
1,1,1.0,0,17,42,-403.51421989480656
1,1,1.0,0,17,43,-462.7206596488718
1,1,1.0,0,17,44,-520.798935188998
1,1,1.0,0,17,45,-576.6953673439838
1,1,1.0,0,18,19,-23.123277285623487
1,1,1.0,0,18,20,-25.839618553733974
1,1,1.0,0,18,40,-124.87340350854782
1,1,1.0,0,18,42,-288.797837729227
1,1,1.0,0,19,21,-30.02338065104791
1,1,1.0,0,19,40,-111.8033131434421
1,1,1.0,0,19,41,-193.74458781153808
1,1,1.0,0,20,22,-34.05136497733067
1,1,1.0,0,20,39,-154.11702673564997
1,1,1.0,0,20,41,-107.21898535382326
1,1,1.0,0,21,23,-34.874213320953665
1,1,1.0,0,21,36,-278.69725009145134
1,1,1.0,0,21,37,-263.1514337404101
1,1,1.0,0,21,38,-241.1339507295621
1,1,1.0,0,21,39,-179.13485441324812
1,1,1.0,0,21,40,-119.33120749358451
1,1,1.0,0,21,41,-57.632752479323315
1,1,1.0,0,22,24,-35.944883167199926
1,1,1.0,0,22,35,-268.9201277755233
1,1,1.0,0,23,25,-37.46889686085658
1,1,1.0,0,23,26,-43.60899977498912
1,1,1.0,0,23,34,-288.0480516225972
1,1,1.0,0,24,27,-112.39562268246097
1,1,1.0,0,24,28,-178.36341488569914
1,1,1.0,0,24,33,-286.424962575842
1,1,1.0,0,25,29,-235.71399623876528
1,1,1.0,0,25,33,-276.74480208345733
1,1,1.0,0,26,29,-221.32656494410153
1,1,1.0,0,26,32,-272.55505891113836
1,1,1.0,0,27,30,-180.358433942438
1,1,1.0,0,27,31,-248.16838848913477
1,1,1.0,0,27,32,-246.69209210784612
1,1,1.0,0,27,33,-252.4928837296128
1,1,1.0,0,28,32,-204.66067861418026
1,1,1.0,0,28,33,-212.35535968797507
1,1,1.0,0,29,31,-121.33360746211429
1,1,1.0,0,30,31,-89.62244225305437
1,1,1.0,0,31,31,-71.27226294250875
1,1,1.0,0,32,30,-19.22561309697332
1,1,1.0,0,33,27,-10.681219909345238
1,1,1.0,0,33,28,-8.071857093511895
1,1,1.0,0,33,29,-6.188716254025991
1,1,1.0,0,34,25,-8.385209084142694
1,1,1.0,0,34,26,-7.064388891447216
1,1,1.0,0,35,22,-5.224441839697478
1,1,1.0,0,35,23,-4.492777386922867
1,1,1.0,0,35,24,-4.349621133623071
1,1,1.0,0,36,14,-3.84252753603279
1,1,1.0,0,36,15,-3.2349155275524355
1,1,1.0,0,36,16,-2.920053091025605
1,1,1.0,0,36,17,-2.668562290822508
