kper,kstp,time,k,i,j,PWq
1,1,1.0,0,22,40,-90.91142317514182
1,1,1.0,0,23,40,-53.77465931069049
1,1,1.0,0,24,39,-26.88341130887808
1,1,1.0,0,25,39,-25.631506749092516
1,1,1.0,0,26,38,-95.02628459575644
1,1,1.0,0,27,38,-87.03388053425545
1,1,1.0,0,28,38,-6.51094647623114
1,1,1.0,0,29,37,-60.19229562409083
1,1,1.0,0,30,37,-34.68378155161423
1,1,1.0,0,31,37,-20.972377882793808
1,1,1.0,0,32,36,-31.947511437739138
1,1,1.0,0,33,36,-16.16564836819495
1,1,1.0,0,34,37,-4.766767932548731
1,1,1.0,0,35,37,-2.706963483236464
1,1,1.0,0,36,37,-2.4179868374162794
1,1,1.0,0,37,37,-1.2770795291700594
1,1,1.0,0,38,37,-1.2613924689022724
1,1,1.0,0,39,38,-1.2325203367839492
1,1,1.0,0,40,38,-1.1077738346097945
1,1,1.0,0,41,38,-1.171619409730475
1,1,1.0,0,42,38,-1.4006934820228842
1,1,1.0,0,43,38,-1.5250131004285024
1,1,1.0,0,44,38,-1.6857278649357923
1,1,1.0,0,45,37,1.3212078038867716
1,1,1.0,0,45,38,-1.8265605465654637
2,1,2.0,0,22,40,-90.53623850431256
2,1,2.0,0,23,40,-53.59277271843293
2,1,2.0,0,24,39,-26.821301700460804
2,1,2.0,0,25,39,-25.636591003941795
2,1,2.0,0,26,38,-95.0275717965659
2,1,2.0,0,27,38,-87.07557865284176
2,1,2.0,0,28,38,-6.477531032064746
2,1,2.0,0,29,37,-60.22531220531363
2,1,2.0,0,30,37,-34.73023114208917
2,1,2.0,0,31,37,-21.01678355853943
2,1,2.0,0,32,36,-31.98995196538465
2,1,2.0,0,33,36,-16.201143732906274
2,1,2.0,0,34,37,-4.790398522107779
2,1,2.0,0,35,37,-2.7242902624942786
2,1,2.0,0,36,37,-2.4289472075708147
2,1,2.0,0,37,37,-1.2843651735493467
2,1,2.0,0,38,37,-1.2677449321661882
2,1,2.0,0,39,38,-1.238646249735524
2,1,2.0,0,40,38,-1.1132557819562976
2,1,2.0,0,41,38,-1.1765846656313386
2,1,2.0,0,42,38,-1.40527232220834
2,1,2.0,0,43,38,-1.529207165421841
2,1,2.0,0,44,38,-1.689536594718394
2,1,2.0,0,45,37,1.3184005128406113
2,1,2.0,0,45,38,-1.8301748905692605
2,2,3.0,0,22,40,-90.02563519770696
2,2,3.0,0,23,40,-53.32105024059345
2,2,3.0,0,24,39,-26.716596808075135
2,2,3.0,0,25,39,-25.63861193601595
2,2,3.0,0,26,38,-94.99864628022746
2,2,3.0,0,27,38,-87.1069075849613
2,2,3.0,0,28,38,-6.459708263734228
2,2,3.0,0,29,37,-60.24694019921151
2,2,3.0,0,30,37,-34.76578124323197
2,2,3.0,0,31,37,-21.052826645063988
2,2,3.0,0,32,36,-32.025296254052705
2,2,3.0,0,33,36,-16.23089612680579
2,2,3.0,0,34,37,-4.810412874766143
2,2,3.0,0,35,37,-2.739054581244531
2,2,3.0,0,36,37,-2.4383442015803496
2,2,3.0,0,37,37,-1.2906341078874703
2,2,3.0,0,38,37,-1.2732166377425855
2,2,3.0,0,39,38,-1.2439240083926038
2,2,3.0,0,40,38,-1.1179799099372403
2,2,3.0,0,41,38,-1.1808663797501566
2,2,3.0,0,42,38,-1.4092234222030768
2,2,3.0,0,43,38,-1.5328271733582426
2,2,3.0,0,44,38,-1.6928250403129042
2,2,3.0,0,45,37,1.3159739388764642
2,2,3.0,0,45,38,-1.8332973462144722
2,3,4.0,0,22,40,-89.48105584395314
2,3,4.0,0,23,40,-53.015231075450494
2,3,4.0,0,24,39,-26.589051327848072
2,3,4.0,0,25,39,-25.64375372360857
2,3,4.0,0,26,38,-94.96512189623061
2,3,4.0,0,27,38,-87.16736240536281
2,3,4.0,0,28,38,-6.480134071129157
2,3,4.0,0,29,37,-60.30863887530177
2,3,4.0,0,30,37,-34.83894971729069
2,3,4.0,0,31,37,-21.122102576416296
2,3,4.0,0,32,36,-32.09177549963471
2,3,4.0,0,33,36,-16.286808717582744
2,3,4.0,0,34,37,-4.847998740338227
2,3,4.0,0,35,37,-2.766774421358136
2,3,4.0,0,36,37,-2.45598398207197
2,3,4.0,0,37,37,-1.302401246098988
2,3,4.0,0,38,37,-1.2834873254317785
2,3,4.0,0,39,38,-1.2538305465322779
2,3,4.0,0,40,38,-1.1268471832698879
2,3,4.0,0,41,38,-1.1889031779174388
2,3,4.0,0,42,38,-1.4166396189009838
2,3,4.0,0,43,38,-1.539621883821269
2,3,4.0,0,44,38,-1.6989973860955665
2,3,4.0,0,45,37,1.3114193479247902
2,3,4.0,0,45,38,-1.8391581034208038
2,4,5.0,0,22,40,-88.91116351331024
2,4,5.0,0,23,40,-52.68454818021061
2,4,5.0,0,24,39,-26.441984260880673
2,4,5.0,0,25,39,-25.642121438279055
2,4,5.0,0,26,38,-94.88845314473315
2,4,5.0,0,27,38,-87.19136544398455
2,4,5.0,0,28,38,-6.4715429903181985
2,4,5.0,0,29,37,-60.32585207912945
2,4,5.0,0,30,37,-34.872285909994446
2,4,5.0,0,31,37,-21.158533309160077
