kper,kstp,k,i,j,AWq
1,1,0,2,46,-4.095964376725155
1,1,0,3,46,-3.9038839998603176
1,1,0,4,46,-3.976799128026073
1,1,0,5,45,-4.9558291825683245
1,1,0,6,45,-5.0343683812691165
1,1,0,7,44,-5.169472764147546
1,1,0,8,43,-5.041470389747891
1,1,0,8,54,-4.5625080348808424
1,1,0,9,43,-5.039779926008816
1,1,0,9,52,-4.842811737039565
1,1,0,9,53,-4.824623710559711
1,1,0,10,42,-5.005603853594593
1,1,0,10,50,-4.778622397314933
1,1,0,10,51,-4.791477433911753
1,1,0,11,42,-4.828571318671489
1,1,0,11,48,-4.712798395082276
1,1,0,11,49,-4.88592436782756
1,1,0,12,9,-5.802166074878806
1,1,0,12,42,-4.750673059158212
1,1,0,12,46,-4.129902986644609
1,1,0,12,47,-4.907023177963714
1,1,0,13,10,-6.10014427853171
1,1,0,13,42,-4.592574099065217
1,1,0,13,44,-4.353839494419244
1,1,0,13,45,-4.620153008588591
1,1,0,13,52,-6.898172567426792
1,1,0,13,53,-6.795541559981866
1,1,0,13,54,-6.790375965970217
1,1,0,13,55,-6.805462684256936
1,1,0,14,10,-6.121728786492952
1,1,0,14,11,-6.224228697916945
1,1,0,14,41,-4.786800488497148
1,1,0,14,42,-4.44185579766844
1,1,0,14,43,-4.0849898162293865
1,1,0,14,50,-6.81603746053557
1,1,0,14,51,-6.8682545682210945
1,1,0,15,12,-6.339205712364412
1,1,0,15,13,-6.42336608829254
1,1,0,15,41,-4.697444202824679
1,1,0,15,48,-6.740860358722559
1,1,0,15,49,-6.830426325653384
1,1,0,16,14,-4.180569275710976
1,1,0,16,15,-6.247795604184193
1,1,0,16,16,-6.279477908338503
1,1,0,16,17,-6.383985339678998
1,1,0,16,41,-4.71896920971235
1,1,0,16,46,-6.678726189033116
1,1,0,16,47,-6.731164862151767
1,1,0,17,18,-6.528451536456927
1,1,0,17,41,-4.825291365342238
1,1,0,17,42,-5.925812869920148
1,1,0,17,43,-6.170349735638597
1,1,0,17,44,-6.3768391665142685
1,1,0,17,45,-6.630042720752778
1,1,0,18,19,-6.3089998294624765
1,1,0,18,20,-6.431393472405558
1,1,0,18,40,-3.15184002483201
1,1,0,18,42,-6.17690214952498
1,1,0,19,21,-6.605595557467565
1,1,0,19,40,-3.1489453345626313
1,1,0,19,41,-6.049366136499614
1,1,0,20,22,-6.628967745273687
1,1,0,20,39,-4.3195667012331445
1,1,0,20,41,-5.81770213401737
1,1,0,21,23,-6.680158068279464
1,1,0,21,36,-6.525015971137161
1,1,0,21,37,-6.26398143891263
1,1,0,21,38,-6.0107701062458965
1,1,0,21,39,-5.620509162284799
1,1,0,21,40,-5.429231897271078
1,1,0,21,41,-5.655967973734729
1,1,0,22,24,-6.668516933087953
1,1,0,22,35,-6.728732565013722
1,1,0,23,25,-6.495309474971743
