kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total
1,-703.9737,-2857.018,-206.6704,-114.2398,1.2321e-06,0.0,3881.9019,0.0,0.0
2,-190.0989,-2987.8694,-191.2181,-107.3637,-1.2055e-09,-0.0,3312.246,164.3038,0.0
3,-1353.6213,-2404.0889,-124.1913,0.0,0.00028661,0.0,3881.9019,0.0,0.00024414062
4,-541.9941,-2798.8447,-140.8269,0.0,-1.2465e-09,-0.0,3312.246,169.4195,0.0
