,mm
2023-11-06,12.4
2023-11-07,1.5999999999999999
2023-11-08,1.5999999999999999
2023-11-09,23.400000000000002
2023-11-10,28.0
2023-11-11,29.200000000000003
2023-11-12,29.200000000000003
2023-11-13,32.0
2023-11-14,31.8
2023-11-15,32.0
2023-11-16,34.0
2023-11-17,34.800000000000004
2023-11-18,34.800000000000004
2023-11-19,13.0
2023-11-20,8.4
2023-11-21,5.800000000000001
2023-11-22,5.800000000000001
2023-11-23,3.0
2023-11-24,3.0
2023-11-25,2.8
2023-11-26,0.8000000000000003
2023-11-27,0.0
2023-11-28,5.2
2023-11-29,11.8
2023-11-30,28.0
2023-12-01,34.4
2023-12-02,35.0
2023-12-03,35.0
2023-12-04,37.6
2023-12-05,40.8
2023-12-06,40.8
2023-12-07,40.8
2023-12-08,35.599999999999994
2023-12-09,29.0
2023-12-10,12.8
2023-12-11,7.800000000000001
2023-12-12,7.4
2023-12-13,8.600000000000001
2023-12-14,6.4
2023-12-15,6.2
2023-12-16,7.2
2023-12-17,7.2
2023-12-18,7.2
2023-12-19,7.2
2023-12-20,8.6
2023-12-21,7.199999999999999
2023-12-22,7.0
2023-12-23,5.800000000000001
2023-12-24,5.4
2023-12-25,2.4
2023-12-26,1.4
2023-12-27,1.4
2023-12-28,1.4
2023-12-29,1.7999999999999998
2023-12-30,0.4
2023-12-31,0.4
2024-01-01,0.4
2024-01-02,0.4
2024-01-03,3.0
2024-01-04,5.0
2024-01-05,5.0
2024-01-06,5.0
2024-01-07,5.4
2024-01-08,8.6
2024-01-09,9.2
2024-01-10,9.2
2024-01-11,9.2
2024-01-12,9.2
2024-01-13,6.6
2024-01-14,4.6
2024-01-15,9.4
2024-01-16,14.0
2024-01-17,13.600000000000001
2024-01-18,10.0
2024-01-19,9.400000000000002
2024-01-20,9.400000000000002
2024-01-21,9.400000000000002
2024-01-22,9.400000000000002
2024-01-23,9.400000000000002
2024-01-24,9.400000000000002
2024-01-25,11.400000000000002
2024-01-26,8.4
2024-01-27,8.4
2024-01-28,8.4
2024-01-29,8.4
2024-01-30,8.4
2024-01-31,9.0
2024-02-01,15.200000000000001
2024-02-02,16.400000000000002
2024-02-03,16.400000000000002
2024-02-04,12.8
2024-02-05,11.200000000000001
2024-02-06,11.4
2024-02-07,41.4
2024-02-08,41.8
2024-02-09,44.6
2024-02-10,44.4
2024-02-11,38.2
2024-02-12,37.0
2024-02-13,38.8
2024-02-14,35.599999999999994
2024-02-15,35.599999999999994
2024-02-16,35.4
2024-02-17,5.399999999999997
2024-02-18,4.9999999999999964
2024-02-19,7.799999999999997
2024-02-20,7.799999999999997
2024-02-21,7.799999999999997
2024-02-22,7.799999999999997
2024-02-23,5.999999999999997
2024-02-24,5.999999999999997
2024-02-25,5.999999999999997
2024-02-26,5.999999999999997
2024-02-27,5.999999999999997
2024-02-28,5.999999999999997
2024-02-29,0.39999999999999736
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.9999999999999973
2024-03-08,14.999999999999996
2024-03-09,14.999999999999995
2024-03-10,15.399999999999995
2024-03-11,15.399999999999995
2024-03-12,15.399999999999995
2024-03-13,15.399999999999995
2024-03-14,15.799999999999995
2024-03-15,15.999999999999995
2024-03-16,15.999999999999995
2024-03-17,14.999999999999995
2024-03-18,0.9999999999999964
2024-03-19,0.9999999999999964
2024-03-20,0.5999999999999965
2024-03-21,0.5999999999999965
2024-03-22,5.399999999999997
2024-03-23,8.199999999999996
2024-03-24,9.799999999999995
2024-03-25,12.999999999999996
2024-03-26,13.799999999999997
2024-03-27,13.799999999999997
2024-03-28,13.799999999999997
2024-03-29,13.799999999999997
2024-03-30,13.799999999999997
2024-03-31,13.799999999999997
2024-04-01,8.999999999999996
2024-04-02,6.399999999999997
2024-04-03,4.599999999999997
2024-04-04,1.1999999999999966
2024-04-05,0.39999999999999647
2024-04-06,0.39999999999999647
2024-04-07,0.39999999999999647
2024-04-08,0.7999999999999965
2024-04-09,7.599999999999996
2024-04-10,7.599999999999996
2024-04-11,7.599999999999996
2024-04-12,7.399999999999996
2024-04-13,7.199999999999996
2024-04-14,7.999999999999996
2024-04-15,8.599999999999996
2024-04-16,8.599999999999996
2024-04-17,8.599999999999996
2024-04-18,8.199999999999996
