,mm
2023-11-06,24.6
2023-11-07,27.200000000000003
2023-11-08,27.200000000000003
2023-11-09,30.000000000000004
2023-11-10,30.000000000000004
2023-11-11,10.200000000000003
2023-11-12,7.600000000000004
2023-11-13,5.800000000000003
2023-11-14,5.800000000000004
2023-11-15,3.0000000000000036
2023-11-16,3.0000000000000036
2023-11-17,2.8000000000000034
2023-11-18,0.8000000000000038
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,5.200000000000004
2023-11-25,11.800000000000004
2023-11-26,28.000000000000004
2023-11-27,34.400000000000006
2023-11-28,35.00000000000001
2023-11-29,35.00000000000001
2023-11-30,32.400000000000006
2023-12-01,29.000000000000004
2023-12-02,12.800000000000004
2023-12-03,6.400000000000004
2023-12-04,5.800000000000004
2023-12-05,5.800000000000004
2023-12-06,3.2000000000000037
2023-12-07,1.4000000000000035
2023-12-08,1.6000000000000034
2023-12-09,2.8000000000000034
2023-12-10,3.2000000000000037
2023-12-11,6.200000000000004
2023-12-12,7.200000000000004
2023-12-13,5.800000000000004
2023-12-14,5.600000000000004
2023-12-15,4.400000000000004
2023-12-16,5.400000000000004
2023-12-17,2.4000000000000035
2023-12-18,1.4000000000000035
2023-12-19,1.4000000000000035
2023-12-20,1.4000000000000035
2023-12-21,1.4000000000000035
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.4000000000000036
2023-12-26,0.4000000000000036
2023-12-27,0.4000000000000036
2023-12-28,0.4000000000000036
2023-12-29,0.4000000000000036
2023-12-30,3.0000000000000036
2023-12-31,4.600000000000003
2024-01-01,4.600000000000003
2024-01-02,4.600000000000003
2024-01-03,5.0000000000000036
2024-01-04,8.600000000000003
2024-01-05,6.600000000000004
2024-01-06,4.600000000000003
2024-01-07,4.600000000000003
2024-01-08,4.600000000000003
2024-01-09,4.200000000000004
2024-01-10,0.6000000000000036
2024-01-11,4.800000000000003
2024-01-12,9.400000000000004
2024-01-13,9.400000000000004
2024-01-14,9.400000000000004
2024-01-15,9.400000000000004
2024-01-16,9.400000000000004
2024-01-17,4.600000000000004
2024-01-18,0.0
2024-01-19,0.0
2024-01-20,0.0
2024-01-21,6.800000000000004
2024-01-22,8.400000000000004
2024-01-23,8.400000000000004
2024-01-24,8.400000000000004
2024-01-25,8.400000000000004
2024-01-26,8.400000000000004
2024-01-27,2.2000000000000037
2024-01-28,6.800000000000004
2024-01-29,8.000000000000004
2024-01-30,8.000000000000004
2024-01-31,11.200000000000003
2024-02-01,11.200000000000003
2024-02-02,10.800000000000004
2024-02-03,24.6
2024-02-04,23.8
2024-02-05,26.6
2024-02-06,23.8
2024-02-07,23.800000000000004
2024-02-08,23.6
2024-02-09,5.4
2024-02-10,5.0
2024-02-11,2.2
2024-02-12,1.8000000000000003
2024-02-13,1.8000000000000003
2024-02-14,1.8000000000000003
2024-02-15,5.6
2024-02-16,6.0
2024-02-17,6.0
2024-02-18,6.0
2024-02-19,6.0
2024-02-20,6.0
2024-02-21,0.4
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,1.0
2024-03-04,14.999999999999998
2024-03-05,14.999999999999998
2024-03-06,15.399999999999999
2024-03-07,15.399999999999999
2024-03-08,15.399999999999999
2024-03-09,14.399999999999999
2024-03-10,0.8
2024-03-11,1.0
2024-03-12,0.6000000000000001
2024-03-13,0.6000000000000001
2024-03-14,0.6000000000000001
2024-03-15,0.6000000000000001
2024-03-16,0.2
2024-03-17,0.0
2024-03-18,4.8
2024-03-19,7.6
2024-03-20,9.6
2024-03-21,13.0
2024-03-22,13.8
2024-03-23,13.8
2024-03-24,9.0
2024-03-25,6.2
2024-03-26,4.2
2024-03-27,0.8
2024-03-28,0.0
2024-03-29,0.2
2024-03-30,0.4
2024-03-31,0.4
2024-04-01,0.4
2024-04-02,0.4
2024-04-03,0.4
2024-04-04,0.6000000000000001
2024-04-05,7.2
2024-04-06,7.2
2024-04-07,7.2
2024-04-08,7.2
2024-04-09,7.2
2024-04-10,7.6
2024-04-11,1.4000000000000001
2024-04-12,1.4000000000000001
2024-04-13,1.4000000000000001
2024-04-14,1.4000000000000001
2024-04-15,1.4000000000000001
2024-04-16,0.6000000000000001
2024-04-17,0.0
2024-04-18,0.2
2024-04-19,0.2
2024-04-20,4.0
2024-04-21,4.0
2024-04-22,4.0
2024-04-23,4.0
2024-04-24,3.8
2024-04-25,3.8
2024-04-26,14.2
2024-04-27,22.4
2024-04-28,22.6
2024-04-29,22.8
2024-04-30,22.8
2024-05-01,22.8
2024-05-02,8.600000000000001
2024-05-03,0.4
2024-05-04,0.2
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.8
2024-05-09,0.8
2024-05-10,0.8
2024-05-11,0.8
2024-05-12,4.0
2024-05-13,4.0
2024-05-14,3.2
2024-05-15,3.2
2024-05-16,3.2
2024-05-17,3.2
2024-05-18,0.0
2024-05-19,0.6
2024-05-20,0.6
2024-05-21,2.0
2024-05-22,2.0
2024-05-23,2.0
2024-05-24,2.0
2024-05-25,1.4
2024-05-26,6.6
2024-05-27,25.2
2024-05-28,27.6
2024-05-29,27.6
2024-05-30,27.6
