,mm
2023-11-06,1.5999999999999999
2023-11-07,10.2
2023-11-08,14.799999999999999
2023-11-09,17.4
2023-11-10,17.2
2023-11-11,20.0
2023-11-12,20.0
2023-11-13,20.2
2023-11-14,22.2
2023-11-15,13.0
2023-11-16,8.4
2023-11-17,5.800000000000001
2023-11-18,5.800000000000001
2023-11-19,3.0
2023-11-20,3.0
2023-11-21,2.8
2023-11-22,0.8000000000000003
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,0.0
2023-11-26,5.2
2023-11-27,11.8
2023-11-28,21.8
2023-11-29,28.200000000000003
2023-11-30,28.8
2023-12-01,28.8
2023-12-02,31.400000000000002
2023-12-03,34.6
2023-12-04,29.400000000000002
2023-12-05,22.8
2023-12-06,12.8
2023-12-07,6.4
2023-12-08,5.800000000000001
2023-12-09,7.200000000000001
2023-12-10,4.8
2023-12-11,2.8
2023-12-12,3.2
2023-12-13,6.2
2023-12-14,7.2
2023-12-15,7.2
2023-12-16,7.2
2023-12-17,5.800000000000001
2023-12-18,7.0
2023-12-19,5.800000000000001
2023-12-20,5.4
2023-12-21,2.4
2023-12-22,1.4
2023-12-23,1.4
2023-12-24,1.4
2023-12-25,1.4
2023-12-26,0.0
2023-12-27,0.4
2023-12-28,0.4
2023-12-29,0.4
2023-12-30,0.4
2023-12-31,0.4
2024-01-01,3.0
2024-01-02,5.0
2024-01-03,5.0
2024-01-04,4.6
2024-01-05,5.0
2024-01-06,8.6
2024-01-07,9.2
2024-01-08,9.2
2024-01-09,6.6
2024-01-10,4.6
2024-01-11,4.6
2024-01-12,4.6
2024-01-13,9.0
2024-01-14,10.0
2024-01-15,9.400000000000002
2024-01-16,9.400000000000002
2024-01-17,9.400000000000002
2024-01-18,9.400000000000002
2024-01-19,9.400000000000002
2024-01-20,9.400000000000002
2024-01-21,4.6000000000000005
2024-01-22,0.0
2024-01-23,6.800000000000001
2024-01-24,8.4
2024-01-25,8.4
2024-01-26,8.4
2024-01-27,8.4
2024-01-28,8.4
2024-01-29,9.0
2024-01-30,15.200000000000001
2024-01-31,9.6
2024-02-01,8.0
2024-02-02,11.200000000000001
2024-02-03,11.200000000000001
2024-02-04,11.4
2024-02-05,21.4
2024-02-06,21.2
2024-02-07,17.8
2024-02-08,17.0
2024-02-09,17.0
2024-02-10,13.799999999999999
2024-02-11,15.6
2024-02-12,15.4
2024-02-13,5.4
2024-02-14,5.0
2024-02-15,2.2
2024-02-16,1.8000000000000003
2024-02-17,7.4
2024-02-18,7.800000000000001
2024-02-19,6.0
2024-02-20,6.0
2024-02-21,6.0
2024-02-22,6.0
2024-02-23,6.0
2024-02-24,6.0
2024-02-25,0.4
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,1.0
2024-03-06,11.0
2024-03-07,11.0
2024-03-08,11.4
2024-03-09,11.4
2024-03-10,11.4
2024-03-11,11.4
2024-03-12,11.8
2024-03-13,11.0
2024-03-14,1.0
2024-03-15,1.0
2024-03-16,0.6000000000000001
2024-03-17,0.6000000000000001
2024-03-18,0.6000000000000001
2024-03-19,0.6000000000000001
2024-03-20,5.0
2024-03-21,7.6
2024-03-22,9.6
2024-03-23,13.0
2024-03-24,13.8
2024-03-25,13.8
2024-03-26,13.8
2024-03-27,13.8
2024-03-28,9.0
2024-03-29,6.2
2024-03-30,4.2
2024-03-31,1.0
2024-04-01,0.4
2024-04-02,0.4
2024-04-03,0.4
2024-04-04,0.4
2024-04-05,0.4
2024-04-06,0.8
2024-04-07,7.6
2024-04-08,7.3999999999999995
2024-04-09,7.199999999999999
2024-04-10,7.199999999999999
2024-04-11,7.199999999999999
2024-04-12,7.999999999999999
2024-04-13,8.6
2024-04-14,8.2
2024-04-15,1.4000000000000001
2024-04-16,1.4000000000000001
2024-04-17,1.4000000000000001
2024-04-18,1.4000000000000001
2024-04-19,1.4000000000000001
2024-04-20,0.8
2024-04-21,0.2
2024-04-22,4.0
2024-04-23,4.0
2024-04-24,4.0
2024-04-25,4.0
2024-04-26,4.0
2024-04-27,4.0
2024-04-28,13.8
2024-04-29,22.0
2024-04-30,18.400000000000002
2024-05-01,18.6
2024-05-02,18.6
2024-05-03,18.6
2024-05-04,18.6
2024-05-05,18.6
2024-05-06,8.600000000000001
2024-05-07,0.4
2024-05-08,0.2
2024-05-09,0.0
2024-05-10,0.8
2024-05-11,0.8
2024-05-12,0.8
2024-05-13,0.8
2024-05-14,4.0
2024-05-15,4.0
2024-05-16,4.0
2024-05-17,4.0
2024-05-18,3.2
2024-05-19,3.2
2024-05-20,3.2
2024-05-21,3.8000000000000003
2024-05-22,0.6
2024-05-23,2.0
2024-05-24,2.0
2024-05-25,2.0
2024-05-26,2.0
2024-05-27,2.0
2024-05-28,7.199999999999999
2024-05-29,16.6
2024-05-30,19.0
