,mm
2023-11-06,1.5999999999999999
2023-11-07,1.5999999999999999
2023-11-08,23.400000000000002
2023-11-09,26.6
2023-11-10,29.200000000000003
2023-11-11,29.200000000000003
2023-11-12,31.8
2023-11-13,31.8
2023-11-14,32.0
2023-11-15,34.0
2023-11-16,34.800000000000004
2023-11-17,13.0
2023-11-18,8.4
2023-11-19,5.800000000000001
2023-11-20,5.800000000000001
2023-11-21,3.0
2023-11-22,3.0
2023-11-23,2.8
2023-11-24,0.8000000000000003
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,5.2
2023-11-28,11.8
2023-11-29,28.0
2023-11-30,34.4
2023-12-01,35.0
2023-12-02,35.0
2023-12-03,37.6
2023-12-04,40.8
2023-12-05,40.8
2023-12-06,35.599999999999994
2023-12-07,29.0
2023-12-08,12.8
2023-12-09,6.4
2023-12-10,7.200000000000001
2023-12-11,7.4
2023-12-12,6.0
2023-12-13,3.2
2023-12-14,6.2
2023-12-15,7.2
2023-12-16,7.2
2023-12-17,7.2
2023-12-18,7.2
2023-12-19,7.200000000000001
2023-12-20,7.0
2023-12-21,5.800000000000001
2023-12-22,5.4
2023-12-23,2.4
2023-12-24,1.4
2023-12-25,1.4
2023-12-26,1.4
2023-12-27,1.4
2023-12-28,0.4
2023-12-29,0.4
2023-12-30,0.4
2023-12-31,0.4
2024-01-01,0.4
2024-01-02,3.0
2024-01-03,5.0
2024-01-04,5.0
2024-01-05,5.0
2024-01-06,5.0
2024-01-07,8.6
2024-01-08,9.2
2024-01-09,9.2
2024-01-10,9.2
2024-01-11,6.6
2024-01-12,4.6
2024-01-13,4.6
2024-01-14,9.4
2024-01-15,13.600000000000001
2024-01-16,10.0
2024-01-17,9.400000000000002
2024-01-18,9.400000000000002
2024-01-19,9.400000000000002
2024-01-20,9.400000000000002
2024-01-21,9.400000000000002
2024-01-22,9.400000000000002
2024-01-23,4.6000000000000005
2024-01-24,6.800000000000001
2024-01-25,8.4
2024-01-26,8.4
2024-01-27,8.4
2024-01-28,8.4
2024-01-29,8.4
2024-01-30,9.0
2024-01-31,15.200000000000001
2024-02-01,16.400000000000002
2024-02-02,9.6
2024-02-03,11.200000000000001
2024-02-04,11.200000000000001
2024-02-05,11.4
2024-02-06,41.4
2024-02-07,41.8
2024-02-08,44.0
2024-02-09,38.199999999999996
2024-02-10,37.0
2024-02-11,37.0
2024-02-12,35.599999999999994
2024-02-13,35.599999999999994
2024-02-14,35.4
2024-02-15,5.399999999999997
2024-02-16,4.9999999999999964
2024-02-17,2.1999999999999966
2024-02-18,7.399999999999997
2024-02-19,7.799999999999997
2024-02-20,7.799999999999997
2024-02-21,5.9999999999999964
2024-02-22,5.9999999999999964
2024-02-23,5.9999999999999964
2024-02-24,5.9999999999999964
2024-02-25,5.9999999999999964
2024-02-26,5.9999999999999964
2024-02-27,0.39999999999999647
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.9999999999999964
2024-03-07,14.999999999999995
2024-03-08,14.999999999999995
2024-03-09,15.399999999999995
2024-03-10,15.399999999999995
2024-03-11,15.399999999999995
2024-03-12,15.399999999999995
2024-03-13,15.799999999999995
2024-03-14,15.999999999999995
2024-03-15,14.999999999999995
2024-03-16,0.9999999999999964
2024-03-17,0.9999999999999964
2024-03-18,0.5999999999999965
2024-03-19,0.5999999999999965
2024-03-20,0.5999999999999965
2024-03-21,5.399999999999997
2024-03-22,7.799999999999995
2024-03-23,9.599999999999996
2024-03-24,12.999999999999996
2024-03-25,13.799999999999997
2024-03-26,13.799999999999997
2024-03-27,13.799999999999997
2024-03-28,13.799999999999997
2024-03-29,13.799999999999997
2024-03-30,8.999999999999996
2024-03-31,6.199999999999997
2024-04-01,4.399999999999997
2024-04-02,1.1999999999999966
2024-04-03,0.39999999999999647
2024-04-04,0.39999999999999647
2024-04-05,0.39999999999999647
2024-04-06,0.39999999999999647
2024-04-07,0.7999999999999965
2024-04-08,7.599999999999996
2024-04-09,7.599999999999996
2024-04-10,7.399999999999996
2024-04-11,7.199999999999996
2024-04-12,7.199999999999996
2024-04-13,7.999999999999996
2024-04-14,8.599999999999996
2024-04-15,8.599999999999996
2024-04-16,8.199999999999996
2024-04-17,1.3999999999999966
2024-04-18,1.3999999999999966
2024-04-19,1.3999999999999966
2024-04-20,1.3999999999999966
2024-04-21,1.5999999999999965
2024-04-22,0.7999999999999965
2024-04-23,3.9999999999999964
2024-04-24,3.9999999999999964
2024-04-25,3.9999999999999964
2024-04-26,3.9999999999999964
2024-04-27,3.9999999999999964
2024-04-28,3.9999999999999964
2024-04-29,18.199999999999996
2024-04-30,26.199999999999996
2024-05-01,26.4
2024-05-02,22.799999999999997
2024-05-03,22.799999999999997
2024-05-04,22.799999999999997
2024-05-05,22.799999999999997
2024-05-06,22.799999999999997
2024-05-07,22.799999999999997
2024-05-08,8.599999999999998
2024-05-09,0.39999999999999647
2024-05-10,0.19999999999999646
2024-05-11,0.7999999999999965
2024-05-12,0.7999999999999965
2024-05-13,0.7999999999999965
2024-05-14,0.7999999999999965
2024-05-15,3.9999999999999964
2024-05-16,3.9999999999999964
2024-05-17,3.9999999999999964
2024-05-18,3.9999999999999964
2024-05-19,3.9999999999999964
2024-05-20,3.1999999999999966
2024-05-21,3.1999999999999966
2024-05-22,3.7999999999999967
2024-05-23,3.7999999999999963
2024-05-24,1.999999999999996
2024-05-25,1.999999999999996
2024-05-26,1.999999999999996
2024-05-27,1.999999999999996
2024-05-28,1.999999999999996
2024-05-29,7.199999999999996
2024-05-30,80.79999999999998
