time,flux
1.0,-12.265976058041815
2.0,-712.6023683075134
3.0,-668.4498972508562
4.0,-633.8933516493094
5.0,-605.8257034515917
6.0,-582.267660402769
7.0,-561.941447573314
8.0,-544.0070699409613
9.0,-527.8999351974163
10.0,-513.2308499264577
11.0,-499.72414228600474
12.0,-487.1790522572593
13.0,-475.4453550771754
14.0,-464.40774127971116
15.0,-453.9756309973277
16.0,-444.0763993232009
17.0,-434.65077267650065
18.0,-425.6496293504336
19.0,-417.03172478222774
20.0,-408.76203779978687
21.0,-400.81054251352305
22.0,-393.15127813676224
23.0,-385.7616317178295
24.0,-378.62177611408686
25.0,-371.7142233252737
26.0,-365.02346506590266
27.0,-358.5356803714593
28.0,-352.23849545540486
29.0,-346.12078481605334
30.0,-340.17250527767123
31.0,-334.3845565896817
32.0,-328.7486636317606
33.0,-323.25727633399606
34.0,-317.9034839033428
35.0,-312.680942549304
36.0,-307.5838112330264
37.0,-302.60669745054935
38.0,-297.74460981247995
39.0,-292.9929167246659
40.0,-288.347310261825
41.0,-283.8037744783355
42.0,-279.35855752428387
43.0,-275.0081470362266
44.0,-270.74924835548336
45.0,-266.578765195639
46.0,-262.4937824380732
47.0,-258.49155078193206
48.0,-254.5694730147565
49.0,-250.72509170337725
50.0,-246.9560781328023
51.0,-243.26022234456795
52.0,-239.63542414613838
53.0,-236.07968498003
54.0,-29.813744931129463
55.0,-870.1280335236399
56.0,-814.1529906516369
57.0,-768.7304855893633
58.0,-730.5534834488927
59.0,-697.5795533374746
60.0,-668.5104224346509
61.0,-642.4927212091475
62.0,-618.9442628143788
63.0,-597.4520113985495
64.0,-577.7113092872753
65.0,-559.489073448509
66.0,-542.6010718498144
67.0,-526.8975777468863
68.0,-512.2540835452105
69.0,-498.5651223235884
70.0,-485.7400348841938
71.0,-473.6999809243616
72.0,-462.37576451205325
73.0,-451.7062059994279
74.0,-441.63689032251943
75.0,-432.11918154151954
76.0,-423.1094307286951
77.0,-414.5683278608928
78.0,-406.46036352682967
79.0,-398.7533761949782
80.0,-391.418167432524
81.0,-384.42817200167394
82.0,-377.75917292121267
83.0,-371.38905383152945
84.0,-365.29758263629384
85.0,-359.4662216055439
86.0,-353.8779600397629
87.0,-348.5171662973607
88.0,-343.369456536631
89.0,-338.421577957753
90.0,-333.6613046789657
91.0,-329.0773446638756
92.0,-324.6592563487052
93.0,-320.3973738100384
94.0,-316.2827394734745
95.0,-312.3070434977949
96.0,-308.46256908260193
97.0,-304.7421430436745
98.0,-301.1390910824664
99.0,-297.64719712857584
100.0,-294.26066690761303
101.0,-290.9740941507897
102.0,-287.78243029043057
103.0,-284.68095675251124
104.0,-281.66525968637535
105.0,-278.7312068916438
106.0,-275.8749267284456
