kper,kstp,k,i,j,SPq
1,1,0,32,30,-54.96416663820207
1,1,0,33,30,-48.69367030178455
1,1,0,33,31,-1.6784875194593951
1,1,0,33,32,-10.438683794303188
1,1,0,33,33,-2.1086073922249398
1,1,0,34,30,-9.05349289766059
1,1,0,34,31,-13.19136435245332
1,1,0,34,33,-5.160263769093376
1,1,0,35,33,-9.079748355649713
1,1,0,36,32,-12.265976058041815
1,1,0,36,33,-14.298141490864737
1,1,0,37,32,-19.69802171731476
2,1,0,32,30,-647.9815730312376
2,1,0,33,30,-670.0489160727544
2,1,0,33,31,-680.8934701066784
2,1,0,33,32,-690.4311263873485
2,1,0,33,33,-696.1504596753601
2,1,0,34,30,-692.4153526594123
2,1,0,34,31,-694.1376759906494
2,1,0,34,33,-703.3083551564039
2,1,0,35,33,-708.7822565035337
2,1,0,36,32,-712.6023683075134
2,1,0,36,33,-714.4757307150426
2,1,0,37,32,-724.7519991968758
2,2,0,32,30,-586.5878018154492
2,2,0,33,30,-609.8860462590961
2,2,0,33,31,-623.9693603836225
2,2,0,33,32,-640.0038253890476
2,2,0,33,33,-648.2315941892531
2,2,0,34,30,-644.0277635957364
2,2,0,34,31,-645.301839921291
2,2,0,34,33,-656.2787258493921
2,2,0,35,33,-663.4297599851101
2,2,0,36,32,-668.4498972508562
2,2,0,36,33,-670.2064092497095
2,2,0,37,32,-686.7501271150595
2,3,0,32,30,-542.3360472104648
2,3,0,33,30,-560.1480993869604
2,3,0,33,31,-576.7029263052291
2,3,0,33,32,-599.0856150057948
2,3,0,33,33,-611.2571605986446
2,3,0,34,30,-605.0193730410434
2,3,0,34,31,-605.1379734835787
2,3,0,34,33,-618.4764986401756
2,3,0,35,33,-627.2860618056287
2,3,0,36,32,-633.8933516493094
2,3,0,36,33,-635.7198985037645
2,3,0,37,32,-658.4859269776458
2,4,0,32,30,-508.18129520336015
2,4,0,33,30,-519.1292878793687
2,4,0,33,31,-536.9320608094912
2,4,0,33,32,-564.7082284289498
2,4,0,33,33,-581.4369614475286
2,4,0,34,30,-572.5415095310408
2,4,0,34,31,-571.0117630804442
2,4,0,34,33,-587.0294214571337
2,4,0,35,33,-597.4051245121415
2,4,0,36,32,-605.8257034515917
2,4,0,36,33,-607.9450294579761
2,4,0,37,32,-636.3830706894197
2,5,0,32,30,-480.4083430764701
2,5,0,33,30,-485.06620489314037
2,5,0,33,31,-503.0700776143182
2,5,0,33,32,-535.0731712645376
2,5,0,33,33,-556.4027019038808
2,5,0,34,30,-544.8110607506136
2,5,0,34,31,-541.3426014355305
2,5,0,34,33,-560.1015525819944
2,5,0,35,33,-571.9221451282061
2,5,0,36,32,-582.267660402769
2,5,0,36,33,-584.8659376582176
2,5,0,37,32,-618.3202284811025
2,6,0,32,30,-456.96435074060975
2,6,0,33,30,-456.4535842966366
2,6,0,33,31,-473.91957744053565
2,6,0,33,32,-509.04173102425705
2,6,0,33,33,-534.6639220097063
2,6,0,34,30,-520.6627553579613
2,6,0,34,31,-515.1350036675598
2,6,0,34,33,-536.4928022689991
2,6,0,35,33,-549.6321279548558
2,6,0,36,32,-561.941447573314
2,6,0,36,33,-565.1376282573423
2,6,0,37,32,-603.000796964559
2,7,0,32,30,-436.6487412339825
2,7,0,33,30,-432.09889446587727
2,7,0,33,31,-448.5631444879334
2,7,0,33,32,-485.8560408128121
2,7,0,33,33,-515.2732197582171
2,7,0,34,30,-499.30491929655216
2,7,0,34,31,-491.7244470976384
2,7,0,34,33,-515.400625904097
2,7,0,35,33,-529.7383470799616
2,7,0,36,32,-544.0070699409613
2,7,0,36,33,-547.849785371243
2,7,0,37,32,-589.6078489402163
2,8,0,32,30,-418.71360652777605
2,8,0,33,30,-411.0876236258605
2,8,0,33,31,-426.29111406147075
2,8,0,33,32,-464.98542687945485
2,8,0,33,33,-497.62038872971254
2,8,0,34,30,-480.18049394358087
2,8,0,34,31,-470.63959871361726
2,8,0,34,33,-496.2756027824499
2,8,0,35,33,-511.700958645722
2,8,0,36,32,-527.8999351974163
2,8,0,36,33,-532.3782119125475
2,8,0,37,32,-577.6110380526119
2,9,0,32,30,-402.6625472721605
2,9,0,33,30,-392.727195022043
2,9,0,33,31,-406.55025947321167
2,9,0,33,32,-446.0405452811126
2,9,0,33,33,-481.30575206565726
2,9,0,34,30,-462.8848239477604
2,9,0,34,31,-451.5271184954905
2,9,0,34,33,-478.732417308584
2,9,0,35,33,-495.1448074138687
2,9,0,36,32,-513.2308499264577
2,9,0,36,33,-518.2895733971046
2,9,0,37,32,-566.6560019692313
2,10,0,32,30,-388.14660853675684
2,10,0,33,30,-376.4939133032639
2,10,0,33,31,-388.9060452793595
2,10,0,33,32,-428.7242994227193
2,10,0,33,33,-466.06206875980325
2,10,0,34,30,-447.1153256536073
2,10,0,34,31,-434.10994010649705
2,10,0,34,33,-462.4941049054092
2,10,0,35,33,-479.8024588699767
2,10,0,36,32,-499.72414228600474
2,10,0,36,33,-505.2793425430063
2,10,0,37,32,-556.4994630345558
2,11,0,32,30,-374.9084934594589
2,11,0,33,30,-361.98982639898884
2,11,0,33,31,-373.0144711696108
2,11,0,33,32,-412.8028775609178
2,11,0,33,33,-451.70621629908527
2,11,0,34,30,-432.6397341879277
2,11,0,34,31,-418.16345986058917
2,11,0,34,33,-447.3565883666811
2,11,0,35,33,-465.47840888733737
2,11,0,36,32,-487.1790522572593
2,11,0,36,33,-493.1308289757111
2,11,0,37,32,-546.9701821966567
2,12,0,32,30,-362.7512999571147
2,12,0,33,30,-348.90986278324823
2,12,0,33,31,-358.600966715566
2,12,0,33,32,-398.0879576449573
2,12,0,33,33,-438.10914254392407
