kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-7894.418,5836.864,-380.97296,-200.6306,3.03,0.03,2642.1875,0.0,3.0302734,-8476.021,8479.051
2,-5691.991,-2835.9583,-224.932,-134.3644,-1.9395e-06,-0.0,2642.1875,6245.0586,0.0,-6051.2876,-193.77075
3,-7085.5576,4446.1387,-3.4015,0.0,-0.6324,-0.01,2642.1875,0.0,-0.6323242,-7088.959,7088.326
4,-5789.028,-2773.135,-25.4603,0.0,-2.478e-08,-0.0,2642.1875,5945.4355,0.0,-5814.4883,-130.94751
