kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,sto-sy,total,sw,inflow
1,-7894.418,5836.864,-380.97296,-200.6306,3.03,0.03,2642.1875,0.0,0.0,3.0302734,-8476.021,8479.051
2,-1793.0077,-1044.9974,-25.0173,-15.5924,-3.2817,-0.11,0.0,1.7482,2873.5847,-3.2817383,-1833.6174,-1044.9974
3,-7085.3154,4446.3945,-3.4031,0.0,-0.1364,-0.0,2642.1875,0.0,0.0,-0.13671875,-7088.7188,7088.582
4,-1577.3868,-1030.3353,-8.4264,0.0,-1.4851,-0.06,0.0,1.673,2612.9905,-1.4851074,-1585.8132,-1030.3353
