kper,kstp,k,i,j,AWq
1,1,0,2,46,-27.34626362569054
1,1,0,3,46,-1.0512569360221278
1,1,0,4,46,9.725645318822444
1,1,0,5,45,-80.09077741144552
1,1,0,6,45,-75.46001748718311
1,1,0,7,44,-78.32811281010095
1,1,0,8,43,-73.62100716645989
1,1,0,8,54,-2.440182287542484
1,1,0,9,43,-65.50310349089852
1,1,0,9,52,-2.5403405250432343
1,1,0,9,53,3.1651851369210817
1,1,0,10,42,-66.60804757772712
1,1,0,10,50,3.635025603901113
1,1,0,10,51,9.70102677989837
1,1,0,11,42,-53.58352751076495
1,1,0,11,48,7.966289844840844
1,1,0,11,49,-1.1970476682213302
1,1,0,12,9,-114.18782535778416
1,1,0,12,42,-46.81394475532977
1,1,0,12,46,60.01584080358168
1,1,0,12,47,-7.22780777692526
1,1,0,13,10,-129.11902222084825
1,1,0,13,42,-34.78277234218615
1,1,0,13,44,25.539124580357566
1,1,0,13,45,14.955676553080934
1,1,0,13,52,-140.21752009767806
1,1,0,13,53,-134.8952825602246
1,1,0,13,54,-131.7292084908189
1,1,0,13,55,-130.9934017605658
1,1,0,14,10,-139.51088375858535
1,1,0,14,11,-142.81813480545907
1,1,0,14,41,-39.7100568188024
1,1,0,14,42,-17.609452298883184
1,1,0,14,43,50.32615518666444
1,1,0,14,50,-133.68616217238184
1,1,0,14,51,-131.91236086110655
1,1,0,15,12,-153.4734808225212
1,1,0,15,13,-163.26938788225732
1,1,0,15,41,-18.252069908837825
1,1,0,15,48,-129.49747255495993
1,1,0,15,49,-131.62278426100374
1,1,0,16,14,52.13576190723302
1,1,0,16,15,-157.57444002930094
1,1,0,16,16,-156.26333194464792
1,1,0,16,17,-155.0455215443891
1,1,0,16,41,-12.357822009324309
1,1,0,16,46,-125.5710022655893
1,1,0,16,47,-123.88919418827095
1,1,0,17,18,-153.4937546538597
1,1,0,17,41,-22.77489486629611
1,1,0,17,42,-123.2739681558196
1,1,0,17,43,-114.99024562098236
1,1,0,17,44,-114.2074514585197
1,1,0,17,45,-117.41105215145274
1,1,0,18,19,-135.45805884127356
1,1,0,18,20,-147.75447023035542
1,1,0,18,40,158.14569891617361
1,1,0,18,42,-114.8359636992891
1,1,0,19,21,-148.75610219502084
1,1,0,19,40,151.2937079397907
1,1,0,19,41,-123.95328299211053
1,1,0,20,22,-143.171887127726
1,1,0,20,39,61.57211446760357
1,1,0,20,41,-88.94412136625874
1,1,0,21,23,-140.7607986190693
1,1,0,21,36,-103.25559086371595
1,1,0,21,37,-92.52653028884208
1,1,0,21,38,-82.5291966643191
