,,,,,,,,,,,,,,,,,,,,,,,,,8.997161262537661,17.261590584482374,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9.065261338887318,20.029312257352558,41.305832458706064,68.37680548542195,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9.079768717101931,9.054023471747408,21.7838768437625,33.69470557823289,54.14911395732278,73.88347932303758,85.06766738757426,84.38479206756638,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,9.003983550890673,29.76441927221326,33.86001721153264,40.80373653024189,47.675364954298935,57.3770236126496,74.68148657324826,81.13867037032676,72.70410704689444,62.77534170671282,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,9.156654921886513,81.83885784242442,72.967702541079,53.08342221781039,60.35182031657168,70.54336567924263,78.55010041488974,79.14079363314487,63.72863675986424,49.069097860109345,11.627034531066942,10.342071492605958,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.856237439050958,116.75795946666278,145.90952034584652,130.71807003075943,73.45246931116289,80.77647772237897,95.30214424044038,107.32449508574332,100.44966313312942,72.40941438915199,53.38081813840284,35.26280410849796,10.712939101663569,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.824640426096193,224.5533343772066,213.06094593678924,168.4419936960596,103.71901906086774,109.10272187991649,125.91807648224338,139.52796310040793,134.44004938558032,104.05262218327836,72.1821747063252,58.790469385282265,31.114609704378076,10.525531680149458,,,,,,
,,,,,,,,,,,,,,,,,,,,8.695900428909441,245.42359791622286,258.6256767669393,186.12306883107084,136.786206449921,123.77090771422604,146.6050300361513,169.3150865991451,161.67532856101704,129.80642296011416,95.66233868045828,78.5052044736178,44.14442850706412,10.61773816453868,,,,,,
,,,,,,,,,,,,,,,,,,,8.199801703976037,130.71965160643921,228.1443872639207,214.69325192295588,181.35821561948424,162.69737015258892,137.33904915675052,155.6439506577014,179.7857289729926,171.45519190007437,145.41338469079741,110.74316111348854,83.59148681141912,50.899009012731675,10.506446962386146,,,,,,
,,,,,,,,,,,,,,,,,,,8.243097936322773,95.65633032750638,160.95376010691254,160.22151904130126,132.4411706703117,109.9077499746891,109.5893337450875,151.459302767866,181.98692969745048,165.17242964863394,139.51593086146698,114.7988032911081,90.6995227655334,54.377179047600585,10.539696695359984,,,,,,
,,,,,,,,,,,,,,,,,,8.097707388484059,22.686784219880455,54.90142346952607,74.64179941554049,74.534898563902,74.98350511964803,63.73678894154264,79.38838656945207,130.8030049695802,169.76505712232873,174.24456356576556,146.60235200350303,116.77647617517162,96.03652161612746,62.00926780163598,32.83259200226527,10.418785264659645,,,,,
,,,,,,,,,,,,,,,,,,7.878856029043814,20.762228269794416,38.8637345278054,49.72814529946161,49.20363068663423,43.40059701593649,40.13009607869741,43.05511281506274,79.89526320855977,114.68230742493719,138.50491603693052,140.57770312579885,121.15021924269041,96.4447651939844,64.60083111778577,44.293640877646126,10.318967574456199,,,,,
,,,,,,,,,,,,,,,,9.40126264615091,8.660678393686847,8.47986691185915,19.38105823236699,26.997311694170392,30.956683820947713,31.686294398621857,21.610977491469722,8.52078820687511,8.606507389033105,27.294055799577315,33.805724888752884,88.97719022039115,111.40544691610579,128.27230023852903,114.76170295331647,85.14655367965386,55.21879478653052,10.074729590167522,,,,,
,,,,,,,,,,,,,,11.838927444333944,11.574772138573909,25.955178397831688,26.74418006321111,22.66701781073323,9.172097093177243,18.065619501557535,17.992745997697916,16.124100980681522,8.739540018064316,17.506572275452598,21.715609506137966,8.942315048967583,21.855963026833418,43.55880251989879,73.90547266717486,156.85067666009581,165.37126829761647,146.934323730318,69.76795214198091,9.73264468750382,,,,,
,,,,,,,,,,,,12.57003076163102,12.415588570191325,31.385996745161645,41.96366186269213,43.47353776942648,38.13572076629325,29.32665803077811,10.676144981699851,10.366817308188688,9.725210281178688,9.2939098603643,17.39313639157751,21.086038643857187,26.741675569063165,8.967915368565345,17.44583845504034,30.98260316341707,50.84876668231716,89.27701983244094,121.233898022007,146.313236266055,79.22903858054956,10.067967109909434,,,,,
,,,,,,,,,21.141558893876645,18.32157456743815,13.905959111159248,37.7032826573645,46.23371965594527,57.25594645061913,68.06456159907486,57.20756614323103,45.69465271584418,38.56775392231043,33.65131289887477,34.147763710568306,27.83679852829641,22.8682505475377,24.08856049081646,24.007127546036482,26.650726594894888,14.968122445293858,9.146187620859099,21.419548845593255,37.58086988392321,54.630629644927026,78.97623584359448,111.38573814846646,57.668799585291865,23.357328221097948,9.866675913850438,,,,
