kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-7496.009,7638.263,-471.2558,-1641.0883,-14.8711,-0.12,1955.2188,0.0,-14.871094,-9608.353,9593.482
2,-8899.835,4284.153,-311.58173,-2091.711,-2.1182,-0.02,1691.0,5325.8574,-2.118164,-11303.128,5975.153
3,-7083.356,5666.121,-0.7203,-526.7386,10.525,0.14,1955.2188,0.0,10.524902,-7610.815,7621.34
4,-9051.945,4400.8267,-2.8963,-695.5598,-1.2646,-0.01,1691.0,3657.3098,-1.2646484,-9750.401,6091.8267
