time,flux
1.0,-68.31411225360819
2.0,-806.274130128628
3.0,-788.2698507255151
4.0,-771.6360403893935
5.0,-756.2209780990137
6.0,-741.8940693293372
7.0,-728.5277100856894
8.0,-716.0083776185559
9.0,-704.2372767675977
10.0,-693.129066936675
11.0,-682.6095517652631
12.0,-672.6139501430841
13.0,-663.0855108448854
14.0,-653.9744283999682
15.0,-645.236981762774
16.0,-636.8345484708456
17.0,-628.7334015135875
18.0,-620.9038353251395
19.0,-613.3197012126086
20.0,-605.957987679944
21.0,-598.7984458859539
22.0,-591.8232571548508
23.0,-585.0167387237499
24.0,-578.3650838827792
25.0,-571.8561328518473
26.0,-565.4791710090266
27.0,-559.2247513833405
28.0,-553.0845386227923
29.0,-547.051171933873
30.0,-541.1181447554414
31.0,-535.2796991752967
32.0,-529.5307333213553
33.0,-523.8667201614729
34.0,-518.283636327673
35.0,-512.7778997431399
36.0,-507.34631497526453
37.0,-501.98602536682483
38.0,-496.69447111157217
39.0,-491.46935254146615
40.0,-486.3085979819844
41.0,-481.2103356105462
42.0,-476.172868822336
43.0,-471.1946546687227
44.0,-466.27428498701266
45.0,-461.4104698873065
46.0,-456.6020233035278
47.0,-451.8478503519244
48.0,-447.14693627211057
49.0,-442.4983367536246
50.0,-437.9011694753659
51.0,-433.35460670672904
52.0,-428.85786883800245
53.0,-424.4102187240418
54.0,-64.93380570464615
55.0,-954.9299396040115
56.0,-938.946886761171
57.0,-924.1857872296231
58.0,-909.6104695658909
59.0,-894.9504143394952
60.0,-880.1587180869616
61.0,-865.2647310153924
62.0,-850.322552806449
63.0,-835.3907488222704
64.0,-820.5242196535455
65.0,-805.7711221490646
66.0,-791.1721124631183
67.0,-776.760572983044
68.0,-762.5632548431616
69.0,-748.6010596264791
70.0,-734.8898313113937
71.0,-721.4411002560439
72.0,-708.2627557076443
73.0,-695.3596403730942
74.0,-682.7340688115889
75.0,-670.3862751587894
76.0,-658.314797160532
77.0,-646.5168038076952
78.0,-634.9883736028572
79.0,-623.7247299531184
80.0,-612.720439529447
81.0,-601.9695787501558
82.0,-591.4658728896933
83.0,-581.2028117181031
84.0,-571.173745055904
85.0,-561.3719611818658
86.0,-551.7907506449386
87.0,-542.4234576933225
88.0,-533.2635212334917
89.0,-524.3045069621264
90.0,-515.5402734400266
91.0,-506.96451464372296
92.0,-498.57133680088356
93.0,-490.3550197743967
94.0,-482.3100318121544
95.0,-474.43103751455106
96.0,-466.7129010004961
97.0,-459.15068594220133
98.0,-451.7396534394108
99.0,-444.4752583546718
100.0,-437.3531445367747
101.0,-430.36913924280384
102.0,-423.51924699386274
103.0,-416.7996430474583
104.0,-410.20666663125996
105.0,-403.7368140535504
106.0,-397.3867317824612
