kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-7988.1895,7903.7627,-1552.3716,-1016.4576,-11.0691,-0.08,2642.1875,0.0,-11.069336,-10557.019,10545.95
2,-56644.254,-6991.0576,-10520.364,-5140.304,0.019404,0.0,2642.1875,76653.81,0.0234375,-72304.92,-4348.87
3,-8558.333,5926.796,-1.534,0.0,9.1161,0.11,2642.1875,0.0,9.116211,-8559.867,8568.983
4,-92082.27,-5917.1987,-45.8709,0.0,0.4051,0.0,2642.1875,95403.56,0.40625,-92128.14,-3275.0112
