kper,kstp,time,k,i,j,SPq,weight,std
2,8,9.0,0,33,33,-3.0,0.0,1.8
2,8,9.0,0,34,30,-3.0,0.0,1.8
2,8,9.0,0,34,31,-3.0,0.0,1.8
2,8,9.0,0,34,33,-3.0,0.0,1.8
2,8,9.0,0,35,33,-3.0,0.0,1.8
2,8,9.0,0,36,32,-3.0,0.0,1.8
2,8,9.0,0,36,33,-3.0,0.0,1.8
2,8,9.0,0,37,32,-3.0,0.0,1.8
2,9,10.0,0,32,30,-3.0,0.0,1.8
2,9,10.0,0,33,30,-3.0,0.0,1.8
2,9,10.0,0,33,31,-3.0,0.0,1.8
2,9,10.0,0,33,32,-3.0,0.0,1.8
2,9,10.0,0,33,33,-3.0,0.0,1.8
2,9,10.0,0,34,30,-3.0,0.0,1.8
2,9,10.0,0,34,31,-3.0,0.0,1.8
2,9,10.0,0,34,33,-3.0,0.0,1.8
2,9,10.0,0,35,33,-3.0,0.0,1.8
2,9,10.0,0,36,32,-3.0,0.0,1.8
2,9,10.0,0,36,33,-3.0,0.0,1.8
2,9,10.0,0,37,32,-3.0,0.0,1.8
2,10,11.0,0,32,30,-3.0,0.0,1.8
2,10,11.0,0,33,30,-3.0,0.0,1.8
2,10,11.0,0,33,31,-3.0,0.0,1.8
2,10,11.0,0,33,32,-3.0,0.0,1.8
2,10,11.0,0,33,33,-3.0,0.0,1.8
2,10,11.0,0,34,30,-3.0,0.0,1.8
2,10,11.0,0,34,31,-3.0,0.0,1.8
2,10,11.0,0,34,33,-3.0,0.0,1.8
2,10,11.0,0,35,33,-3.0,0.0,1.8
2,10,11.0,0,36,32,-3.0,0.0,1.8
2,10,11.0,0,36,33,-3.0,0.0,1.8
2,10,11.0,0,37,32,-3.0,0.0,1.8
2,11,12.0,0,32,30,-3.0,0.0,1.8
2,11,12.0,0,33,30,-3.0,0.0,1.8
2,11,12.0,0,33,31,-3.0,0.0,1.8
2,11,12.0,0,33,32,-3.0,0.0,1.8
2,11,12.0,0,33,33,-3.0,0.0,1.8
2,11,12.0,0,34,30,-3.0,0.0,1.8
2,11,12.0,0,34,31,-3.0,0.0,1.8
2,11,12.0,0,34,33,-3.0,0.0,1.8
2,11,12.0,0,35,33,-3.0,0.0,1.8
2,11,12.0,0,36,32,-3.0,0.0,1.8
2,11,12.0,0,36,33,-3.0,0.0,1.8
2,11,12.0,0,37,32,-3.0,0.0,1.8
2,12,13.0,0,32,30,-3.0,0.0,1.8
2,12,13.0,0,33,30,-3.0,0.0,1.8
2,12,13.0,0,33,31,-3.0,0.0,1.8
2,12,13.0,0,33,32,-3.0,0.0,1.8
2,12,13.0,0,33,33,-3.0,0.0,1.8
2,12,13.0,0,34,30,-3.0,0.0,1.8
2,12,13.0,0,34,31,-3.0,0.0,1.8
2,12,13.0,0,34,33,-3.0,0.0,1.8
2,12,13.0,0,35,33,-3.0,0.0,1.8
2,12,13.0,0,36,32,-3.0,0.0,1.8
2,12,13.0,0,36,33,-3.0,0.0,1.8
2,12,13.0,0,37,32,-3.0,0.0,1.8
2,13,14.0,0,32,30,-3.0,0.0,1.8
2,13,14.0,0,33,30,-3.0,0.0,1.8
2,13,14.0,0,33,31,-3.0,0.0,1.8
2,13,14.0,0,33,32,-3.0,0.0,1.8
2,13,14.0,0,33,33,-3.0,0.0,1.8
2,13,14.0,0,34,30,-3.0,0.0,1.8
2,13,14.0,0,34,31,-3.0,0.0,1.8
2,13,14.0,0,34,33,-3.0,0.0,1.8
2,13,14.0,0,35,33,-3.0,0.0,1.8
2,13,14.0,0,36,32,-3.0,0.0,1.8
2,13,14.0,0,36,33,-3.0,0.0,1.8
2,13,14.0,0,37,32,-3.0,0.0,1.8
2,14,15.0,0,32,30,-3.0,0.0,1.8
2,14,15.0,0,33,30,-3.0,0.0,1.8
2,14,15.0,0,33,31,-3.0,0.0,1.8
2,14,15.0,0,33,32,-3.0,0.0,1.8
2,14,15.0,0,33,33,-3.0,0.0,1.8
2,14,15.0,0,34,30,-3.0,0.0,1.8
2,14,15.0,0,34,31,-3.0,0.0,1.8
2,14,15.0,0,34,33,-3.0,0.0,1.8
2,14,15.0,0,35,33,-3.0,0.0,1.8
2,14,15.0,0,36,32,-3.0,0.0,1.8
2,14,15.0,0,36,33,-3.0,0.0,1.8
2,14,15.0,0,37,32,-3.0,0.0,1.8
2,15,16.0,0,32,30,-3.0,0.0,1.8
2,15,16.0,0,33,30,-3.0,0.0,1.8
2,15,16.0,0,33,31,-3.0,0.0,1.8
2,15,16.0,0,33,32,-3.0,0.0,1.8
2,15,16.0,0,33,33,-3.0,0.0,1.8
2,15,16.0,0,34,30,-3.0,0.0,1.8
2,15,16.0,0,34,31,-3.0,0.0,1.8
2,15,16.0,0,34,33,-3.0,0.0,1.8
2,15,16.0,0,35,33,-3.0,0.0,1.8
2,15,16.0,0,36,32,-3.0,0.0,1.8
2,15,16.0,0,36,33,-3.0,0.0,1.8
2,15,16.0,0,37,32,-3.0,0.0,1.8
2,16,17.0,0,32,30,-3.0,0.0,1.8
2,16,17.0,0,33,30,-3.0,0.0,1.8
2,16,17.0,0,33,31,-3.0,0.0,1.8
2,16,17.0,0,33,32,-3.0,0.0,1.8
2,16,17.0,0,33,33,-3.0,0.0,1.8
2,16,17.0,0,34,30,-3.0,0.0,1.8
2,16,17.0,0,34,31,-3.0,0.0,1.8
2,16,17.0,0,34,33,-3.0,0.0,1.8
2,16,17.0,0,35,33,-3.0,0.0,1.8
2,16,17.0,0,36,32,-3.0,0.0,1.8
2,16,17.0,0,36,33,-3.0,0.0,1.8
2,16,17.0,0,37,32,-3.0,0.0,1.8
2,17,18.0,0,32,30,-3.0,0.0,1.8
2,17,18.0,0,33,30,-3.0,0.0,1.8
2,17,18.0,0,33,31,-3.0,0.0,1.8
2,17,18.0,0,33,32,-3.0,0.0,1.8
2,17,18.0,0,33,33,-3.0,0.0,1.8
2,17,18.0,0,34,30,-3.0,0.0,1.8
2,17,18.0,0,34,31,-3.0,0.0,1.8
2,17,18.0,0,34,33,-3.0,0.0,1.8
2,17,18.0,0,35,33,-3.0,0.0,1.8
2,17,18.0,0,36,32,-3.0,0.0,1.8
2,17,18.0,0,36,33,-3.0,0.0,1.8
2,17,18.0,0,37,32,-3.0,0.0,1.8
2,18,19.0,0,32,30,-3.0,0.0,1.8
2,18,19.0,0,33,30,-3.0,0.0,1.8
2,18,19.0,0,33,31,-3.0,0.0,1.8
2,18,19.0,0,33,32,-3.0,0.0,1.8
2,18,19.0,0,33,33,-3.0,0.0,1.8
2,18,19.0,0,34,30,-3.0,0.0,1.8
2,18,19.0,0,34,31,-3.0,0.0,1.8
2,18,19.0,0,34,33,-3.0,0.0,1.8
2,18,19.0,0,35,33,-3.0,0.0,1.8
2,18,19.0,0,36,32,-3.0,0.0,1.8
2,18,19.0,0,36,33,-3.0,0.0,1.8
2,18,19.0,0,37,32,-3.0,0.0,1.8
2,19,20.0,0,32,30,-3.0,0.0,1.8
2,19,20.0,0,33,30,-3.0,0.0,1.8
2,19,20.0,0,33,31,-3.0,0.0,1.8
2,19,20.0,0,33,32,-3.0,0.0,1.8
2,19,20.0,0,33,33,-3.0,0.0,1.8
2,19,20.0,0,34,30,-3.0,0.0,1.8
2,19,20.0,0,34,31,-3.0,0.0,1.8
2,19,20.0,0,34,33,-3.0,0.0,1.8
2,19,20.0,0,35,33,-3.0,0.0,1.8
