Unnamed: 0,time,kper,kstp,time.1,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
0,1.0,1,1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1706.9620683599996,-17.036689151649615,0.0,-19736.74103959636,0.0,-21488.70310795636
0,2.0,2,1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1706.9620683599996,-92.58197011147702,0.0,-19736.74103959636,0.0,-21488.70310795636
0,3.0,2,2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1668.9485663549997,-90.87495916376257,0.0,-19375.859599604995,0.0,-21089.808165959996
0,4.0,2,3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1646.1404651519997,-89.23499616887456,0.0,-19005.408215180305,0.0,-20696.548680332304
0,5.0,2,4,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1600.3797312599997,-87.6574591969114,0.0,-18404.114875148567,0.0,-20049.49460640857
0,6.0,2,5,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1554.9056492399998,-86.13812407390355,0.0,-17795.190010608,0.0,-19395.095659848
0,7.0,2,6,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1522.585092312,-84.67312775256507,0.0,-17238.6787585455,0.0,-18806.2638508575
0,8.0,2,7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1503.1944931319997,-83.25893514143429,0.0,-16700.692842616234,0.0,-18248.887335748233
0,9.0,2,8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1392.0641886239998,-81.89230906160061,0.0,-16388.426692115998,0.0,-17825.49088074
0,10.0,2,9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1253.4668562599998,-80.57028303213507,0.0,-16256.353179306312,0.0,-17554.820035566314
0,11.0,2,10,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2,2,7,45,3,-1117.455370272,-79.29013661416239,0.0,-16000.344097227,0.0,-17162.799467499
