time,pk4,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff,std,weight
1,7.745205599684294,-0.5252055996842939,-0.08520559968429353,-0.15520559968429382,0.01,100.0
2,7.741696429297553,-0.5216964292975534,-0.08169642929755305,-0.15169642929755334,0.01,100.0
3,7.737233066529859,-0.5225967028934955,-0.07864973319652258,-0.1472330665298589,0.01,100.0
4,7.732566141857406,-0.5230836243748893,-0.07523280852406877,-0.14256614185740624,0.01,100.0
5,7.727400217184951,-0.5230495678343026,-0.07226688385161584,-0.13740021718495132,0.01,100.0
6,7.722165086798211,-0.526262056495181,-0.06843175346487573,-0.13354597479821084,0.01,100.0
7,7.71673699641147,-0.529538132775107,-0.06440366307813505,-0.12935473241147122,0.01,100.0
8,7.711163376500919,-0.5318799540410266,-0.059830043167586666,-0.12613399250092083,0.01,100.0
9,7.705073859447514,-0.5333819402555955,-0.05434052611417872,-0.12121516344751448,0.01,100.0
10,7.698701572870298,-0.5327494197602505,-0.05156823953696499,-0.1159650928702991,0.01,100.0
11,7.6923641701026035,-0.5300778064662408,-0.0498308367692708,-0.1106471541026055,0.01,100.0
12,7.685874453049197,-0.5289999941747388,-0.047941119715864566,-0.10663748504919734,0.01,100.0
13,7.678638777900552,-0.5308595571213317,-0.045105444567216324,-0.10096132190055229,0.01,100.0
14,7.6706611294185745,-0.5299295276869742,-0.04172779608523847,-0.0958772334185749,0.01,100.0
15,7.662552509508024,-0.5272018601573762,-0.03541917617468737,-0.09042922150802468,0.01,100.0
16,7.653910078168901,-0.524559428818252,-0.02757674483556638,-0.0839006301689027,0.01,100.0
17,7.645113593496448,-0.5267153250981806,-0.019180260163111917,-0.07797938549644812,0.01,100.0
18,7.635770878347803,-0.5277059432828679,-0.01023754501447005,-0.07127158234780406,0.01,100.0
19,7.625550694627729,-0.5268190928961278,-0.00021736129439542395,-0.06274066262772937,0.01,100.0
20,7.615219981383846,-0.5263931415570076,0.00991335194948828,-0.05375837338384759,0.01,100.0
21,7.604772782425677,-0.525231656884551,0.020160550907657893,-0.04457227042567702,0.01,100.0
22,7.594312236800841,-0.5241044445930498,0.030221096532491387,-0.034714828800840536,0.01,100.0
23,7.584147129271245,-0.5206060037301201,0.04018620406209106,-0.027005497271246348,0.01,100.0
24,7.573688856027362,-0.5166239209624273,0.050244477305975366,-0.01923847202736173,0.01,100.0
25,7.5633244875453824,-0.5121643143852106,0.06040884578795147,-0.013287895545382788,0.01,100.0
26,7.553449789539594,-0.5075753306651363,0.07008354379374016,-0.009216837539594458,0.01,100.0
27,7.54326013343857,-0.5020523412307787,0.08007319989476169,-0.006689141438569912,0.01,100.0
28,7.532994159242303,-0.49645303370117855,0.08993917409102892,-0.0045586632423040285,0.01,100.0
29,7.5225985355222305,-0.49015264807634473,0.0999347978111027,-0.004768711522230795,0.01,100.0
30,7.512265555611681,-0.48439109673722314,0.10986777772165279,-0.005386443611682168,0.01,100.0
31,7.50154974522494,-0.47934195301714944,0.1201835881083948,-0.003401905224939661,0.01,100.0
32,7.490989466266771,-0.47540072167802716,0.13054386706656373,-0.0013951382667700685,0.01,100.0
33,7.480210067308602,-0.46843084652938227,0.14112326602473413,-0.0009557633086032524,0.01,100.0
34,7.469746910255194,-0.4623010228093065,0.1513864230781392,8.652974480671816e-05,0.0,0.0
35,7.459982541773217,-0.4585366543273315,0.1611507915601198,0.0026418422267830977,0.0,0.0
36,7.450562769481714,-0.4552121201310655,0.1703705638516233,0.001998742518285468,0.0,0.0
37,7.441697795285451,-0.4521566697443262,0.17903553804788608,4.6236714547731594e-05,0.0,0.0
38,7.433326853470139,-0.4491190612623477,0.18700647986319563,0.00028506652985971215,0.0,0.0
39,7.426032658321493,-0.44611058039941653,0.19390067501184305,0.00029618167850564703,0.0,0.0
40,7.419571590791897,-0.44355427477458065,0.19996174254143995,-0.0028246867918975127,0.0,0.0
41,7.413180534690871,-0.43963940914974664,0.2059527986424632,-0.00229867069087053,0.0,0.0
42,7.4072084538279395,-0.43571494733443306,0.21172487950539853,-0.0021240698279401116,0.0,0.0
43,7.401412030107865,-0.4325375712334072,0.21732130322546972,-0.0011543901078665542,0.0,0.0
44,7.396190130197316,-0.4302680522752391,0.22234320313602307,-0.0010000981973172784,0.0,0.0
45,7.392436919810574,-0.42920055617421227,0.22569641352275838,-0.00011477581057572905,0.0,0.0
46,7.389668812280978,-0.429611396013037,0.22826452105235884,-0.002920180280979068,0.0,0.0
47,7.387858919989474,-0.43150033413088984,0.2296744133438633,-0.004958407989474445,0.0,0.0
48,7.387515833412259,-0.43252652859942664,0.2298174999210758,-0.005447641412259507,0.0,0.0
49,7.387445114454091,-0.4326837508177288,0.2298882188792435,-0.005758554454092568,0.0,0.0
50,7.3875192088292545,-0.43354951185955937,0.22981412450408012,-0.008397712829254722,0.0,0.0
51,7.387986379394895,-0.4334928729013896,0.2291469539384403,-0.01092544339489443,0.0,0.0
52,7.388308597579583,-0.43297992625091286,0.22862473575375208,-0.013765957579582988,0.0,0.0
53,7.388324242430938,-0.43285454546124313,0.22850909090239746,-0.01686044243093754,0.0,0.0
