kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-882.3559,-1520.6721,-143.3205,-95.8389,-1.1478e-09,-0.0,2642.1875,0.0,0.0,-1121.5153,1121.5154
2,-324.0168,-2206.5027,-121.4132,-85.8602,-8.3464e-09,-0.0,2642.1875,95.6053,0.0,-531.2902,435.6848
3,-1980.635,-575.2301,-86.3224,0.0,-7.3151e-09,-0.0,2642.1875,0.0,0.0,-2066.9575,2066.9575
4,-721.66,-1916.2487,-86.8859,0.0,-8.5215e-09,-0.0,2642.1875,82.6071,0.0,-808.5459,725.93884
