oname,usecol,n_obs,rmse,nrmse_pct,mae,r2,min_truth,max_truth,min_sim,max_sim
arr-awq,awq,155,6.210572730240128,0.0,6.202874057795567,-inf,-6.9,-6.9,-1.583549833503639,-0.154752916328988
arr-spq,spq,1113,1.3638788597741232,43.69103705815459,0.9089373197994647,-0.638706030719771,-3.0693985429253026,0.0522459672719344,-0.3531608077710668,1.8108804793009961e-07
budget,recharge,4,69.22318077878607,335.22121442511406,67.77772499999999,-43.949305040259325,129.73,150.38,67.1652,80.8557
recession,pk4,1,0.0043363739993794,0.43363739993794,0.0043363739993794,0.0,-0.0067956189782041,-0.0067956189782041,-0.0024592449788247,-0.0024592449788247
ts-heads,pk4,33,0.0803486745920024,30.320765739586037,0.06602589397713288,0.03731611305200566,7.480210067308602,7.745205599684294,7.640504650772854,7.677413267472962
ts-heads,pk4-aw-diff,33,0.08306601140094125,127.89008873520642,0.06772788948319218,-20.516912881726448,-0.5333819402555955,-0.4684308465293822,-0.6330587607728554,-0.4471053571680876
ts-heads,pk4-pw-diff,33,0.08022211762647763,35.44493424431889,0.06532084428016341,-0.3114815675650935,-0.0852055996842935,0.1411232660247341,-0.0444670770909709,-0.0071053571680872
ts-heads,pk4-spr-diff,33,0.08465600991090562,54.8823985165972,0.06874511718925407,-1.5043336918844497,-0.1552055996842938,-0.0009557633086032,-0.1706712107728547,-0.0771053571680875
