,time,kper,kstp,sample,flux,package
0,1.0,1,1,spring,-30.405034191848472,GHB_SP
1,2.0,2,1,spring,-30.386994669037676,GHB_SP
2,3.0,2,2,spring,-30.366766147053795,GHB_SP
3,4.0,2,3,spring,-30.343880876501203,GHB_SP
4,5.0,2,4,spring,-30.45016575132331,GHB_SP
5,6.0,2,5,spring,-30.535390838744547,GHB_SP
6,7.0,2,6,spring,-30.721256751531882,GHB_SP
7,8.0,2,7,spring,-30.784890228941663,GHB_SP
8,9.0,2,8,spring,-30.838673969047363,GHB_SP
9,10.0,2,9,spring,-30.877099793880006,GHB_SP
10,11.0,2,10,spring,-31.049926677925328,GHB_SP
11,12.0,2,11,spring,-31.124526871673993,GHB_SP
12,13.0,2,12,spring,-31.319792477142073,GHB_SP
13,14.0,2,13,spring,-31.48228590659494,GHB_SP
14,15.0,2,14,spring,-31.583927951676287,GHB_SP
15,16.0,2,15,spring,-31.75209354540084,GHB_SP
16,17.0,2,16,spring,-31.88883810120069,GHB_SP
17,18.0,2,17,spring,-31.92778868758444,GHB_SP
18,19.0,2,18,spring,-31.929564922269265,GHB_SP
19,20.0,2,19,spring,-31.919001019995335,GHB_SP
20,21.0,2,20,spring,-31.84127847183288,GHB_SP
21,22.0,2,21,spring,-31.938830348248757,GHB_SP
22,23.0,2,22,spring,-32.05186050038492,GHB_SP
23,24.0,2,23,spring,-32.3236980337424,GHB_SP
24,25.0,2,24,spring,-32.719261785662525,GHB_SP
25,26.0,2,25,spring,-33.2820032359856,GHB_SP
26,27.0,2,26,spring,-33.87670983082603,GHB_SP
27,28.0,2,27,spring,-34.69630379989087,GHB_SP
28,29.0,2,28,spring,-35.53289375339443,GHB_SP
29,30.0,2,29,spring,-36.14252505766433,GHB_SP
30,31.0,2,30,spring,-36.728260760890294,GHB_SP
31,32.0,2,31,spring,-37.4789075825928,GHB_SP
32,33.0,2,32,spring,-38.130897776120605,GHB_SP
33,34.0,2,33,spring,-38.56390601054238,GHB_SP
34,35.0,2,34,spring,-39.26928868366667,GHB_SP
35,36.0,2,35,spring,-40.03756218252613,GHB_SP
36,37.0,2,36,spring,-40.538350794410576,GHB_SP
37,38.0,2,37,spring,-40.9556689380712,GHB_SP
38,39.0,2,38,spring,-41.592664259781145,GHB_SP
39,40.0,2,39,spring,-41.86616460718665,GHB_SP
40,41.0,2,40,spring,-42.13656850345967,GHB_SP
41,42.0,2,41,spring,-42.31578515817853,GHB_SP
42,43.0,2,42,spring,-42.52149723185744,GHB_SP
43,44.0,2,43,spring,-42.51789559256804,GHB_SP
44,45.0,2,44,spring,-42.780189430061,GHB_SP
45,46.0,2,45,spring,-42.87493709370108,GHB_SP
46,47.0,2,46,spring,-42.683424828188436,GHB_SP
47,48.0,2,47,spring,-42.4584300027733,GHB_SP
48,49.0,2,48,spring,-42.45144180673935,GHB_SP
49,50.0,2,49,spring,-42.397931389218684,GHB_SP
50,51.0,2,50,spring,-42.392002242152444,GHB_SP
51,52.0,2,51,spring,-42.44222891105983,GHB_SP
52,53.0,2,52,spring,-42.57687305350839,GHB_SP
53,54.0,3,1,spring,-2.2767202692688215,GHB_SP
54,55.0,4,1,spring,-2.7715374906620127,GHB_SP
55,56.0,4,2,spring,-3.2283509362436007,GHB_SP
56,57.0,4,3,spring,-3.6696985850829833,GHB_SP
57,58.0,4,4,spring,-4.415738589218222,GHB_SP
58,59.0,4,5,spring,-5.165926747471417,GHB_SP
59,60.0,4,6,spring,-5.8231676446873735,GHB_SP
60,61.0,4,7,spring,-6.43650040356215,GHB_SP
61,62.0,4,8,spring,-6.8624919516878435,GHB_SP
62,63.0,4,9,spring,-7.0865582422654825,GHB_SP
63,64.0,4,10,spring,-7.47841616552148,GHB_SP
64,65.0,4,11,spring,-8.2151769911668,GHB_SP
65,66.0,4,12,spring,-8.739469002800433,GHB_SP
66,67.0,4,13,spring,-9.096802528910075,GHB_SP
67,68.0,4,14,spring,-9.510387305140284,GHB_SP
68,69.0,4,15,spring,-10.3899700980337,GHB_SP
69,70.0,4,16,spring,-11.189022073760952,GHB_SP
70,71.0,4,17,spring,-11.87665208778094,GHB_SP
71,72.0,4,18,spring,-12.607331374404907,GHB_SP
72,73.0,4,19,spring,-13.266315479368018,GHB_SP
73,74.0,4,20,spring,-13.919923229538995,GHB_SP
74,75.0,4,21,spring,-14.309749310628035,GHB_SP
75,76.0,4,22,spring,-14.680476912391896,GHB_SP
76,77.0,4,23,spring,-14.994898631305205,GHB_SP
77,78.0,4,24,spring,-15.249371637415493,GHB_SP
78,79.0,4,25,spring,-15.44493552254994,GHB_SP
79,80.0,4,26,spring,-15.641529709356064,GHB_SP
80,81.0,4,27,spring,-15.783687286643953,GHB_SP
81,82.0,4,28,spring,-15.972336228312315,GHB_SP
82,83.0,4,29,spring,-16.264032682885727,GHB_SP
83,84.0,4,30,spring,-16.641401829447886,GHB_SP
84,85.0,4,31,spring,-16.743694380981992,GHB_SP
85,86.0,4,32,spring,-16.898321861427576,GHB_SP
86,87.0,4,33,spring,-17.21105892584376,GHB_SP
87,88.0,4,34,spring,-17.526490695522057,GHB_SP
88,89.0,4,35,spring,-17.80889128739159,GHB_SP
89,90.0,4,36,spring,-18.041586604102577,GHB_SP
90,91.0,4,37,spring,-18.171859633435247,GHB_SP
91,92.0,4,38,spring,-18.266385754866405,GHB_SP
92,93.0,4,39,spring,-18.225851021312792,GHB_SP
93,94.0,4,40,spring,-18.149380911978938,GHB_SP
94,95.0,4,41,spring,-18.13216693268464,GHB_SP
95,96.0,4,42,spring,-18.148527732425578,GHB_SP
96,97.0,4,43,spring,-18.13987602498719,GHB_SP
97,98.0,4,44,spring,-18.17934596943769,GHB_SP
98,99.0,4,45,spring,-18.267585886859138,GHB_SP
99,100.0,4,46,spring,-18.131714166560755,GHB_SP
100,101.0,4,47,spring,-17.89278933131277,GHB_SP
101,102.0,4,48,spring,-17.71548543044753,GHB_SP
102,103.0,4,49,spring,-17.417464352089155,GHB_SP
103,104.0,4,50,spring,-17.097975716414,GHB_SP
104,105.0,4,51,spring,-16.85240627522387,GHB_SP
105,106.0,4,52,spring,-16.73871885379242,GHB_SP
