kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-8216.293,7569.353,-786.5327,-533.8407,-12.0949,-0.1,1955.2188,0.0,-12.094727,-9536.667,9524.572
2,-9682.246,4212.6523,-687.3219,-665.0164,-1.6851,-0.01,1691.0,5129.247,-1.6845703,-11034.585,5903.6523
3,-7078.724,5666.7915,-0.7168,-526.2981,16.2711,0.21,1955.2188,0.0,16.271484,-7605.7393,7622.0103
4,-9049.263,4401.293,-2.8938,-695.3478,-1.2644,-0.01,1691.0,3653.947,-1.2646484,-9747.504,6092.293
