kper,time,spring,awanui,poukawa,pk4,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1
2,51.0,-0.09290350797602276,-0.14558896540146637,-0.0319251725158356,-0.0017866059226158222,51,-0.003220386961999572,0.000980516307231206,-0.002491941769691859,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1
4,51.0,-0.06754295563263035,-0.010005638626314095,-0.08044065850097759,-0.0012989029929351991,51,-0.001204593545526318,-0.001204593545526318,-0.001204593545526318,-1
