,kstp,present_q,past_q,diff
0,ss,-2.9751738210384886,-2.5322372719812876,0.44293654905720103
1,1,-2.9739471621843947,-2.5488823927383635,0.4250647694460312
2,2,-2.9727761774133086,-2.564139873544164,0.4086363038691445
3,3,-2.9716543490015397,-2.5787434883048945,0.39291086069664516
4,4,-2.979778121216988,-2.603880574359536,0.3758975468574519
5,5,-2.9865977600641855,-2.6289520520277136,0.3576457080364719
6,6,-3.000590006623824,-2.650538173607025,0.3500518330167992
7,7,-3.006159446009214,-2.6703854199417876,0.33577402606742623
8,8,-3.011249559370455,-2.6835114563677536,0.32773810300270156
9,9,-3.0155257223566068,-2.689482225265465,0.3260434970911419
10,10,-3.0294447695585305,-2.70132704879601,0.32811772076252055
11,11,-3.036739964714627,-2.7252378520157876,0.31150211269883954
12,12,-3.0527427519768295,-2.741619987327475,0.3111227646493546
13,13,-3.0666557410477964,-2.7520959864971033,0.31455975455069307
14,14,-3.076507951844569,-2.7645395886933315,0.3119683631512373
15,15,-3.091208667220073,-2.7933001904049135,0.2979084768151594
16,16,-3.1038884901628805,-2.8191353590692074,0.28475313109367306
17,17,-3.1099535331709376,-2.8409483205973842,0.26900521257355337
18,18,-3.113722837309979,-2.864177784780715,0.24954505252926396
19,19,-3.1169734323861107,-2.8848174168527194,0.23215601553339127
20,20,-3.1159105126953364,-2.905217834114886,0.21069267858045038
21,21,-3.1274314220706714,-2.9163569646447556,0.2110744574259158
22,22,-3.140211266246517,-2.9268807004827906,0.21333056576372655
23,23,-3.1641246852495186,-2.935526617438697,0.2285980678108217
24,24,-3.1965101790996258,-2.942196614740105,0.2543135643595207
25,25,-3.2401873210061822,-2.9469523686684838,0.2932349523376985
26,26,-3.285527816782846,-2.951912827524964,0.3336149892578817
27,27,-3.3458631239409513,-2.9551394667177178,0.39072365722323354
28,28,-3.406495639791544,-2.9601732857770315,0.44632235401451226
29,29,-3.450447219005561,-2.968977534525834,0.4814696844797268
30,30,-3.492127005166118,-2.980903765470657,0.511223239695461
31,31,-3.54476466123149,-2.9832854668821938,0.561479194349296
32,32,-3.589907990921361,-2.987634059812727,0.602273931108634
33,33,-3.61932007860198,-2.997652841081589,0.6216672375203913
34,34,-3.6674473294601384,-3.0078561311389223,0.6595911983212162
35,35,-3.719506024447675,-3.0169720991120954,0.7025339253355796
36,36,-3.752454039823057,-3.0244162504466345,0.7280377893764225
37,37,-3.779376589673298,-3.028355176547997,0.7510214131253008
38,38,-3.821490250421064,-3.0311515715373574,0.7903386788837068
39,39,-3.8380479849162583,-3.0293479323379486,0.8087000525783097
40,40,-3.854456871504766,-3.026451451574175,0.8280054199305908
41,41,-3.864648976881824,-3.025811367442408,0.8388376094394161
42,42,-3.8769094764626217,-3.0265125148869743,0.8503969615756475
43,43,-3.8748290946888844,-3.026482262625393,0.8483468320634913
44,44,-3.8916482822784957,-3.0282713625351008,0.8633769197433949
45,45,-3.896970204999583,-3.0318803507137204,0.8650898542858627
46,46,-3.882660600894134,-3.0277335956702345,0.8549270052238995
47,47,-3.8665830028440666,-3.020113330224845,0.8464696726192216
48,48,-3.866263175866955,-3.014821579902197,0.8514415959647579
49,49,-3.8630395356357496,-3.0054687097060295,0.8575708259297201
50,50,-3.8634111778258813,-2.9955487932075187,0.8678623846183626
51,51,-3.867874109593032,-2.9884051998246974,0.8794689097683346
52,52,-3.878292247615839,-2.9860387766027756,0.8922534710130634
