time,spring,awanui,poukawa,pk4,kper,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
1.0,8.016303987140628,7.515013433924791,7.860112063647766,8.016303987140628,1,1,-0.7963039871406279,-0.3563039871406275,-0.4263039871406278
2.0,8.016128222767916,7.5146175327617595,7.859872141070641,8.016128222767916,2,1,-0.8014918627679162,-0.35754489276791634,-0.4261282227679164
3.0,8.015960435772325,7.51403818491919,7.859585045070184,8.015960435772325,2,2,-0.8064779157723247,-0.3586271057723245,-0.4259604357723248
4.0,8.015799692248217,7.513290129062663,7.859207842328216,8.015799692248217,2,3,-0.811449042248217,-0.36066636224821735,-0.42579969224821745
5.0,8.015582833896243,7.5122525793981945,7.858786237645524,8.015582833896243,2,4,-0.8196798038962427,-0.36184950389624326,-0.42696372389624315
6.0,8.015323150074186,7.510936812464123,7.858323490812544,8.015323150074186,2,5,-0.8281242900741868,-0.3629898200741861,-0.42794089007418634
7.0,8.01497517831022,7.509394881800688,7.8578421440567485,8.01497517831022,2,6,-0.8356917583102197,-0.36364184831021973,-0.42994579831021973
8.0,8.01460252705037,7.507655823126448,7.8573630615427605,8.01460252705037,2,7,-0.8429106070503698,-0.36386919705036913,-0.4307438270503692
9.0,8.014209654561277,7.50580760875586,7.856739487706708,8.014209654561277,2,8,-0.8482575045612775,-0.36707632456127737,-0.431473174561277
10.0,8.013802913494796,7.503940187670477,7.8559331551759515,8.013802913494796,2,9,-0.8515165534947959,-0.37126958349479633,-0.4320858934947962
11.0,8.013317283208165,7.501983005318692,7.854957462323663,8.013317283208165,2,10,-0.8564428232081651,-0.3753839532081651,-0.434080313208165
12.0,8.012803080463836,7.499793185961397,7.853834580624556,8.012803080463836,2,11,-0.8650238604638361,-0.3792697504638367,-0.43512562046383607
13.0,8.01220251321841,7.4974691910584195,7.852565486112273,8.01220251321841,2,12,-0.8714709132184106,-0.3832691832184105,-0.43741861321841036
14.0,8.011535454879848,7.495086359220717,7.851297572033146,8.011535454879848,2,13,-0.8761848048798475,-0.3844021248798475,-0.43941216487984747
15.0,8.01083330945551,7.492622290551979,7.850079403920978,8.01083330945551,2,14,-0.8814826594555099,-0.3844999794555104,-0.4408238594555103
16.0,8.010064492123686,7.489882201170454,7.848926598188157,8.010064492123686,2,15,-0.8916662221236855,-0.38413116212368603,-0.4429302821236858
