kper,awanui,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw
1,-51.1721,-53.0915,-46.0731,-0.004647,-0.0,150.332,0.0,-0.0045928955,-150.3367
2,-79.2137,-57.2394,-75.6433,-1.8083e-06,-0.0,129.682,82.4144,0.0,-212.0964
3,-50.4094,-40.1217,-59.7343,0.066688,0.04,150.332,0.0,0.06669617,-150.2654
4,-62.6323,-45.9926,-74.2146,-1.1007e-06,-0.0,129.682,53.1575,0.0,-182.83951
