time,flux
1.0,-7.673349362453841
2.0,-15.153734464134848
3.0,-15.023062383199079
4.0,-14.884959343769765
5.0,-14.74446162646939
6.0,-14.60374296376998
7.0,-14.46378174883359
8.0,-14.324985372734183
9.0,-14.18756362764979
10.0,-14.051596815654726
11.0,-13.917110888139222
12.0,-13.784108088350065
13.0,-13.65258023317506
14.0,-13.522514586368082
15.0,-13.393896480479933
16.0,-13.266710490867498
17.0,-13.14094095969225
18.0,-13.016572228023282
19.0,-12.893588737220822
20.0,-12.771975071538778
21.0,-12.651715975647088
22.0,-12.532796360254796
23.0,-12.415201303498979
24.0,-12.2989160499643
25.0,-12.183926009166582
26.0,-12.07021675338401
27.0,-11.957774016262631
28.0,-11.846583690408423
29.0,-11.736631825924242
30.0,-11.627904628204094
31.0,-11.520388456600061
32.0,-11.414069822319977
33.0,-11.308935386884212
34.0,-11.204971960354897
35.0,-11.102166499808842
36.0,-11.00050610758807
37.0,-10.899978029643316
38.0,-10.800526514330908
39.0,-10.702198591347102
40.0,-10.604990559570572
41.0,-10.50885953387899
42.0,-10.41380761723172
43.0,-10.319807725395176
44.0,-10.22686582963227
45.0,-10.13494869121568
46.0,-10.044062985089164
47.0,-9.95418161609494
48.0,-9.865312066112367
49.0,-9.777422449433864
50.0,-9.690517757682679
51.0,-9.604574810738269
52.0,-9.519598973295485
53.0,-9.43556003431232
54.0,-0.6738183668298985
55.0,-1.5760185648689427
56.0,-1.563546341507311
57.0,-1.5502396728401306
58.0,-1.5366477636854272
59.0,-1.5230059309737618
60.0,-1.509421851613515
61.0,-1.4959399592347316
62.0,-1.4825815944671699
63.0,-1.4693556469305704
64.0,-1.4562648330433852
65.0,-1.443309411926984
66.0,-1.4304886267360997
67.0,-1.4178013080499812
68.0,-1.405246131169149
69.0,-1.392821723831822
70.0,-1.3805267095544704
71.0,-1.3683597237680445
72.0,-1.3563194188688543
73.0,-1.344404465012864
74.0,-1.332613549479035
75.0,-1.3209453757182619
76.0,-1.309398662479224
77.0,-1.297972143076616
78.0,-1.2866645648474637
79.0,-1.275474688712504
80.0,-1.2644012888493867
81.0,-1.253443152437854
82.0,-1.2425990794219144
83.0,-1.2318678823469222
84.0,-1.221248386176112
85.0,-1.2107394281441346
86.0,-1.2003398576129976
87.0,-1.1900485359480908
88.0,-1.1798643363698367
89.0,-1.1697861438300878
90.0,-1.1598128548996305
91.0,-1.149939265414046
92.0,-1.1401699238189253
93.0,-1.1305046508225463
94.0,-1.1209395218881202
95.0,-1.1114746153989223
96.0,-1.1021075976242085
97.0,-1.0928391978955265
98.0,-1.0836663389604835
99.0,-1.0745896052304662
100.0,-1.0656066051662292
101.0,-1.0567181137138453
102.0,-1.0479213041798456
103.0,-1.039216453655996
104.0,-1.030601645121116
105.0,-1.022077511180199
106.0,-1.013641224339925
