kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total
1,-907.5178,-2704.026,-189.6712,-93.9955,0.4653,0.01,3895.6755,0.0,0.46533203
2,-1135.6714,-14416.207,-235.7523,-113.1323,0.2901,0.0,3323.9988,12577.055,0.29003906
3,-222.2165,-3603.8657,-68.4587,0.0,1.1346,0.03,3895.6755,0.0,1.1345215
4,-354.1455,-15472.843,-111.7104,0.0,0.287,0.0,3323.9988,12614.987,0.28710938
