kper,kstp,k,i,j,PWq
1,1,0,22,40,-8.736934272355505
1,1,0,23,40,-8.626070555164489
1,1,0,24,39,-8.54401421959084
1,1,0,25,39,-8.23423711593713
1,1,0,26,38,-8.556158881994573
1,1,0,27,38,-8.575343548281701
1,1,0,28,38,-6.318728208873905
1,1,0,29,37,-8.319114876661253
1,1,0,30,37,-7.975895929723435
1,1,0,31,37,-7.671304812456079
1,1,0,32,36,-7.6747054724752015
1,1,0,33,36,-7.584425336040928
1,1,0,34,37,-7.654342106464285
1,1,0,35,37,-7.584741272781728
1,1,0,36,37,-7.6642892063417385
1,1,0,37,37,-7.473910812204049
1,1,0,38,37,-7.311570358287823
1,1,0,39,38,-7.30618034685431
1,1,0,40,38,-7.214422113249542
1,1,0,41,38,-7.164698155935062
1,1,0,42,38,-7.1829387101832225
1,1,0,43,38,-7.181117977003153
1,1,0,44,38,-7.193223061962701
1,1,0,45,37,-4.768607920375521
1,1,0,45,38,-7.154253536832709
2,1,0,22,40,-15.105829034677894
2,1,0,23,40,-15.106923376865964
2,1,0,24,39,-15.11113792201518
2,1,0,25,39,-15.112907010958851
2,1,0,26,38,-15.11730158845442
2,1,0,27,38,-15.11902828601751
2,1,0,28,38,-15.117930319394132
2,1,0,29,37,-15.129920343863743
2,1,0,30,37,-15.135097640668445
2,1,0,31,37,-15.137639108887331
2,1,0,32,36,-15.144310140310152
2,1,0,33,36,-15.14870768718437
2,1,0,34,37,-15.15548148081234
2,1,0,35,37,-15.157538775775436
2,1,0,36,37,-15.160275290480387
2,1,0,37,37,-15.163267152654525
2,1,0,38,37,-15.16639545516548
2,1,0,39,38,-15.170608358660312
2,1,0,40,38,-15.171769338387456
2,1,0,41,38,-15.17312777339562
2,1,0,42,38,-15.174361665194331
2,1,0,43,38,-15.175336557705274
2,1,0,44,38,-15.175974846469275
2,1,0,45,37,-15.176812806216521
2,1,0,45,38,-15.176234553835657
2,2,0,22,40,-14.961074438554743
2,2,0,23,40,-14.962621527973754
2,2,0,24,39,-14.968017019962135
2,2,0,25,39,-14.970244231948893
2,2,0,26,38,-14.975855363824182
2,2,0,27,38,-14.978134150279104
2,2,0,28,38,-14.977841117918727
2,2,0,29,37,-14.992342256348362
2,2,0,30,37,-14.999006333508708
2,2,0,31,37,-15.002272053487717
2,2,0,32,36,-15.010855423085893
2,2,0,33,36,-15.01669286249038
2,2,0,34,37,-15.02590193056667
2,2,0,35,37,-15.028653553222403
2,2,0,36,37,-15.03232738372419
2,2,0,37,37,-15.036358888112733
2,2,0,38,37,-15.040590052723095
2,2,0,39,38,-15.046633300123606
2,2,0,40,38,-15.048242004088047
2,2,0,41,38,-15.050147231232195
2,2,0,42,38,-15.051906282907902
2,2,0,43,38,-15.05333001423224
2,2,0,44,38,-15.054303317753075
2,2,0,45,37,-15.055305653699797
2,2,0,45,38,-15.054747599200647
2,3,0,22,40,-14.817339339839977
2,3,0,23,40,-14.819094929496275
2,3,0,24,39,-14.82500356913794
2,3,0,25,39,-14.827425305066367
2,3,0,26,38,-14.833538105494673
2,3,0,27,38,-14.836042349190679
2,3,0,28,38,-14.836096106244058
2,3,0,29,37,-14.85155897331527
2,3,0,30,37,-14.858798879403798
2,3,0,31,37,-14.862343413249821
2,3,0,32,36,-14.871662958774728
2,3,0,33,36,-14.878056741338112
2,3,0,34,37,-14.888210216858269
2,3,0,35,37,-14.891232183124691
2,3,0,36,37,-14.89527243733922
2,3,0,37,37,-14.899712265145768
2,3,0,38,37,-14.904378831236949
2,3,0,39,38,-14.911155392217609
2,3,0,40,38,-14.91294395757691
2,3,0,41,38,-14.915070244358999
2,3,0,42,38,-14.917043146682284
2,3,0,43,38,-14.918651077908931
2,3,0,44,38,-14.91976299910455
2,3,0,45,37,-14.920829581049954
2,3,0,45,38,-14.920284417388753
2,4,0,22,40,-14.674717557503117
2,4,0,23,40,-14.676561100151826
2,4,0,24,39,-14.682674673604156
2,4,0,25,39,-14.685172680079948
2,4,0,26,38,-14.691479320699667
2,4,0,27,38,-14.69407149205087
2,4,0,28,38,-14.694281675218253
2,4,0,29,37,-14.710081259664468
2,4,0,30,37,-14.717533408242636
2,4,0,31,37,-14.721179910108056
2,4,0,32,36,-14.730766466556654
