kper,kstp,k,i,j,PWq
1,1,0,22,40,-185.63305847436982
1,1,0,23,40,-173.36251394450642
1,1,0,24,39,-163.46593295206765
1,1,0,25,39,-131.64050559690872
1,1,0,26,38,-162.4938965105199
1,1,0,27,38,-163.6670951884745
1,1,0,28,38,60.26397977683655
1,1,0,29,37,-134.72502893487456
1,1,0,30,37,-99.59284386140087
1,1,0,31,37,-68.92472988294332
1,1,0,32,36,-69.00876255306571
1,1,0,33,36,-59.54138484324369
1,1,0,34,37,-65.76548086851881
1,1,0,35,37,-58.76941831928377
1,1,0,36,37,-66.72262077637492
1,1,0,37,37,-47.81037840428735
1,1,0,38,37,-31.771180440613193
1,1,0,39,38,-31.444883608783698
1,1,0,40,38,-22.41900039013899
1,1,0,41,38,-17.651524875730956
1,1,0,42,38,-19.70933847849858
1,1,0,43,38,-19.807133786867894
1,1,0,44,38,-21.341302461790974
1,1,0,45,37,220.39943041019774
1,1,0,45,38,-17.766921436870916
2,1,0,22,40,-684.4266901954029
2,1,0,23,40,-682.7800038223471
2,1,0,24,39,-682.2568043153381
2,1,0,25,39,-680.4534285607638
2,1,0,26,38,-678.9276217257051
2,1,0,27,38,-675.5920636492327
2,1,0,28,38,-654.8003945999793
2,1,0,29,37,-667.6806414652248
2,1,0,30,37,-664.9877305144354
2,1,0,31,37,-664.0481693720907
2,1,0,32,36,-664.9964467052097
2,1,0,33,36,-662.9923329459581
2,1,0,34,37,-657.8051097898866
2,1,0,35,37,-657.5042630311735
2,1,0,36,37,-657.2561550074774
2,1,0,37,37,-657.137139050421
2,1,0,38,37,-657.1277835431417
2,1,0,39,38,-653.3921083735047
2,1,0,40,38,-653.1774894850508
2,1,0,41,38,-652.7330579717885
2,1,0,42,38,-652.0654211103496
2,1,0,43,38,-651.1992448673751
2,1,0,44,38,-650.1997494630407
2,1,0,45,37,-651.9114721274404
2,1,0,45,38,-649.2714106225419
2,2,0,22,40,-582.696408746912
2,2,0,23,40,-581.2328238734726
2,2,0,24,39,-580.650517267575
2,2,0,25,39,-578.9498604970902
2,2,0,26,38,-577.2638996097951
2,2,0,27,38,-574.130761084628
2,2,0,28,38,-556.0567572773755
2,2,0,29,37,-565.0790213494782
2,2,0,30,37,-562.3078346253538
2,2,0,31,37,-561.1894387748316
2,2,0,32,36,-561.1058468197438
2,2,0,33,36,-558.5272597165925
2,2,0,34,37,-552.5210932451273
2,2,0,35,37,-551.8104967381274
2,2,0,36,37,-550.9771076301705
2,2,0,37,37,-550.1717395039655
