DateTime,LEVEL,level_mRL,sm_level_mRL,abs_val,sm_abs_val
2023-12-07,7.59596196,7.59596196,7.5955430152380945,0.0,0.0034566666666666634
2023-12-08,7.60156604,7.60156604,7.594726179047619,0.005604079999999456,0.0028139399999995707
2023-12-09,7.600727880000001,7.600727880000001,7.593943876190477,0.004765920000000534,0.001650543999999776
2023-12-10,7.596847719999999,7.596847719999999,7.592872097142857,0.0008857599999982924,0.0001781519999996206
2023-12-11,7.592958920000001,7.592958920000001,7.591726350476191,-0.0030030399999994017,-0.0010586960000003032
2023-12-12,7.5886,7.5886,7.590530500952381,-0.007361960000000778,-0.003411576000000771
2023-12-13,7.5953818,7.5953818,7.589198645714286,-0.0005801600000001628,-0.004582264000000791
2023-12-14,7.5889634799999985,7.5889634799999985,7.587717560000001,-0.0069984800000018055,-0.0057044800000007004
2023-12-15,7.5909942799999985,7.5909942799999985,7.586163228571429,-0.004967680000001806,-0.006723944000000692
2023-12-16,7.587347840000001,7.587347840000001,7.584643780952381,-0.008614119999998948,-0.00920399200000066
2023-12-17,7.58350268,7.58350268,7.583291066666667,-0.012459280000000739,-0.010763504000000345
2023-12-18,7.58298156,7.58298156,7.581844775238094,-0.012980400000000003,-0.013657064000000042
2023-12-19,7.58116592,7.58116592,7.579661272380953,-0.014796040000000232,-0.01631767200000045
2023-12-20,7.57652648,7.57652648,7.577465845714285,-0.019435480000000283,-0.018431512000000438
2023-12-21,7.574044799999999,7.574044799999999,7.575008036190476,-0.02191716000000099,-0.02130675200000063
2023-12-22,7.57293348,7.57293348,7.572372363809524,-0.023028480000000684,-0.02394166400000053
2023-12-23,7.568605359999999,7.568605359999999,7.569452365714286,-0.027356600000000952,-0.02563092800000071
2023-12-24,7.567991360000001,7.567991360000001,7.565626327619048,-0.027970599999999735,-0.026979352000000744
2023-12-25,7.568080159999999,7.568080159999999,7.56146595047619,-0.027881800000001178,-0.02824044800000074
2023-12-26,7.567302679999999,7.567302679999999,7.556679563809524,-0.028659280000001175,-0.028843552000000373
2023-12-27,7.566628,7.566628,7.552232211428571,-0.02933396000000066,-0.03129932800000042
2023-12-28,7.565589840000001,7.565589840000001,7.547518392380953,-0.030372119999999114,-0.03399057600000042
2023-12-29,7.55571248,7.55571248,7.541820931428571,-0.04024947999999995,-0.03840436800000013
2023-12-30,7.554623919999999,7.554623919999999,7.535788803809523,-0.041338040000001186,-0.04420800800000002
2023-12-31,7.545233720000001,7.545233720000001,7.529974918095239,-0.05072823999999976,-0.0518699680000001
2024-01-01,7.5376098,7.5376098,7.523765121904763,-0.0583521600000001,-0.060005463999999974
2024-01-02,7.527280040000001,7.527280040000001,7.516979007619047,-0.06868191999999951,-0.07061113599999977
2024-01-03,7.515035000000001,7.515035000000001,7.51002991047619,-0.08092695999999933,-0.08156184800000013
2024-01-04,7.50159556,7.50159556,7.502891076190475,-0.09436640000000018,-0.09029312000000012
2024-01-05,7.490480159999999,7.490480159999999,7.4951979828571424,-0.10548180000000151,-0.09884663200000006
2024-01-06,7.49395344,7.49395344,7.487912801904763,-0.10200852000000005,-0.10918665600000033
2024-01-07,7.484512480000001,7.484512480000001,7.480046596190476,-0.11144947999999921,-0.11860752000000012
2024-01-08,7.46333488,7.46333488,7.47209187047619,-0.13262708000000067,-0.12581657600000007
2024-01-09,7.454491240000001,7.454491240000001,7.464331171428571,-0.14147071999999916,-0.13587944800000037
2024-01-10,7.454434879999999,7.454434879999999,7.456596020952381,-0.14152708000000125,-0.14669692800000042
2024-01-11,7.443639079999999,7.443639079999999,7.449034716190477,-0.1523228800000016,-0.15482904000000045
2024-01-12,7.430425080000001,7.430425080000001,7.4416341104761905,-0.16553687999999944,-0.16211212000000064
2024-01-13,7.42267432,7.42267432,7.435305489523809,-0.17328764000000074,-0.17169405600000065
2024-01-14,7.41807584,7.41807584,7.429390948571428,-0.17788612000000015,-0.17755909600000042
2024-01-15,7.406525199999999,7.406525199999999,7.423570228571428,-0.18943676000000131,-0.1833565760000008
2024-01-16,7.41431388,7.41431388,7.418125626666667,-0.18164808000000043,-0.1881833200000008
2024-01-17,7.401437679999999,7.401437679999999,7.412204300952381,-0.19452428000000133,-0.19325092800000068
2024-01-18,7.3985406,7.3985406,7.407047975238095,-0.19742136000000077,-0.19611881600000078
2024-01-19,7.392737800000001,7.392737800000001,7.407003196190477,-0.20322415999999954,-0.20169232800000092
2024-01-20,7.3921857599999985,7.3921857599999985,7.405200662857143,-0.20377620000000185,-0.20554044800000054
2024-01-21,7.386446319999999,7.386446319999999,7.403999201904761,-0.2095156400000011,-0.20637276800000032
2024-01-22,7.382197080000001,7.382197080000001,7.404093118095238,-0.21376487999999938,-0.2067544000000005
2024-01-23,7.394379000000001,7.394379000000001,7.404292735238096,-0.20158295999999964,-0.209319464
2024-01-24,7.39082964,7.39082964,7.404618118095239,-0.2051323200000006,-0.2113800239999996
2024-01-25,7.379360440000001,7.379360440000001,7.405155624761905,-0.21660151999999933,-0.21389831999999984
2024-01-26,7.376143520000001,7.376143520000001,7.405514845714285,-0.21981843999999917,-0.2169771599999999
2024-01-27,7.3696056,7.3696056,7.405281779047618,-0.22635636000000048,-0.22092543999999967
