kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total
1,-731.6233,-471.2858,-153.1281,-76.456,-0.6495,-0.05,1431.8438,0.0,-0.64953613
2,-969.4169,-12305.713,-201.2115,-96.5532,0.2197,0.0,1166.6875,12406.427,0.21972656
3,-167.3724,-1210.367,-51.1532,0.0,2.9512,0.21,1431.8438,0.0,2.951294
4,-302.193,-13204.944,-95.3161,0.0,0.2799,0.0,1166.6875,12436.046,0.27929688
