kper,kstp,k,i,j,PWq
1,1,0,22,40,-7.2834864912513035
1,1,0,23,40,-7.17234253303225
1,1,0,24,39,-7.089418476249438
1,1,0,25,39,-6.779291461391126
1,1,0,26,38,-7.100295450125992
1,1,0,27,38,-7.119064493032297
1,1,0,28,38,-4.861874577414277
1,1,0,29,37,-6.860545321877529
1,1,0,30,37,-6.516406818129302
1,1,0,31,37,-6.211381866342065
1,1,0,32,36,-6.213625202180042
1,1,0,33,36,-6.1225206991039105
1,1,0,34,37,-6.191135951557576
1,1,0,35,37,-6.121144537277421
1,1,0,36,37,-6.200169489495769
1,1,0,37,37,-6.009216891009438
1,1,0,38,37,-5.846275377302217
1,1,0,39,38,-5.840014002903949
1,1,0,40,38,-5.748021754724617
1,1,0,41,38,-5.698016453072638
1,1,0,42,38,-5.715992716923058
1,1,0,43,38,-5.7139534025837495
1,1,0,44,38,-5.725903977452383
1,1,0,45,37,-3.3011354213865847
1,1,0,45,38,-5.686858263042767
2,1,0,22,40,-13.654444931443162
2,1,0,23,40,-13.655257626688334
2,1,0,24,39,-13.658604396109128
2,1,0,25,39,-13.66002461835334
2,1,0,26,38,-13.663509055616085
2,1,0,27,38,-13.664828674124914
2,1,0,28,38,-13.663216792583
2,1,0,29,37,-13.673458792089997
2,1,0,30,37,-13.677715299168893
2,1,0,31,37,-13.679821392162662
2,1,0,32,36,-13.685336113339913
2,1,0,33,36,-13.688916016423734
2,1,0,34,37,-13.69440098036459
2,1,0,35,37,-13.696072794749108
2,1,0,36,37,-13.69829372837297
2,1,0,37,37,-13.700719980093334
2,1,0,38,37,-13.703256419082251
2,1,0,39,38,-13.70660983669757
2,1,0,40,38,-13.707540876923666
2,1,0,41,38,-13.708623117447262
2,1,0,42,38,-13.709597756288247
2,1,0,43,38,-13.710358375673632
2,1,0,44,38,-13.710845340993007
2,1,0,45,37,-13.711535184715107
2,1,0,45,38,-13.711030606392145
2,2,0,22,40,-13.511698876988095
2,2,0,23,40,-13.51296251252592
2,2,0,24,39,-13.517486777684692
2,2,0,25,39,-13.51936455129367
2,2,0,26,38,-13.524064545630667
2,2,0,27,38,-13.525936387751774
2,2,0,28,38,-13.525129528069053
2,2,0,29,37,-13.537885854956425
2,2,0,30,37,-13.543631604964173
2,2,0,31,37,-13.546463272259135
2,2,0,32,36,-13.553893634484103
2,2,0,33,36,-13.558916199015464
2,2,0,34,37,-13.566841489620892
2,2,0,35,37,-13.569209041067158
2,2,0,36,37,-13.572369270864757
2,2,0,37,37,-13.575837455522493
2,2,0,38,37,-13.579479284456898
2,2,0,39,38,-13.584667834737973
2,2,0,40,38,-13.586047851761721
2,2,0,41,38,-13.587678599767186
2,2,0,42,38,-13.589180269174209
2,2,0,43,38,-13.590391536273417
2,2,0,44,38,-13.591214976548276
2,2,0,45,37,-13.592070039457063
2,2,0,45,38,-13.591585637333374
2,3,0,22,40,-13.369941567993884
2,3,0,23,40,-13.371412662351428
2,3,0,24,39,-13.376448082421195
2,3,0,25,39,-13.378519954702208
2,3,0,26,38,-13.383720817048943
2,3,0,27,38,-13.385818015099696
2,3,0,28,38,-13.385357522613678
2,3,0,29,37,-13.399077232363204
2,3,0,30,37,-13.405399979011595
2,3,0,31,37,-13.408511138250978
2,3,0,32,36,-13.416679666418313
2,3,0,33,36,-13.422260204973458
2,3,0,34,37,-13.43113278839485
2,3,0,35,37,-13.43377154959767
2,3,0,36,37,-13.437299391273266
2,3,0,37,37,-13.441177239022764
2,3,0,38,37,-13.445255912952147
2,3,0,39,38,-13.4511800894437
2,3,0,40,38,-13.452740561836782
2,3,0,41,38,-13.454593093434449
2,3,0,42,38,-13.456309305528288
2,3,0,43,38,-13.457705357853595
2,3,0,44,38,-13.45866784360676
2,3,0,45,37,-13.459587430133228
2,3,0,45,38,-13.459115865596125
2,4,0,22,40,-13.229270547420137
2,4,0,23,40,-13.230829069901768
2,4,0,24,39,-13.23606849369423
2,4,0,25,39,-13.238216458624871
2,4,0,26,38,-13.24361083492079
2,4,0,27,38,-13.245795933867447
2,4,0,28,38,-13.245491442610204
2,4,0,29,37,-13.259549167231548
2,4,0,30,37,-13.266084916001446
2,4,0,31,37,-13.269298478235777
2,4,0,32,36,-13.277735272267941
2,4,0,33,36,-13.283521872379001
2,4,0,34,37,-13.292747057513076
2,4,0,35,37,-13.295485846895094
2,4,0,36,37,-13.299149384015974
2,4,0,37,37,-13.30317857517772
2,4,0,38,37,-13.307418798037995
2,4,0,39,38,-13.313620535040313
2,4,0,40,38,-13.315248423592525
2,4,0,41,38,-13.317184232848494
2,4,0,42,38,-13.318981510793751
2,4,0,43,38,-13.320447936675174
2,4,0,44,38,-13.321463945865629
2,4,0,45,37,-13.32240559115253
2,4,0,45,38,-13.321942284736293
2,5,0,22,40,-13.089886479432995
2,5,0,23,40,-13.091475410460463
2,5,0,24,39,-13.096776056591349
2,5,0,25,39,-13.09894579895468
2,5,0,26,38,-13.104395301652255
2,5,0,27,38,-13.106607073194423
2,5,0,28,38,-13.106374923687108
2,5,0,29,37,-13.120499700915214
2,5,0,30,37,-13.127091725146565
2,5,0,31,37,-13.130331861366784
2,5,0,32,36,-13.138837670857951
2,5,0,33,36,-13.144681568566353
2,5,0,34,37,-13.154008680555387
2,5,0,35,37,-13.15677555437246
2,5,0,36,37,-13.160477405313545
2,5,0,37,37,-13.164549538964357
2,5,0,38,37,-13.168835812627425
2,5,0,39,38,-13.175122750452331
2,5,0,40,38,-13.176770547910996
2,5,0,41,38,-13.17873137399375
2,5,0,42,38,-13.180553529442024
2,5,0,43,38,-13.18204214017829
2,5,0,44,38,-13.183075635904853
2,5,0,45,37,-13.184021480471966
2,5,0,45,38,-13.183564459094434
2,6,0,22,40,-12.951915045335697
2,6,0,23,40,-12.95350837138239
2,6,0,24,39,-12.958805835191944
2,6,0,25,39,-12.96097295041593
2,6,0,26,38,-12.966416214536132
2,6,0,27,38,-12.968627645917127
2,6,0,28,38,-12.968430981946083
2,6,0,29,37,-12.982504402295937
2,6,0,30,37,-12.989083903291124
2,6,0,31,37,-12.992317279456627
2,6,0,32,36,-13.000804675526568
2,6,0,33,36,-13.006640333975737
2,6,0,34,37,-13.015959098186848
2,6,0,35,37,-13.018722614406077
2,6,0,36,37,-13.022420432399585
2,6,0,37,37,-13.026488689576563
2,6,0,38,37,-13.030771496235678
2,6,0,39,38,-13.037061473116639
2,6,0,40,38,-13.038709082941882
2,6,0,41,38,-13.040670246405531
2,6,0,42,38,-13.042493342094549
2,6,0,43,38,-13.043983410705914
2,6,0,44,38,-13.045018753856953
2,6,0,45,37,-13.04596111584202
2,6,0,45,38,-13.04550941243465
2,7,0,22,40,-12.815397256192773
2,7,0,23,40,-12.816982993591822
2,7,0,24,39,-12.822247442205967
2,7,0,25,39,-12.824400525172704
2,7,0,26,38,-12.829808665522703
