kper,kstp,k,i,j,SPq
1,1,0,32,30,-6.946883751005305
1,1,0,33,30,-6.874781727206898
1,1,0,33,31,-6.311423611222776
1,1,0,33,32,-6.3501816007810925
1,1,0,33,33,-6.209996071961523
1,1,0,34,30,-6.341862307988865
1,1,0,34,31,-6.3704440584247255
1,1,0,34,33,-6.209916558798222
1,1,0,35,33,-6.209927661339384
1,1,0,36,32,-6.210256663624431
1,1,0,36,33,-6.209987303401279
1,1,0,37,32,-6.210365127055068
2,1,0,32,30,-13.67517174499889
2,1,0,33,30,-13.678233033812335
2,1,0,33,31,-13.680935672452442
2,1,0,33,32,-13.683408752164407
2,1,0,33,33,-13.685520186659154
2,1,0,34,30,-13.681582953262183
2,1,0,34,31,-13.684277138966323
2,1,0,34,33,-13.688703266344186
2,1,0,35,33,-13.691707992657726
2,1,0,36,32,-13.692789830632991
2,1,0,36,33,-13.694671474613848
2,1,0,37,32,-13.695894743500196
2,2,0,32,30,-13.540531061370158
2,2,0,33,30,-13.544511247961726
2,2,0,33,31,-13.548126752699467
2,2,0,33,32,-13.551409117308662
2,2,0,33,33,-13.554220303958074
2,2,0,34,30,-13.548824814071445
2,2,0,34,31,-13.55254219411638
2,2,0,34,33,-13.558617258071674
2,2,0,35,33,-13.562753078348043
2,2,0,36,32,-13.56413538301609
2,2,0,36,33,-13.566836474859132
2,2,0,37,32,-13.568369875825768
2,3,0,32,30,-13.402139737017105
2,3,0,33,30,-13.406469801882599
2,3,0,33,31,-13.41042584524852
2,3,0,33,32,-13.414008120366503
2,3,0,33,33,-13.417078138964394
2,3,0,34,30,-13.411147208951029
2,3,0,34,31,-13.415249097173414
2,3,0,34,33,-13.42194162697682
2,3,0,35,33,-13.426512266797
2,3,0,36,32,-13.428013603133419
2,3,0,36,33,-13.431026914931724
2,3,0,37,32,-13.43268140027074
2,4,0,32,30,-13.262772389917018
2,4,0,33,30,-13.267228200526102
2,4,0,33,31,-13.271308107526291
2,4,0,33,32,-13.274998503907865
2,4,0,33,33,-13.278161707994903
2,4,0,34,30,-13.272034918754965
2,4,0,34,31,-13.27627828410589
2,4,0,34,33,-13.28319647279762
2,4,0,35,33,-13.287926163978735
2,4,0,36,32,-13.28946944255236
2,4,0,36,33,-13.292598368129248
2,4,0,37,32,-13.294294738639417
2,5,0,32,30,-13.123771359165794
2,5,0,33,30,-13.128257356752934
2,5,0,33,31,-13.13236917686246
2,5,0,33,32,-13.136086571744872
2,5,0,33,33,-13.139273071522869
2,5,0,34,30,-13.133093822824694
2,5,0,34,31,-13.137375799509767
2,5,0,34,33,-13.144354398380658
2,5,0,35,33,-13.149126961775679
2,5,0,36,32,-13.15067974441434
2,5,0,36,33,-13.153841637514963
2,5,0,37,32,-13.155546661170565
2,6,0,32,30,-12.985775251036017
2,6,0,33,30,-12.990249462132299
2,6,0,33,31,-12.994352912665088
2,6,0,33,32,-12.998061801706221
2,6,0,33,33,-13.001240960429088
2,6,0,34,30,-12.99507170560666
2,6,0,34,31,-12.999347131101542
2,6,0,34,33,-13.006313651030945
2,6,0,35,33,-13.011077740440971
2,6,0,36,32,-13.012625507891343
2,6,0,36,33,-13.015784259771207
2,6,0,37,32,-13.017483345910028
2,7,0,32,30,-12.84904434393942
2,7,0,33,30,-12.85348760162289
2,7,0,33,31,-12.857563898266394
2,7,0,33,32,-12.86124782493167
2,7,0,33,33,-12.864405610808044
2,7,0,34,30,-12.858275980639652
2,7,0,34,31,-12.86252406970235
2,7,0,34,33,-12.869445419775928
2,7,0,35,33,-12.874178489241544
2,7,0,36,32,-12.87571530053369
2,7,0,36,33,-12.878854469172184
