time,spring,awanui,poukawa,pk4,kper,kstp,pk4-spr-diff,pk4-conf-diff
1.0,7.591226478569342,7.23203023114525,7.617269112023782,7.591226478569342,1,1,-0.0012264785693423264,6.408773521430658
2.0,7.591145696036887,7.231346153824995,7.616982494870984,7.591145696036887,2,1,-0.0011456960368869673,6.359880623963114
3.0,7.591106348881843,7.230220641451587,7.616603823511815,7.591106348881843,2,2,-0.0011063488818434664,6.310946281118157
4.0,7.591087020973013,7.228699477070626,7.616051061324424,7.591087020973013,2,3,-0.00108702097301272,6.261991929026988
5.0,7.590366299195055,7.226494238850547,7.615418333135798,7.590366299195055,2,4,-0.001747189195055121,6.213738960804945
6.0,7.589380880412925,7.223647193028986,7.614713605545868,7.589380880412925,2,5,-0.0019986204129249785,6.1657506995870754
7.0,7.587692876910843,7.220299607309953,7.6139824358222885,7.587692876910843,2,6,-0.0026634969108432216,6.118465013089157
8.0,7.586274194255856,7.216533025092977,7.613265872029685,7.586274194255856,2,7,-0.0024154942558558545,6.070910015744144
9.0,7.58501054595926,7.212571698303532,7.6122744542394445,7.58501054595926,2,8,-0.002274065959259275,6.0231999840407395
10.0,7.5838746866547995,7.208639674955925,7.610939552271475,7.5838746866547995,2,9,-0.0021576666547993284,5.975362153345201
11.0,7.582048461680207,7.204561518453022,7.60929532413658,7.582048461680207,2,10,-0.002811491680207112,5.928214698319792
12.0,7.580362654823592,7.19998797348476,7.607391779346584,7.580362654823592,2,11,-0.00268519482359153,5.880926815176409
13.0,7.578057741466756,7.195170131494739,7.6052354960740995,7.578057741466756,2,12,-0.0032738414667559113,5.834258048533243
14.0,7.575573631374352,7.190296781110442,7.603120434471095,7.575573631374352,2,13,-0.0034503413743518507,5.787768478625647
15.0,7.573284441543834,7.185312304493802,7.60113847360832,7.573284441543834,2,14,-0.003274991543833927,5.741083978456166
16.0,7.570697319340523,7.1797385284194135,7.599314702689148,7.570697319340523,2,15,-0.003563109340523063,5.694697420659477
17.0,7.568089960627065,7.173694840884993,7.597633363561555,7.568089960627065,2,16,-0.0035906606270650343,5.648331089372935
18.0,7.5659596880198645,7.167326469125764,7.5960994649281055,7.5659596880198645,2,17,-0.003149658019864887,5.601487681980135
19.0,7.564235373757371,7.160609029820972,7.594698297397621,7.564235373757371,2,18,-0.0027737637573705953,5.554238306242628
20.0,7.56275213266351,7.153638121362979,7.59341662344299,7.56275213266351,2,19,-0.0025516226635105,5.50674786733649
21.0,7.5617241247736535,7.146434078728343,7.59222333113904,7.5617241247736535,2,20,-0.0021267147736532266,5.458802195226347
22.0,7.5599621885419666,7.139283215847561,7.591128796216606,7.5599621885419666,2,21,-0.002820558541966278,5.411590441458033
23.0,7.5577243436301105,7.1321990778788535,7.590103973650654,7.5577243436301105,2,22,-0.0032739636301108987,5.36485460636989
24.0,7.554369593459341,7.125231417740675,7.589161097147919,7.554369593459341,2,23,-0.00433300345934029,5.319235666540659
25.0,7.549759442068876,7.118429807072144,7.588291990980757,7.549759442068876,2,24,-0.00552649206887601,5.2748721379311245
26.0,7.543585672312074,7.111838897323604,7.587489292238721,7.543585672312074,2,25,-0.0070146823120733615,5.232072217687926
27.0,7.536412461145742,7.105437953819326,7.586727191552777,7.536412461145742,2,26,-0.007976961145742756,5.190271748854258
28.0,7.527484070523894,7.0992645223702215,7.5860016241561326,7.527484070523894,2,27,-0.00965425052389346,5.150226459476107
29.0,7.517529927298742,7.093249234627634,7.585308960638056,7.517529927298742,2,28,-0.01065081729874251,5.111206912701258
30.0,7.508223301147535,7.087268559885367,7.584645946813228,7.508223301147535,2,29,-0.010075461147534881,5.071539858852466
31.0,7.499320813932281,7.081224984763984,7.584028818404642,7.499320813932281,2,30,-0.009726483932280594,5.0314686560677195
32.0,7.489693196688202,7.07540200586539,7.583452979926113,7.489693196688202,2,31,-0.010438896688201638,4.992122593311799
33.0,7.480188558408818,7.06972622457391,7.582914326316447,7.480188558408818,2,32,-0.010355118408817532,4.952653551591181
34.0,7.471882305289143,7.064018647618691,7.582428362511926,7.471882305289143,2,33,-0.009257925289142932,4.911986114710857
35.0,7.462684975338356,7.058272738966859,7.581970612979483,7.462684975338356,2,34,-0.010123465338356397,4.872209764661643
36.0,7.452668372769448,7.052520515267107,7.581538265688606,7.452668372769448,2,35,-0.010924342769448536,4.833252677230552
37.0,7.443638899559368,7.046809844038696,7.581109602813891,7.443638899559368,2,36,-0.010026979559368598,4.793308470440631
38.0,7.435523287260819,7.041240054388195,7.58068425115489,7.435523287260819,2,37,-0.009194447260818528,4.756757412739181
39.0,7.4266650159072265,7.035834661459661,7.580261862349827,7.4266650159072265,2,38,-0.009918115907226799,4.720949024092774
40.0,7.419362024738871,7.03071874047628,7.5798421552914625,7.419362024738871,2,39,-0.008480164738871032,4.68358534526113
41.0,7.412844946610489,7.02590592417178,7.579444051342566,7.412844946610489,2,40,-0.0077605666104894055,4.64543575338951
42.0,7.407207303534329,7.021309842302809,7.579065396056282,7.407207303534329,2,41,-0.006949663534328465,4.606406736465671
43.0,7.401870369821529,7.01687612389736,7.578704245931042,7.401870369821529,2,42,-0.0066803398215284915,4.567077000178472
44.0,7.39781133681522,7.0126151176102365,7.578339659318134,7.39781133681522,2,43,-0.005489196815219977,4.5264693631847805
45.0,7.392976378876239,7.008460946072293,7.577991166064813,7.392976378876239,2,44,-0.006227748876239225,4.486637661123761
46.0,7.388654944615662,7.004351786929103,7.57763796720105,7.388654944615662,2,45,-0.005754434615662163,4.446292425384338
47.0,7.386134439121491,7.000513277267321,7.577299729834711,7.386134439121491,2,46,-0.004066249121491339,4.404146260878509
48.0,7.3847160456135565,6.997031350426162,7.576994156616498,7.3847160456135565,2,47,-0.0030294856135562043,4.360897994386443
49.0,7.382705808752593,6.993815094709349,7.57671799117694,7.382705808752593,2,48,-0.0035843087525933015,4.318241561247406
50.0,7.380669363833451,6.990968194930577,7.576449103039257,7.380669363833451,2,49,-0.0036084238334508356,4.275611336166549
51.0,7.37838451264149,6.988484925010851,7.576186765403661,7.37838451264149,2,50,-0.0038418726414901627,4.233229527358509
52.0,7.375690966292221,6.986260824728344,7.575939925554392,7.375690966292221,2,51,-0.004227166292221085,4.191256403707778
53.0,7.372352211160477,6.9841381540579395,7.575700638868637,7.372352211160477,2,52,-0.0048366911604764695,4.149928488839523
54.0,9.63330117245637,50.73507838501661,9.907147814672188,9.63330117245637,3,1,0.007442087543630294,4.36669882754363
55.0,9.632635479524664,50.73490709272523,9.90697566881047,9.632635479524664,4,1,0.00274414047533611,4.347598890475336
56.0,9.631540561617689,50.73473579647481,9.906798296313799,9.631540561617689,4,2,-0.001314791617689437,4.328928178382311
57.0,9.630061289329342,50.734564498368904,9.906615768770807,9.630061289329342,4,3,-0.0049673893293427085,4.310641820670657
58.0,9.62791751064743,50.73439319782127,9.906424625893987,9.62791751064743,4,4,-0.011271220647429914,4.293019969352569
59.0,9.625150776889168,50.73422189573335,9.906224673351021,9.625150776889168,4,5,-0.017208656889167173,4.276021073110833
60.0,9.621898872819475,50.73405059245436,9.906016822620899,9.621898872819475,4,6,-0.021872192819476055,4.259507347180525
