time,spring,awanui,poukawa,pk4,pk4-spr-diff,pk4-conf-diff
1.0,7.712659760580419,7.627454348162176,7.764726355135609,7.712659760580419,-0.12265976058041872,6.287340239419581
2.0,7.711383815494385,7.623796149853127,7.7629171497127505,7.711383815494385,-0.11792714549438443,6.288616184505615
3.0,7.710079705520018,7.620375346338532,7.761156141116685,7.710079705520018,-0.11726576552001777,6.241999244479983
4.0,7.708717937951808,7.617106602230349,7.759447413724946,7.708717937951808,-0.11706739795180798,6.194387322048192
5.0,7.7072904553359445,7.613920956723834,7.7576995546746685,7.7072904553359445,-0.11711230533594463,6.146841124664056
6.0,7.705830942503784,7.610514351612739,7.7559884254492735,7.705830942503784,-0.11688964250378397,6.099326947496216
7.0,7.704258368391745,7.6069067935312145,7.7543069205876485,7.704258368391745,-0.11766994839174494,6.051925841608256
8.0,7.7026887412680685,7.6031936942864125,7.752683826154756,7.7026887412680685,-0.11727100126806889,6.004521788731931
9.0,7.701119517070813,7.599407888712579,7.751142776212721,7.701119517070813,-0.1168239970708127,5.957117322929188
10.0,7.69955390004545,7.595693624886665,7.7494127983862455,7.69955390004545,-0.11627784004544939,5.90970925995455
11.0,7.697874205794745,7.592173399208569,7.747445080971657,7.697874205794745,-0.1170781957947451,5.862415264205255
12.0,7.69617661191281,7.588642541807878,7.745283306038827,7.69617661191281,-0.11694011191280929,5.81513917808719
13.0,7.694357178354495,7.584804436111112,7.742977880563,7.694357178354495,-0.11801423835449487,5.767984931645505
14.0,7.6924593266610195,7.580890110773513,7.740534165617666,7.6924593266610195,-0.11877699666101993,5.72090909333898
15.0,7.690538091760913,7.5770346163014475,7.738212237182916,7.690538091760913,-0.11896960176091298,5.673856648239087
16.0,7.688533259772182,7.573157965819513,7.736069121135841,7.688533259772182,-0.11984000977218212,5.626887790227817
17.0,7.686477766204979,7.568866448186721,7.734101841796608,7.686477766204979,-0.12041942620497892,5.579969603795021
18.0,7.684450212645191,7.564309233412626,7.732275900974591,7.684450212645191,-0.12008114264519154,5.533023467354808
19.0,7.682463180625445,7.559619872300779,7.730582061910931,7.682463180625445,-0.1194425306254443,5.486036819374555
20.0,7.680508430597091,7.5547712305473524,7.728996831913905,7.680508430597091,-0.11874888059709132,5.439017889402909
21.0,7.678625639235556,7.549837442722769,7.727501981983491,7.678625639235556,-0.11746918923555594,5.391926990764444
22.0,7.676651818953871,7.544818767810714,7.7260661089522,7.676651818953871,-0.11795114895387027,5.34492713104613
23.0,7.674591160736492,7.539927086281359,7.724698132350999,7.674591160736492,-0.11858174073649241,5.298014099263508
24.0,7.672329726196915,7.535122517932868,7.7233710132107865,7.672329726196915,-0.120734096196915,5.251301853803086
25.0,7.669805912420195,7.530407571883613,7.722096919738983,7.669805912420195,-0.12401392242019504,5.204851977579805
26.0,7.666933411521455,7.525787928950711,7.720868294060548,7.666933411521455,-0.12880338152145576,5.158750798478545
27.0,7.663750022316943,7.521268803706771,7.719678741953897,7.663750022316943,-0.13375548231694356,5.1129605076830575
28.0,7.660124594351698,7.516805125189716,7.718505595615249,7.660124594351698,-0.14073573435169795,5.067612245648302
29.0,7.656119396407709,7.51240943012881,7.717347062981099,7.656119396407709,-0.14768124640770885,5.022643763592292
30.0,7.651973986323552,7.508012594506903,7.716201058832626,7.651973986323552,-0.1522671063235519,4.977815483676449
31.0,7.647707859382764,7.503518886390225,7.715065345475814,7.647707859382764,-0.1565544893827635,4.933107930617237
32.0,7.643186820946271,7.4988687913971015,7.713954714352224,7.643186820946271,-0.1623734809462709,4.8886552890537285
33.0,7.638521723735662,7.4943115916526475,7.712863673128203,7.638521723735662,-0.16712924373566285,4.8443466962643384
34.0,7.633894980376286,7.489770004339721,7.71178758582173,7.633894980376286,-0.16971156037628532,4.799999759623714
35.0,7.629054020003652,7.48509942710051,7.710739596613637,7.629054020003652,-0.17493347000365222,4.755867029996349
36.0,7.623976368261073,7.480316293491589,7.709695998711915,7.623976368261073,-0.18067329826107326,4.7119710017389265
37.0,7.6189095254948045,7.475462915364454,7.708654599152346,7.6189095254948045,-0.18373856549480472,4.668064154505195
38.0,7.6138961070659885,7.47058600763283,7.707596336401408,7.6138961070659885,-0.1860082270659884,4.624103892934011
39.0,7.608729030027358,7.465763087203123,7.70652266084355,7.608729030027358,-0.19042309002735802,4.584604299972642
40.0,7.603721638982309,7.461002592327622,7.705434517868791,7.603721638982309,-0.19128073898230902,4.544945031017692
41.0,7.598826367554662,7.456395810949378,7.704332571381119,7.598826367554662,-0.19218294755466214,4.505173632445337
42.0,7.594083188280488,7.451934668517079,7.703234460440398,7.594083188280488,-0.19226650828048797,4.465250141719512
43.0,7.589432193454091,7.447538467587145,7.702137507813685,7.589432193454091,-0.1926831234540911,4.425234476545909
44.0,7.585020726933441,7.443171353258303,7.701039851240014,7.585020726933441,-0.19113954693344049,4.38497927306656
45.0,7.580582199712881,7.438852315769768,7.699923152141732,7.580582199712881,-0.19227452971288095,4.34475113028712
46.0,7.576263102596645,7.434536217314477,7.698806942004829,7.576263102596645,-0.19180355259664505,4.304403567403355
47.0,7.5722711536403615,7.430191360462392,7.697673024537482,7.5722711536403615,-0.18864392364036142,4.263728846359639
48.0,7.568565931002005,7.426017887174554,7.696541163759954,7.568565931002005,-0.1853203310020044,4.222767398997996
49.0,7.56491931147475,7.422066158052614,7.69542760418378,7.56491931147475,-0.18423877147474954,4.18174735852525
50.0,7.561371174919145,7.418241624558942,7.694328817263055,7.561371174919145,-0.18275119491914538,4.140628825080855
51.0,7.557875115607384,7.4146236895659055,7.693225295039602,7.557875115607384,-0.18177343560738457,4.099458214392616
52.0,7.554387606469703,7.411191538815661,7.692118606594096,7.554387606469703,-0.18136476646970312,4.058279063530296
53.0,7.55085053643685,7.407851915349584,7.691018643152106,7.55085053643685,-0.1817759764368505,4.0171494635631495
54.0,8.271570810261364,9.108597021773354,8.706128977614018,8.271570810261364,-0.6815708102613645,3.2517625197386355
55.0,8.267932898720064,9.106845060876813,8.704440924484294,8.267932898720064,-0.7045692587200634,5.732067101279936
56.0,8.26443712186001,9.105035377100322,8.702752420246185,8.26443712186001,-0.7064371218600094,5.71621386813999
57.0,8.26101205973446,9.103158939058241,8.701061927491002,8.26101205973446,-0.7081659097344604,5.69986490026554
