kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-7894.418,5836.864,-380.97296,-200.6306,3.03,0.03,2642.1875,0.0,3.0302734,-8476.021,8479.051
2,-8495.246,2629.0864,-277.3597,-253.7137,-0.0001149,-0.0,0.0,6397.234,0.0,-9026.319,2629.0864
3,-6182.406,4478.4956,7.0622,-946.1691,-0.8296,-0.01,2642.1875,0.0,-0.82958984,-7121.5127,7120.683
4,-6849.8096,3313.1094,5.0054,-1026.1375,-7.5212e-05,-0.0,0.0,4557.8325,-0.00048828125,-7870.9414,3313.1094
