time,flux
1.0,-101.85232081240383
2.0,-802.1886916875852
3.0,-758.0362029891463
4.0,-723.4796427462194
5.0,-695.4119823590536
6.0,-671.8539291551613
7.0,-651.5277078825496
8.0,-633.5933232659916
9.0,-617.4861827952379
10.0,-602.8170928897891
11.0,-589.3103815714198
12.0,-576.7652887065341
13.0,-565.0315894338062
14.0,-553.993974201989
15.0,-543.5618630689298
16.0,-533.6626310619647
17.0,-524.237004541839
18.0,-515.2358617497088
19.0,-506.6179580763059
20.0,-498.3482723079292
21.0,-490.3967785177269
22.0,-482.7375158856359
23.0,-475.3478714300635
24.0,-468.20801798157123
25.0,-461.30046751590294
26.0,-454.6097117260991
27.0,-448.12192962844586
28.0,-441.82474741925046
29.0,-435.70703958151364
30.0,-429.75876292584314
31.0,-423.9708171894905
32.0,-418.33492724129474
33.0,-412.8435430017046
34.0,-407.48975366910855
35.0,-402.2672154454038
36.0,-397.17008728499087
37.0,-392.1929766779309
38.0,-387.3308922295387
39.0,-382.5792023409808
40.0,-377.93359908283946
41.0,-373.3900665058431
42.0,-368.9448527568598
43.0,-364.5944454696118
44.0,-360.33554998292544
45.0,-356.1650700081951
46.0,-352.08009042487794
47.0,-348.07786193043546
48.0,-344.15578731093416
49.0,-340.3114091319165
50.0,-336.5423986772668
51.0,-332.84654598754264
52.0,-329.2217508693576
53.0,-325.6660147644905
54.0,-161.3647998766147
55.0,-1001.6791372015689
56.0,-945.7041377452072
57.0,-900.2816722521292
58.0,-862.1047067925625
59.0,-829.1308111146643
60.0,-800.0617128392356
61.0,-774.0440427483567
62.0,-750.4956142251857
63.0,-729.0033915917626
64.0,-709.2627173091943
65.0,-691.0405084538883
66.0,-674.1525330822295
67.0,-658.449064524045
68.0,-643.8055952476392
69.0,-630.116658385684
70.0,-617.2915947869749
71.0,-605.2515641894823
72.0,-593.9273706967765
73.0,-583.2578346923548
74.0,-573.1885411399224
75.0,-563.6708541241748
76.0,-554.66112473913
77.0,-546.1200429809857
78.0,-538.0120994557116
79.0,-530.3051326471949
80.0,-522.969944136424
81.0,-515.9799686979945
82.0,-509.3109893618366
83.0,-502.9408897783938
84.0,-496.8494378604305
85.0,-491.01809588623615
86.0,-485.42985316380356
87.0,-480.06907805839995
88.0,-474.9213867346019
89.0,-469.9735263983663
90.0,-465.2132711732643
91.0,-460.62932902784223
92.0,-456.21125840291603
93.0,-451.9493933793571
94.0,-447.834776386782
95.0,-443.8590975877494
96.0,-440.0146401854275
97.0,-436.294230998971
98.0,-432.6911957330425
99.0,-429.19931832029937
100.0,-425.8128044892752
101.0,-422.5262479739849
102.0,-419.3346002094483
103.0,-416.2331426242381
104.0,-413.2174613702058
105.0,-410.28342424939933
106.0,-407.4271596243004
