kper,kstp,k,i,j,AWq
1,1,0,2,46,-157.91416384230195
1,1,0,3,46,-132.83745239558948
1,1,0,4,46,-125.18724910329502
1,1,0,5,45,-228.10478868820826
1,1,0,6,45,-216.58263034407548
1,1,0,7,44,-231.7073408085131
1,1,0,8,43,-232.9357068230753
1,1,0,8,54,-80.73668811414609
1,1,0,9,43,-207.44216233675434
1,1,0,9,52,-94.40078987379184
1,1,0,9,53,-83.5610222241188
1,1,0,10,42,-219.43882677209012
1,1,0,10,50,-89.21564419047172
1,1,0,10,51,-79.77853101281039
1,1,0,11,42,-185.2002993288745
1,1,0,11,48,-83.5348124512933
1,1,0,11,49,-90.14359420297319
1,1,0,12,9,-304.98852716641875
1,1,0,12,42,-162.012842207458
1,1,0,12,46,-28.666119333035795
1,1,0,12,47,-94.35999588955019
1,1,0,13,10,-340.03062068621114
1,1,0,13,42,-134.03297966221476
1,1,0,13,44,-58.59777516312192
1,1,0,13,45,-68.79753372215839
1,1,0,13,52,-237.2659583636314
1,1,0,13,53,-232.5146214095713
1,1,0,13,54,-231.29609883230773
1,1,0,13,55,-231.83751639857473
1,1,0,14,10,-359.08896506844496
1,1,0,14,11,-358.4537373521198
1,1,0,14,41,-156.65919414679877
1,1,0,14,42,-103.53558519765227
1,1,0,14,43,-30.50697094260852
1,1,0,14,50,-234.68687365948892
1,1,0,14,51,-239.7878321620559
1,1,0,15,12,-377.67192693988693
1,1,0,15,13,-385.0381777907162
1,1,0,15,41,-122.13456389547696
1,1,0,15,48,-229.9244352060856
1,1,0,15,49,-241.34712024265264
1,1,0,16,14,-171.28758740117507
1,1,0,16,15,-371.6944227275935
1,1,0,16,16,-372.1376758337367
1,1,0,16,17,-384.72908762208806
1,1,0,16,41,-105.882139477348
1,1,0,16,46,-221.2576864181069
1,1,0,16,47,-230.29956789252344
1,1,0,17,18,-385.78712446831526
1,1,0,17,41,-105.5941836062658
1,1,0,17,42,-194.67428252019533
1,1,0,17,43,-190.7353233064075
1,1,0,17,44,-198.6311629421782
1,1,0,17,45,-215.26031716687987
1,1,0,18,19,-360.34751921749285
