kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-23717.953,206.8728,-1847.9496,-1062.5736,0.2726,0.0,26421.875,0.0,0.2734375,-26628.477,26628.748
2,-52228.375,-16403.672,-5461.0054,-3118.7874,-0.0012346,-0.0,26421.875,50789.965,-0.0078125,-60808.168,10018.203
3,-25762.63,-590.35974,-64.7813,0.0,4.1028,0.01,26421.875,0.0,4.1035156,-25827.412,25831.516
4,-59876.355,-15436.116,-162.733,0.0,-0.00098674,-0.0,26421.875,49053.33,0.0,-60039.09,10985.759
